Summe von AggValue,Spaltenbeschriftungen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeilenbeschriftungen,MAR,ABW,AGO,AIA,ALB,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,POL,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLE,SLV,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VNM,YEM,ZAF,ZMB,ZWE,CUW,GUY,SXM
1950,12662.17871,,,,,,50511.76563,,,114696.0469,41518.45703,,,73079.47656,,,,,,,,,,,6707.473145,85323.54688,,,,,,176409.8125,80791.86719,,,,,25129.19141,,40697.98438,,,3239.699707,,1532.689453,,357997.5938,,,44725.94141,,,11352.92773,13537.25293,109208.0547,,7835.280273,25994.63477,,317923.9063,,503021.4688,,,,,,,,,7084.10498,,3313.787598,,,,,358789.2188,16794.14648,,,1359.860229,6253.920898,214976.9219,,,236721.0938,,9688.041992,,,,,,,,,,20831.8457,,,4043.380371,,,,,,139605.5625,,,,,,,,,,2392.79834,,,,,58341.02734,4704.378906,86290.03125,30406.76563,,22645.83789,,47288.51172,1845.793945,17484.53906,28306.9082,,23996.56641,,,,,,,,,,,,1251.349854,,,,,,71584.64063,,,,,,,23781.18555,,,3681.507568,,70565.67188,,,4882.23877,,14341.93652,2487508,,,29629.19727,,,,77631.1875,,,,,
1951,12504.02441,,,,,,51700.11328,,,110977.4531,43585.21484,,,75181.19531,,,,,,,,,,,7382.917969,87631.28906,,,,,,182325.5156,88299.20313,29986.09766,,,,29593.24219,,41317.53125,,,3337.616943,,1623.074463,,399758.125,,,43644.69531,6103.237793,,11805.72754,13968.68359,128593.25,,8880.632813,29409.90625,,336081.9375,,518355.1875,,,,,,,26709.21289,,7117.118164,,3392.108887,,,,,372340.4063,16539.26563,,,1331.621094,8184.39502,233771.1719,,,263308.3125,,11238.06641,,,,,,,,,,22490.27148,,,4197.038086,,,,,,150291.5938,,,,,,,,,,2485.607666,,,,,58977.125,5367.938965,89913.75,31451.31445,,20778.48828,,47636.91406,1757.340332,18806.17383,28883.45508,,26523.32227,3703.472656,,,,,,,,,,,1217.953857,,,,,,73347.78125,,,,,,,23010.17773,,,4084.976318,,87262.35156,11698.23242,,6083.42627,,16741.79883,2688159.75,,,32992.24609,,,,80374.78125,,,,,
1952,13571.12988,,,,,,47280.32813,,,110426.8906,45118.83594,,,77680.42188,,,,,,,,,,,7341.844727,97869.17969,,,,,,199436.0313,88759.66406,32608.26172,576916.1875,,,31835.04102,,44301.77734,,,3786.804932,,1826.834106,,439732.8438,,,44865.28516,6379.554199,,12976.14844,13544.67969,135437.3906,,9171.652344,30379.42383,,347803,,520745.3438,,,,,,,26353.30859,,7340.518066,,3414.796631,,,,,384929.4063,17384.13867,,,1325.70813,8122.475586,243274.6563,,,292238.5625,,10494.13184,,,,,,,,,,21598.93945,,,4690.179688,,,,,,157435.5156,,,,,,,,,,2565.984375,,,,,59861.76953,6220.363281,92972.39063,33539.54688,,21893.93555,,47017.58594,1934.234497,19962.64258,31804.4082,,27779.49805,3588.061523,,,,,,,,,,,1317.733643,,,,,,74939.46094,,,,,,,23055.74805,,,4304.87207,,97926.5,13595.44824,,5749.849609,,16022.05859,2795585.75,,,38293.89844,,,,75522.45313,,,,,
1953,14089.15039,,,,,,50378.66797,,,124582.2969,47730.43359,,,81065.5625,,,,,,,,,,,6044.528809,101674.3438,,,,,,209610.9375,92451.41406,33544.91016,650393.5625,,,36095.20703,,48209.01953,,,4564.071777,,2067.76709,,478234.2188,,,48077.10547,6430.05957,,13772.60254,13643.21387,130734.3438,,9841.553711,30269.49805,,363269.625,,550404.8125,,,,,,,30117.87305,,7645.672852,,3689.082031,,,,,406354.375,18069.44141,,,1540.052368,8281.423828,262611,4966.192383,,307397.4375,,10148.68457,,,,24681.03906,,,,,,22123.59375,,,4333.826172,,,,,,155605.4688,,,,,,,,,,2543.855225,,,,,62686.76172,6579.72998,101351.9766,35679.24609,,22739.95313,,49301.32813,2124.101318,21081.87695,35686.75,,29380.33008,3406.448242,,,,,,,,,,,1440.963867,,,,,,78563.21875,,,,,,,21399.66797,,,4430.137207,,109693.3438,15212.18945,,4748.230469,,16926.80664,2928556,,,39514.19141,,,,83842.85938,,,,,
1954,14881.32227,,,,,,52633.07422,,,133412.6563,51001.19531,,,84604.74219,,,,,,,,,,,6272.417969,110126.4297,,,,,,208320.7813,98463.03906,35848.53906,602422.25,,,37282.20313,,52677.375,,,4757.443359,,2308.148193,,517334.9375,,,49612.13281,7057.45459,,15276.82129,14158.6416,147424.1875,,9908.066406,33415.57422,,382673.625,,570292.625,,,,,,,30702.35938,,7790.962891,,3433.177246,,,,,422968.3438,18295.17969,,,1699.421875,9881.837891,273421.0313,5521.012207,1507.38623,323044.3438,,11195.8418,,,,25566.36133,,,,,,23637.39063,,,4207.418457,,,,,,172522.0625,,,141.6377411,,,,,,,2508.724609,2392.555176,,,,69552.86719,7130.960449,107211.8125,36598.60938,,24934.16211,,49719.55859,2260.183594,22426.89648,38293.53125,,30601.73633,3723.977783,,,,,,,,,,,1457.443115,,,,,,82393.21094,,,,,,,23323.15039,,,4713.737793,,99977.21094,16631.46484,,5169.871094,,18643.19141,2910510.25,,,43570.00391,,,,90949.55469,,6206.739746,,,
1955,14721.41309,,,,,,56270.61328,,,138949.9531,55802.47656,,,87987.39063,,,,,,,,,,,6663.809082,118162.9688,,,,,,224663.3594,105341.3828,34937.56641,661626.0625,,,39765.77344,,54317.03906,,,5171.393066,,2361.237793,,586749,,,49299.67578,7123.13623,,15767.97949,14621.56348,154753.8438,,10103.99707,35955.01953,,402249.25,,588934.5625,,24298.97656,,,,,32718.56641,,7825.634766,,3489.495361,,,,,430654.4063,18698.26367,49512.44531,,1919.556519,11227.45801,291161.9375,6042.924805,1261.751099,348957.0625,,11808.58887,,,,27445.58398,,,,,,25498.57422,,,4514.647949,,,,,,184785.5625,,,147.8726196,,,,,,,2631.048584,2537.185791,17221.0332,,,66921.80469,7635.66748,115221.7891,37088.59375,,25825.67578,,48841.61719,2421.106689,23485.62695,41323.66406,,31620.89453,4042.339844,,,,,,,,,,,1533.320557,,,,,,84454.80469,,,,,,,21535.57813,,,5134.633301,,108833.0156,17887.54492,,5190.397949,,19165.20117,3119068.25,,,44934.10938,,,,93986.51563,3917.186768,6369.911621,,,
1956,15012.70898,,,,,,57369.76172,,,140938.2188,59770.51172,,,90628.07031,,,,,,,,,,,6262.168457,122161.9375,,,,,,242715.3906,113187.7188,34199.19531,705842.8125,,,41089.20313,,55409.07031,,,4995.188477,,2656.016113,,633719.6875,,,50228.28516,7633.774902,,16215.33594,15073.09473,165414.375,,10524.72363,36689.97266,,422147.25,,599574.5625,,25019.5332,,,,,35512.21094,,8321.868164,,3924.843018,,,,,447109.9375,18422.23828,53708.50391,,1922.028442,12499.90332,302123,6695.879395,1754.263672,372289.3125,,12164.73047,,,,28012.34766,,,,,,23616.30273,,,5010.07373,,,,,,196361.875,,,192.5044556,,,,,,,2707.312256,2701.165771,18229.45898,,,64632.81641,7584.873535,119874.8672,38553.14063,,26388.69531,,51898.28516,2509.700439,24178.9668,42731.26953,,32894.47656,4131.434082,,,,,,,,,,,1615.995239,,,,,,87378.47656,,,,,,,22558.93359,,,5664.924805,,109120.2578,19271.81055,,5218.133789,,19059.41992,3184018.5,,,48605.19141,,,,99694.60156,4421.546387,6955.971191,,,
1957,14832.19434,,,,,,60171.92578,,,141741.0625,62839.86328,,,91899.77344,,,,,,,,,,,6120.524902,132737.9375,,,,,,248109.0781,117480.1875,37692.73047,729378,,,40721.85547,,55192.71484,,,5338.405762,,2705.033936,,670471.4375,,,52652.375,8129.949219,,16723.74805,15658.50586,172340.5,,10410.19727,37017.32031,,445595.7813,,609784.375,,24462.87305,,,,,38242.34766,,8740.530273,,3998.053955,,,,,448314.25,18282.39648,61852.10156,,1926.280762,13494.0625,315015.8125,7547.157715,1851.003296,398755.125,,12705.98047,,,,30511.48828,,,,,,24513.74023,,,5168.865723,,,,,,210485.9844,,,182.2794037,,,,,,,2825.546875,2913.82251,18430.91797,,,63952.17969,8207.453125,123946.1641,40215.35938,,27515.91406,,51797.36719,2771.377686,26040.25,45404.34375,,34236.77734,4080.270752,,,,,,,,,,,1692.62854,,,,,,88990.45313,,,,,,,25503.34375,,,6171.754883,,132754.875,20902.64844,,6052.441406,,19646.79102,3252465,,,52995.94141,,,,105315.2266,5009.319824,7686.125977,,,
1958,15969.2168,,,,,,64713.64453,,,153543.9844,65802.03906,,,92133.72656,,,,,,,,,,,5868.075195,141161.5469,,,,,,255517.3594,113750.7891,39324.66016,745099.0625,,,40695.80078,,55247.03516,,,6036.638672,,2411.564209,,697558.5,,,54169.14844,8040.541992,,17070.60742,16137.13281,180164.6563,,10497.29395,37370.39063,,462416.2813,,615616.125,,25981.83984,,,,,40359.74219,,9296.584961,,4193.414063,,,,,480169.6563,18186.86719,69003.49219,,2154.02832,14748.05469,331895.3125,7764.789063,2144.076172,431091,,12981.1377,,,,31856.4043,,,,,,25769.20898,,,5152.424805,,,,,,221343.3281,,,268.0344238,,,,,,,2761.32666,2967.790039,18387.65039,,,68237.66406,8284.97168,125116.8125,40445.36328,,28660.78516,,51998.25,2859.086426,25820.77148,47403.03906,,34814.69922,4358.018555,,,,,,,,,,,1783.093872,,,,,,92521.66406,,,,,,,26394.08594,,,6769.835449,,146472.2969,22593.54688,,5811.627441,,18696.53711,3228752.25,,,56418.78516,,,,105984.1094,4960.829102,7709.841309,,,
1959,16668.82031,,,,,,60581.76563,,,163421.5781,67823.16406,,,95046.97656,3371.13501,4883.57373,77824.39844,,,,,,,,6224.898438,147250.3594,,,,,,265259.3125,122554.2266,38755.03906,709001.1875,,,40627.30469,,58292.30859,,,6043.128418,,2571.731445,,756829.4375,,,58632.20313,8993.84082,,17971.44531,17565.48242,175170.5781,,11126.65527,40254.22266,,474598.25,,634981.3125,,30176.65039,10096.90625,,,,41869.15234,,9835.019531,,4316.575684,,,,,484695.4063,18885.00195,77066.00781,,2218.510254,16634.92578,355380,7986.382324,2462.668457,470748.5,,12575.31152,,,,32308.12305,,,,,,26960.2832,,,5194.103027,,,,,,226009.8594,,,306.9707947,,,,,,,2857.839355,2863.301514,19658.49805,,,76035.19531,8405.083984,132519.7656,41674.45313,,29994.44141,,55636.10547,3033.463135,26258.12695,52069.55469,,36643.97656,4403.688477,,,,,,,,,,,1844.635864,,,,,,97935.90625,,,,,,,29110.64063,,,7321.136719,,142995.2344,24625.50977,,6066.169434,,18018.64258,3452001.75,,,59500.50391,,,,107298.1016,5608.970215,8714.637695,,,
