Zeilenbeschriftung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeilenbeschriftungen,MAR,ABW,AGO,AIA,ALB,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,POL,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLE,SLV,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VNM,YEM,ZAF,ZMB,ZWE
1950,20354.11719,,,,,,59449.36719,,,488582.4063,124693.7109,,,388744.4063,,,,,,,,,,,9437.640625,227372.5938,,,,,,578150.5625,440772.625,,,,,23000.15039,,202582.5625,,,7505.134766,,17701.02148,,1584358,,,170092.5781,,,29913.125,5153.701172,364016.1875,,5068.335938,103203.1406,,1680994.5,,1391227.375,,,,,,,,,9962.745117,,3936.305664,,,,,674818.4375,30674.41016,,,6153.789063,48328.51172,976759.625,,,793323.8125,,18253.21094,,,,,,,,,,22444.33984,,,17622.98633,,,,,,309868.4063,,,,,,,,,,2264.870605,,,,,146870.5625,7079.314941,392536.5625,150792.4375,,49347.18359,,29678.14648,2877.630371,23480.60547,90343.91406,,60091.14844,,,,,,,,,,,,904.8016357,,,,,,273909.1875,,,,,,,51438.70313,,,3637.272705,,178764.8906,,,2629.303711,,8159.067383,10577081,,,99894.32031,,,,132955.7031,,
1951,21317.94141,,,,,,65330.94141,,,525233.5,131125.9219,,,396413.0938,,,,,,,,,,,10190.74805,242813.9688,,,,,,608856.5,447765.2188,64809.35547,,,,25556.12891,,210150.3281,,,7723.541016,,18201.73438,,1692528.75,,,172019.25,22515.57227,,31705.08203,5296.581543,378736.2188,,4982.083984,110684.8594,,1706180.375,,1484036.5,,,,,,,246552.5313,,10393.93262,,4242.48877,,,,,705850,33135.92578,,,6367.95459,51961.07422,1012381.938,,,835153,,19445.00781,,,,,,,,,,23537.49805,,,18462.9043,,,,,,329411.1875,,,,,,,,,,2373.844482,,,,,156889.4063,7414.783691,409635.375,156641.4844,,52411.32813,,30721.04492,2985.021729,25584.60938,93489.98438,,62352.65625,3821.03418,,,,,,,,,,,976.9150391,,,,,,287092.5625,,,,,,,52557.75391,,,4030.495605,,183649.1094,34539.85938,,2985.392334,,12186.06543,10911349,,,106222.5391,,,,146294.1563,,
1952,22058.65039,,,,,,69985.5625,,,536686.5625,134161.5469,,,404938.125,,,,,,,,,,,10960.26855,261084.5469,,,,,,636389.125,450832.5938,66226.53906,421053.6875,,,29216.67773,,222521.7188,,,8125.771484,,18806.83594,,1824859.625,,,174097.4688,28683.11914,,33406.39063,5492.467285,392857.8125,,4927.829102,119771.2344,,1763016,,1543488.125,,,,,,,242473.9219,,10593.44434,,4642.444824,,,,,726464.5625,34673.27734,,,6588.912109,54860.99609,1050191.875,,,867884.25,,20757.25586,,,,,,,,,,24827.55273,,,19727.44141,,,,,,354076.75,,,,,,,,,,2453.97876,,,,,169969.9844,8015.132324,425564.3125,163223.6875,,55150.05859,,32342.92383,3110.015381,27933.09961,97719.88281,,65338.97266,4055.602295,,,,,,,,,,,1045.641602,,,,,,297852.4063,,,,,,,54170.33984,,,4383.100586,,192927.9375,36420.39453,,3531.874023,,15438.92969,11271676,,,115833.5,,,,152885.875,,
1953,23105.8418,,,,,,74549.84375,,,557550.4375,134720.875,,,413281.9063,,,,,,,,,,,11220.20508,272078.4375,,,,,,670567.4375,455737.125,68599.17969,449551.125,,,33400.67969,,236846.0625,,,8549.472656,,19599.68359,,1953948,,,178411.6719,28882.99219,,35687.73438,5734.413574,408053.7813,,5035.303711,125848.5234,,1801393.5,,1614384.25,,,,,,,239764.0469,,10875.26563,,5010.334961,,,,,750455.625,36467.39453,,,6862.706543,56721.01172,1094660.875,19032.63672,,896113,,22049.95313,,,,217170.9844,,,,,,25662.27344,,,21488.1875,,,,,,375693.0625,,,,,,,,,,2582.668945,,,,,184230.9375,8686.486328,446696.4063,170476.8438,,57251.10938,,34201.61328,3338.900146,30246.42773,104075.5859,,68988.14844,4367.075195,,,,,,,,,,,1114.067017,,,,,,306390.8438,,,,,,,55656.98828,,,4640.802246,,203820.2344,37454.4375,,4035.114502,,17848.72656,11680725,,,125055.2813,,,,162140.8281,,
1954,23933.35156,,,,,,78962.32031,,,586374.9375,137733,,,424545.9688,,,,,,,,,,,11709.06641,287037.2188,,,,,,693625.3125,464520.5938,69946.17969,481827.375,,,37436.60938,,256982.0781,,,8905.723633,,20978.93359,,2106541,,,183300.6719,28259.8418,,38770.96094,5981.822754,430038.2813,,5263.96875,134639.125,,1858199,,1687838.625,,,,,,,236133,,11138.22852,,5217.398926,,,,,794740.375,37896.46875,,,7209.931641,59063.10938,1145449.5,19688.12695,2095.5,931481.4375,,23606.98633,,,,217572.2031,,,,,,26564.89453,,,22991.58789,,,,,,400969.5313,,,1501.089233,,,,,,,2662.716797,1233.617065,,,,200201.5781,9567.141602,471548.5625,177935.2969,,61456.51563,,36034.84375,3497.3125,31848.98242,110530.3281,,72579.92188,4582.194336,,,,,,,,,,,1171.34436,,,,,,319221.375,,,,,,,57323.52344,,,4898.221191,,215701.125,39294.35938,,4484.202637,,21228.08203,12071339,,,135962.0781,,,,174094.0156,,16075.8584
1955,24069.83008,,,,,,83983.25,,,615937.6875,144769.0938,,,434797.9063,,,,,,,,,,,12719.58984,301169.0625,,,,,,727579.5,479600.7813,71676.51563,510358.9063,,,41531.27734,,276640.375,,,9341.425781,,22503.60547,,2319426,,,186270.1563,27997.73047,,42011.17578,6244.018066,453693.625,,5530.503906,144691.0156,,1921468.625,,1777936.375,,83477.78125,,,,,233668.4219,,11830.65234,,5475.978027,,,,,842314.8125,39986.66016,164405.1875,,7797.84668,62388.87109,1210160,20427.11719,2167.098877,976800.875,,25482.51758,,,,214102.2969,,,,,,27925.01953,,,24295.69336,,,,,,429286.5625,,,1536.724121,,,,,,,2766.334229,1283.710571,87411.8125,,,221380.7031,10408.9082,501194.5625,185556.9063,,65186.07031,,37998.00391,3692.435791,33927.95703,116921.75,,75491.57813,4713.056641,,,,,,,,,,,1229.578247,,,,,,333620.25,,,,,,,59350.1875,,,5307.141113,,229179.9531,40299.65234,,5021.605469,,23896.7832,12509872,,,146011.0938,,,,187188.2031,14297.2041,15743.14746
1956,24035.58008,,,,,,88195.98438,,,637356.75,150143.7813,,,448948.6563,,,,,,,,,,,13564.62402,313178.5,,,,,,780056,500988.8125,73115.97656,544700.3125,,,45722.27734,,296358.4688,,,9841.984375,,24003.61719,,2532036.75,,,191018.2344,28417.82227,,45120.32031,6378.090332,483309.5938,,5735.716797,155005.9219,,1994985.875,,1863947.25,,89578.24219,,,,,233392.3125,,13043.79199,,5752.997559,,,,,901507.3125,41021.125,172156.3125,,8264.222656,65378.84375,1277986.5,21378.26953,2272.740967,1034288.125,,27342.23438,,,,213339.0781,,,,,,29060.47852,,,25634.07813,,,,,,467390.8125,,,1618.59021,,,,,,,2838.780518,1339.726929,88409.97656,,,241732.7344,11164.15137,535232.875,192654,,68541.74219,,39593.62891,3963.354248,36471.99219,123013.625,,79018.59375,4820.150391,,,,,,,,,,,1334.269897,,,,,,347238.6875,,,,,,,60903.39844,,,5712.938965,,243148.7031,42660.42578,,5527.856445,,26207.78125,12944298,,,157058.2656,,,,199511.1719,14749.31445,15537.20215
1957,23638.67383,,,,,,91419.375,,,658734.625,155974.7344,,,461302.3125,,,,,,,,,,,14223.74121,332711.1875,,,,,,824864.5,526168.4375,73817.39063,580562.6875,,,49407.63672,,302227.0625,,,10408.21094,,25337.94531,,2736036.75,,,196696.5313,28520.86133,,47867.32422,6523.972656,509886.7813,,5993.116211,164115.5938,,2076054.625,,1950897,,92983.47656,,,,,233158.4219,,14223.3252,,6059.628906,,,,,947936.125,41438.20703,182127.75,,8741.62207,69063.61719,1347264.25,22718.34375,2376.864502,1107033,,28959.58398,,,,212764.9688,,,,,,29808.03516,,,27379.83789,,,,,,505915.5313,,,1723.20105,,,,,,,2944.330811,1420.246094,89386.41406,,,265174.6875,11839.87891,568184.9375,200235.9531,,72142.97656,,41652.79688,4219.23877,39219.94922,129996.9141,,83842.92188,5153.476074,,,,,,,,,,,1449.629395,,,,,,361036.0625,,,,,,,63449.28125,,,6363.618164,,262081.3281,44248.23828,,5853.350586,,28674.12109,13368356,,,168653.1719,,,,213659.4375,15261.94824,15325.45508
1958,23952.08984,,,,,,96986.04688,,,687579.125,161176.1406,,,468426.1875,,,,,,,,,,,14844.66016,350683.4688,,,,,,860105.4375,539550.5,75943.88281,646697.0625,,,52316.09766,,304814.5,,,10811.06836,,25722.60938,,2934807,,,200854.7656,29466.63867,,50507.49219,6698.206543,540561.625,,6592.522949,172331.2031,,2167793.25,,2023611,,96519.75781,,,,,235254.4375,,15113.22168,,6259.230957,,,,,999612.8125,41684.00781,196307.6406,,9298.399414,73125.70313,1419607.25,23950.17773,2466.704834,1176845,,30187.49805,,,,213434.9375,,,,,,30870.0625,,,29056.83789,,,,,,540259.25,,,1850.486938,,,,,,,3100.358643,1495.867188,90656.90625,,,285273.6875,12499.38281,594464,207815.9844,,75444.73438,,43907.39453,4525.193359,41214.53516,136866,,88360.67188,5459.69043,,,,,,,,,,,1516.483276,,,,,,374392.0313,,,,,,,66170.53125,,,7080.231934,,289148.5,46688.89844,,6176.352051,,30088.0625,13752067,,,179504.5313,,,,226779.625,15373.22559,15144.88477
1959,23683.16797,,,,,,100411.3672,,,718960.0625,166653.3125,,,480001.75,2721.792236,2529.82251,57841.23047,,,,,,,,15252.54492,376789.0313,,,,,,900412.1875,553948.4375,78598.32031,745592.3125,,,54559.99219,,321611.9375,,,11461.31348,,26293.43164,,3175653,,,210236.0469,31522.74023,,53544.38281,6979.872559,559285.875,,6850.935059,182348.1563,,2248481.25,,2108866,,103234.2188,5912.141602,,,,238912.6094,,15838.20508,,6449.791016,,,,,1046861.938,43162.87109,211182.2813,,9945.143555,77585.6875,1502647.5,24982.71289,2626.638184,1264246.375,,31386.59375,,,,211083.0781,,,,,,32147.92188,,,30382.45898,,,,,,574312.625,,,1952.131714,,,,,,,3240.791016,1496.817383,92058.33594,,,310106.5938,13245.33398,626110.5625,214008.6563,,78791.74219,,46679.78906,4886.405762,42543.07422,145397.5469,,93095.15625,5689.705566,,,,,,,,,,,1541.829468,,,,,,388875.125,,,,,,,69999.47656,,,7883.109375,,310122,49179.05078,,6401.166992,,32125.40039,14237032,,,190271.2813,,,,233688.2344,15592.13184,14901.57715
