Zeilenbeschriftungen,MAR,ABW,AGO,AIA,ALB,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,POL,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLE,SLV,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VNM,YEM,ZAF,ZMB,ZWE,CUW,GUY,SXM
1950,0.170743152,,,,,,0.422729522,,,0.085331596,0.102161445,,,0.071657054,,,,,,,,,,,0.084991723,0.117805757,,,,,,0.111011095,0.04651399,,,,,0.088618904,,0.113010734,,,0.150192529,,0.038553737,,0.061501533,,,0.083680056,,,0.029566327,0.87806052,0.07787814,,0.175152391,0.078235015,,0.08630845,,0.072792947,,,,,,,,,0.093804732,,0.088808253,,,,,0.084770344,0.084216036,,,0.088509463,0.061634362,0.069986701,,,0.079920106,,0.068205342,,,,,,,,,,0.095438063,,,0.086515151,,,,,,0.04583196,,,,,,,,,,0.069984265,,,,,0.087926842,0.061197199,0.063115373,0.078063853,,0.085494429,,0.13704823,0.131216303,0.078997843,0.159052968,,0.085900567,,,,,,,,,,,,0.130943924,,,,,,0.108098902,,,,,,,0.068482444,,,0.102988929,,0.049418624,,,0.214682281,,0.518430471,0.118270002,,,0.106231719,,,,0.065419674,,,,,
1951,0.182515949,,,,,,0.366893023,,,0.093416288,0.115010649,,,0.090486713,,,,,,,,,,,0.090467393,0.133821443,,,,,,0.128140882,0.047531124,0.241782561,,,,0.111152187,,0.095029406,,,0.142418191,,0.038987879,,0.067748033,,,0.094992816,0.125260442,,0.028799361,0.972878158,0.08060348,,0.181145042,0.086527333,,0.108538859,,0.084445357,,,,,,,0.07289432,,0.099294998,,0.09126769,,,,,0.083309285,0.086880028,,,0.0900359,0.075274408,0.074145965,,,0.086277418,,0.078120939,,,,,,,,,,0.099704005,,,0.094977945,,,,,,0.05260748,,,,,,,,,,0.075014263,,,,,0.093960643,0.067902759,0.065886058,0.093545228,,0.093183264,,0.140513808,0.139398858,0.073716387,0.164216325,,0.088756956,0.260353476,,,,,,,,,,,0.144824743,,,,,,0.12456461,,,,,,,0.072550505,,,0.118833654,,0.053764042,0.109045088,,0.241617978,,0.566068769,0.12635377,,,0.123635821,,,,0.060355783,,,,,
1952,0.211570874,,,,,,0.366508096,,,0.096165553,0.122788168,,,0.093723625,,,,,,,,,,,0.091792136,0.137820929,,,,,,0.141678557,0.048058264,0.247853503,0.069007464,,,0.107505791,,0.09288577,,,0.126692176,,0.041948959,,0.068823881,,,0.099805072,0.132493258,,0.028045159,0.891251028,0.078342341,,0.191790491,0.087643467,,0.120964557,,0.087474152,,,,,,,0.074171543,,0.098864049,,0.091777883,,,,,0.077579826,0.089272834,,,0.101637997,0.094788715,0.073537588,,,0.094901986,,0.089033641,,,,,,,,,,0.110971957,,,0.076558225,,,,,,0.055898875,,,,,,,,,,0.081805885,,,,,0.10144072,0.066517659,0.051396094,0.095502146,,0.099758245,,0.133292481,0.137191936,0.088685572,0.158562616,,0.086619325,0.294839531,,,,,,,,,,,0.142757758,,,,,,0.137996972,,,,,,,0.087612554,,,0.126436517,,0.055659685,0.117163531,,0.246879756,,0.612325907,0.124662898,,,0.124514751,,,,0.08707799,,,,,
1953,0.23486641,,,,,,0.370191425,,,0.092706822,0.120889477,,,0.087386169,,,,,,,,,,,0.087584026,0.16478619,,,,,,0.139654487,0.047968183,0.32647416,0.077847518,,,0.087839536,,0.088299684,,,0.138540238,,0.038848996,,0.06758406,,,0.096284367,0.138147622,,0.03118515,0.846941113,0.080537319,,0.137789786,0.088662766,,0.116115995,,0.089269638,,,,,,,0.049317688,,0.098197185,,0.095319636,,,,,0.078802325,0.091796204,,,0.111821443,0.099982783,0.074347839,0.065068863,,0.099741764,,0.090192951,,,,0.117396027,,,,,,0.106478527,,,0.092333257,,,,,,0.056030266,,,,,,,,,,0.081341617,,,,,0.103305049,0.069900692,0.052724101,0.088944532,,0.09893436,,0.126461089,0.137114853,0.079133265,0.154763609,,0.088318028,0.213180408,,,,,,,,,,,0.150610521,,,,,,0.136132985,,,,,,,0.105770878,,,0.130111694,,0.056074437,0.084291108,,0.281617314,,0.738676906,0.1249457,,,0.125603482,,,,0.078642435,,,,,
1954,0.23228918,,,,,,0.381629139,,,0.095942535,0.115121014,,,0.087265737,,,,,,,,,,,0.091783561,0.146505699,,,,,,0.143580511,0.04851336,0.311521858,0.093325444,,,0.094650082,,0.094805986,,,0.155930266,,0.04319872,,0.068451516,,,0.096397556,0.141688392,,0.03092997,0.890394688,0.09117499,,0.140790924,0.092388064,,0.113894932,,0.089851283,,,,,,,0.054085191,,0.100205861,,0.100412771,,,,,0.071088314,0.089926891,,,0.112914719,0.107469492,0.074067108,0.069492646,0.151699573,0.096893042,,0.087415107,,,,0.144600227,,,,,,0.094685398,,,0.096342385,,,,,,0.047981627,,,0.155949995,,,,,,,0.082585424,0.130174771,,,,0.106244192,0.07073947,0.065703958,0.097871296,,0.101294942,,0.123558462,0.129524678,0.079084396,0.138451904,,0.085038304,0.243286982,,,,,,,,,,,0.153647527,,,,,,0.131309286,,,,,,,0.088978656,,,0.134617478,,0.06304387,0.100585945,,0.271659315,,0.610339999,0.126188368,,,0.112845995,,,,0.070749037,,0.119157091,,,
1955,0.228779972,,,,,,0.372377604,,,0.101371899,0.116433479,,,0.090924062,,,,,,,,,,,0.096686348,0.116852485,,,,,,0.144887507,0.050947163,0.31125617,0.085025005,,,0.095532782,,0.101043254,,,0.13654612,,0.050863162,,0.070327282,,,0.100241125,0.139660195,,0.03202156,1.004184842,0.095929511,,0.167078823,0.096234523,,0.119797669,,0.096094914,,0.035570573,,,,,0.059658978,,0.102124743,,0.103982888,,,,,0.073676057,0.095127523,0.154105395,,0.115143731,0.113766037,0.076893494,0.085546829,0.104802057,0.097503819,,0.093979381,,,,0.087886356,,,,,,0.097608335,,,0.11002171,,,,,,0.049258765,,,0.171812445,,,,,,,0.074195199,0.140964761,0.085153513,,,0.120966978,0.050900795,0.064680859,0.099265762,,0.104770564,,0.114242561,0.134062707,0.087176867,0.137143448,,0.089473456,0.229716271,,,,,,,,,,,0.158689484,,,,,,0.137721583,,,,,,,0.100364432,,,0.134097308,,0.071191758,0.119421624,,0.281175941,,0.486645073,0.131194726,,,0.122158699,,,,0.069306053,0.126030684,0.127055511,,,
1956,0.22726354,,,,,,0.39677608,,,0.103522241,0.117370419,,,0.093534857,,,,,,,,,,,0.099870533,0.12211629,,,,,,0.152011693,0.051162835,0.271890879,0.090681709,,,0.099592894,,0.112828679,,,0.135047987,,0.057003658,,0.071734808,,,0.103055865,0.150147825,,0.030441521,1.065127373,0.105245084,,0.15767315,0.10084933,,0.120865941,,0.099117182,,0.037374947,,,,,0.061838444,,0.105621085,,0.10334301,,,,,0.078208089,0.097531274,0.160184816,,0.139403835,0.11613255,0.076973155,0.125863031,0.330608726,0.106013134,,0.094670802,,,,0.096863605,,,,,,0.098701924,,,0.098315917,,,,,,0.052001078,,,0.197652817,,,,,,,0.086517796,0.144917205,0.085333921,,,0.13179642,0.050026614,0.067940705,0.107252546,,0.106141433,,0.101811208,0.136527538,0.093766004,0.151962698,,0.087176882,0.177148312,,,,,,,,,,,0.160857573,,,,,,0.142801568,,,,,,,0.102357559,,,0.135657445,,0.073889807,0.084032699,,0.296586186,,0.483031899,0.137261808,,,0.127527282,,,,0.069855087,0.144250095,0.128234059,,,
1957,0.242214933,,,,,,0.428064644,,,0.104857475,0.121587299,,,0.098042555,,,,,,,,,,,0.10122557,0.124037646,,,,,,0.157198682,0.053083792,0.241020814,0.091956802,,,0.106134422,,0.10615889,,,0.133892983,,0.05856001,,0.074015237,,,0.104221545,0.14619112,,0.031106114,1.077136993,0.112087287,,0.161026821,0.09519726,,0.127470896,,0.10040047,,0.037210904,,,,,0.060773354,,0.107557923,,0.103321992,,,,,0.078982927,0.102446176,0.159050822,,0.150547668,0.120766059,0.079226993,0.135012999,0.236794323,0.114855804,,0.096598648,,,,0.130743608,,,,,,0.119702719,,,0.105716877,,,,,,0.054426063,,,0.177224934,,,,,,,0.087732948,0.148857296,0.082458705,,,0.14189586,0.049906664,0.072974421,0.10820543,,0.107909761,,0.107198089,0.136894763,0.117041402,0.154011428,,0.085522994,0.165751949,,,,,,,,,,,0.156326473,,,,,,0.146829814,,,,,,,0.095437035,,,0.135540366,,0.069303967,0.095071964,,0.291217834,,0.648545682,0.139769346,,,0.134262487,,,,0.066976465,0.141196921,0.131578922,,,
1958,0.234499261,,,,,,0.431156456,,,0.104504183,0.118687868,,,0.100313544,,,,,,,,,,,0.093314238,0.125055894,,,,,,0.152553514,0.054458451,0.231427014,0.124785259,,,0.088357754,,0.078792654,,,0.133189961,,0.05780169,,0.075479902,,,0.104947969,0.150708035,,0.031071143,1.085242271,0.115537547,,0.166092247,0.082424194,,0.121292651,,0.102223217,,0.036766876,,,,,0.059055582,,0.109719262,,0.111834556,,,,,0.09427841,0.102930486,0.115673214,,0.148537591,0.12370225,0.077915624,0.123100407,0.247667342,0.102582812,,0.09981519,,,,0.130129829,,,,,,0.101250082,,,0.106824718,,,,,,0.057409216,,,0.180974305,,,,,,,0.101136297,0.147737131,0.084672488,,,0.140185446,0.049384169,0.065773644,0.107212737,,0.109139808,,0.103273228,0.137690768,0.097801529,0.153828725,,0.084221721,0.141316429,,,,,,,,,,,0.158178806,,,,,,0.146261141,,,,,,,0.088147625,,,0.140833631,,0.065955848,0.101169601,,0.282737464,,0.359015286,0.138427734,,,0.134785861,,,,0.070230328,0.125747368,0.135806099,,,
1959,0.196606725,,,,,,0.411492139,,,0.10595993,0.122826807,,,0.097956903,0.212241977,0.193319306,0.07406643,,,,,,,,0.081165239,0.106579311,,,,,,0.155582964,0.054032777,0.248440057,0.163472056,,,0.087886617,,0.084231213,,,0.131096706,,0.057317927,,0.075503245,,,0.10270521,0.16330415,,0.029843822,0.835140049,0.098777674,,0.171811759,0.082401484,,0.103440925,,0.100077167,,0.041819103,0.093287311,,,,0.060064431,,0.096279278,,0.111321926,,,,,0.092757873,0.10354241,0.080883421,,0.162798375,0.1230857,0.076569527,0.13145791,0.19765231,0.105141342,,0.10159339,,,,0.153547049,,,,,,0.104375973,,,0.112942994,,,,,,0.058883864,,,0.179921657,,,,,,,0.107226588,0.138937607,0.074022688,,,0.132880002,0.048692968,0.066044159,0.108070321,,0.108200178,,0.109892495,0.135937974,0.091376096,0.155219972,,0.085932359,0.133580372,,,,,,,,,,,0.157170221,,,,,,0.144541636,,,,,,,0.083747216,,,0.148323894,,0.09956757,0.069849394,,0.294280499,,0.369449764,0.13864252,,,0.093649358,,,,0.078108966,0.136386022,0.13183853,,,
