Summe von AggValue,Spaltenbeschriftungen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeilenbeschriftungen,MAR,ABW,AGO,AIA,ALB,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,POL,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLE,SLV,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VNM,YEM,ZAF,ZMB,ZWE
1950,0.155202597,,,,,,0.292419672,,,0.062025875,0.076449439,,,0.047010437,,,,,,,,,,,0.068717733,0.080012046,,,,,,0.086123817,0.04490222,,,,,0.13868019,,0.054045796,,,0.086135641,,0.023085672,,0.041477207,,,0.06307102,,,0.021111181,0.6062693,0.042684633,,0.156628728,0.054616675,,0.054421935,,0.045725707,,,,,,,,,0.076791607,,0.069595963,,,,,0.044980213,0.064282641,,,0.084807299,0.044089723,0.04119252,,,0.051452026,,0.039455578,,,,,,,,,,0.05853764,,,0.040118285,,,,,,0.02535711,,,,,,,,,,0.070451148,,,,,0.102991611,0.058631737,0.038508207,0.054158427,,0.09543594,,0.075445861,0.108527556,0.049896989,0.082691036,,0.056936558,,,,,,,,,,,,0.101849526,,,,,,0.080572404,,,,,,,0.040855069,,,0.066079624,,0.038814772,,,0.256591827,,0.325491458,0.084753461,,,0.117508367,,,,0.053482007,,
1951,0.171006516,,,,,,0.264830142,,,0.07019572,0.088440754,,,0.06162744,,,,,,,,,,,0.075840361,0.09474989,,,,,,0.103061408,0.049124811,0.209900439,,,,0.179252103,,0.047002655,,,0.084832788,,0.024291104,,0.047367223,,,0.074256629,0.073111594,,0.021455245,0.697372973,0.047256302,,0.168712854,0.062932849,,0.069959894,,0.054953452,,,,,,,0.053684086,,0.084516138,,0.074002139,,,,,0.046063364,0.068251081,,,0.088957287,0.055976652,0.045996618,,,0.057583123,,0.047220957,,,,,,,,,,0.063793235,,,0.045931607,,,,,,0.030327715,,,,,,,,,,0.078086749,,,,,0.1147388,0.06769225,0.041783549,0.06762588,,0.107801653,,0.080928609,0.119292185,0.050865773,0.08702445,,0.06100408,0.20689562,,,,,,,,,,,0.115440294,,,,,,0.10098426,,,,,,,0.044977937,,,0.077898823,,0.043800011,0.066276163,,0.299650282,,0.372183323,0.093064383,,,0.141656339,,,,0.051136237,,
1952,0.201332301,,,,,,0.268224925,,,0.073229998,0.095735505,,,0.064790405,,,,,,,,,,,0.077652887,0.099380381,,,,,,0.115671985,0.049906939,0.215164572,0.119670138,,,0.173979431,,0.046462934,,,0.076439805,,0.0265505,,0.048750736,,,0.079242282,0.098615527,,0.021111228,0.648194671,0.047063205,,0.182322383,0.064773664,,0.08076179,,0.057746004,,,,,,,0.055118456,,0.085864738,,0.075322255,,,,,0.043087352,0.071095392,,,0.10389515,0.07156004,0.046052609,,,0.064168677,,0.054709271,,,,,,,,,,0.072000451,,,0.037765782,,,,,,0.032608707,,,,,,,,,,0.086502023,,,,,0.126275167,0.067236476,0.033022761,0.069691427,,0.116119452,,0.078228459,0.118555821,0.063858613,0.085127585,,0.060232822,0.237518027,,,,,,,,,,,0.114719078,,,,,,0.110544585,,,,,,,0.054964043,,,0.083620124,,0.046107925,0.073856264,,0.311031073,,0.409033924,0.095483527,,,0.144621581,,,,0.074526399,,
1953,0.221277952,,,,,,0.267305523,,,0.070324838,0.093688495,,,0.060018733,,,,,,,,,,,0.073456302,0.118296728,,,,,,0.112972483,0.047998589,0.281173378,0.120815694,,,0.140330508,,0.044352487,,,0.082879931,,0.02444396,,0.047523998,,,0.075918265,0.102640279,,0.023402894,0.612322986,0.049434423,,0.130330652,0.065212198,,0.076826997,,0.058466282,,,,,,,0.036301699,,0.084880248,,0.077555425,,,,,0.043165836,0.072396286,,,0.112975597,0.07508827,0.046437342,0.04871754,,0.066957019,,0.05520419,,,,0.064228654,,,,,,0.068694994,,,0.045052171,,,,,,0.03248588,,,,,,,,,,0.085348308,,,,,0.128029734,0.070291705,0.033656292,0.064471021,,0.113569275,,0.074316926,0.11702852,0.058192577,0.084017083,,0.060900819,0.170500815,,,,,,,,,,,0.119331516,,,,,,0.108580999,,,,,,,0.065894999,,,0.08524029,,0.046096835,0.051413253,,0.352570206,,0.488806754,0.095920525,,,0.144759297,,,,0.066819176,,
1954,0.216798723,,,,,,0.273749501,,,0.0718918,0.088357888,,,0.059329875,,,,,,,,,,,0.076123931,0.10438814,,,,,,0.114470102,0.047651332,0.263638884,0.122813039,,,0.148936689,,0.047347788,,,0.092042729,,0.026869252,,0.047660962,,,0.075283147,0.100114159,,0.023131905,0.638636768,0.055336703,,0.131905347,0.067423776,,0.074683808,,0.058184057,,,,,,,0.039320134,,0.086099036,,0.080999494,,,,,0.038497161,0.070114508,,,0.113148637,0.079900421,0.046683419,0.051529411,0.129202425,0.064434536,,0.052947648,,,,0.079996429,,,,,,0.060613964,,,0.046069525,,,,,,0.027529173,,,0.097877599,,,,,,,0.085916482,0.209330082,,,,0.130573019,0.070585586,0.041532274,0.0689542,,0.115329109,,0.072470911,0.109137498,0.057718571,0.075142838,,0.05796355,0.192835703,,,,,,,,,,,0.120207019,,,,,,0.10235665,,,,,,,0.054899842,,,0.087336943,,0.051260538,0.061287865,,0.337358087,,0.39989388,0.095666446,,,0.128769636,,,,0.059567597,,0.09949249
1955,0.211913303,,,,,,0.264863789,,,0.074969314,0.087901972,,,0.061069887,,,,,,,,,,,0.079245836,0.082414396,,,,,,0.114405878,0.049931824,0.263543576,0.124256916,,,0.148391008,,0.049887933,,,0.079577476,,0.031303409,,0.04837409,,,0.077489443,0.09528821,,0.023796629,0.712137282,0.057096768,,0.154695347,0.069508016,,0.078031622,,0.06139956,,0.032168709,,,,,0.042843901,,0.087244213,,0.082892492,,,,,0.038969241,0.072984487,0.088617913,,0.115190633,0.083615489,0.04839937,0.062736288,0.088354945,0.064086773,,0.056429002,,,,0.047501229,,,,,,0.06191444,,,0.051910747,,,,,,0.027983593,,,0.106630042,,,,,,,0.076271273,0.22492075,0.041578658,,,0.147046119,0.050358411,0.040447433,0.070417926,,0.117466517,,0.066686846,0.111356385,0.06451039,0.074177094,,0.060252454,0.180171117,,,,,,,,,,,0.122190803,,,,,,0.105494618,,,,,,,0.061261185,,,0.085446596,,0.057031967,0.071364723,,0.344909996,,0.313828826,0.097554252,,,0.137731969,,,,0.058011819,0.078288846,0.105268307
1956,0.214799583,,,,,,0.285600632,,,0.07768023,0.08986523,,,0.06377583,,,,,,,,,,,0.08305905,0.087641127,,,,,,0.12065319,0.05080178,0.239487723,0.125703081,,,0.156675711,,0.056658048,,,0.079799436,,0.035653837,,0.050076447,,,0.080909304,0.104080781,,0.023053989,0.767753959,0.063466907,,0.14831391,0.074038997,,0.080158725,,0.064291365,,0.03423617,,,,,0.045029204,,0.090402879,,0.083634555,,,,,0.041867815,0.075948119,0.093718112,,0.142152593,0.086641833,0.049415715,0.09370853,0.283136427,0.06989859,,0.057917845,,,,0.053740516,,,,,,0.063722193,,,0.047074508,,,,,,0.030050991,,,0.124499932,,,,,,,0.090381816,0.235542819,0.042208433,,,0.162471384,0.050326832,0.043167256,0.079085663,,0.120423995,,0.060687345,0.114616975,0.071377911,0.084597982,,0.059562724,0.14119789,,,,,,,,,,,0.125037193,,,,,,0.111304253,,,,,,,0.06345401,,,0.087536193,,0.060028572,0.052774098,,0.369498432,,0.307493061,0.103617899,,,0.145923868,,,,0.059617955,0.091081083,0.108149476
1957,0.232643828,,,,,,0.293575913,,,0.079361632,0.093776643,,,0.067475021,,,,,,,,,,,0.085270748,0.090123676,,,,,,0.1253407,0.051829714,0.219877571,0.125647306,,,0.168799624,,0.053124964,,,0.079791658,,0.03697497,,0.052204557,,,0.082654633,0.101907179,,0.023904232,0.785109937,0.067524321,,0.152906194,0.07071659,,0.086186245,,0.065688156,,0.034369309,,,,,0.044783618,,0.093630739,,0.084443994,,,,,0.042712059,0.080462418,0.09441404,,0.154224873,0.090842724,0.051198401,0.101572551,0.205215022,0.07649105,,0.059852,,,,0.074528843,,,,,,0.078375041,,,0.050846856,,,,,,0.031874128,,,0.112534076,,,,,,,0.092207059,0.245848477,0.041273642,,,0.176672265,0.050914377,0.046903238,0.079571731,,0.123403825,,0.065132417,0.115827203,0.091959566,0.08678478,,0.059032783,0.133543476,,,,,,,,,,,0.121830545,,,,,,0.115521677,,,,,,,0.059924055,,,0.087554477,,0.056583803,0.06126349,,0.366291583,,0.390472919,0.106630079,,,0.155066356,,,,0.057535958,0.090345182,0.112429261
1958,0.227813944,,,,,,0.303246856,,,0.079628207,0.092395052,,,0.069660723,,,,,,,,,,,0.079278849,0.091899842,,,,,,0.12257427,0.051731754,0.213032961,0.128250554,,,0.141619846,,0.039793666,,,0.079910092,,0.03673438,,0.053750202,,,0.084083289,0.107942805,,0.024108937,0.799193859,0.070052899,,0.1584699,0.061862808,,0.082825541,,0.067455441,,0.034270547,,,,,0.043860137,,0.096075162,,0.09238413,,,,,0.051711034,0.081659362,0.069482744,,0.152128398,0.093610838,0.050906815,0.093467698,0.216875359,0.06894622,,0.062287249,,,,0.074090093,,,,,,0.067020148,,,0.051306661,,,,,,0.033882879,,,0.115557171,,,,,,,0.106430061,0.246897459,0.042689126,,,0.175957605,0.050897256,0.042653292,0.078561418,,0.125914082,,0.063730761,0.117157772,0.077637278,0.087443002,,0.058604721,0.115009896,,,,,,,,,,,0.124456666,,,,,,0.115686454,,,,,,,0.055893283,,,0.091338515,,0.054141041,0.067625225,,0.35923937,,0.218349725,0.106122464,,,0.157255307,,,,0.061081268,0.081275493,0.117411956
1959,0.194251388,,,,,,0.28246069,,,0.081598125,0.096662112,,,0.068732969,0.073800184,0.206458405,0.0642801,,,,,,,,0.069550045,0.07909891,,,,,,0.1262068,0.05240041,0.229180843,0.133326501,,,0.142089143,,0.042544343,,,0.07942383,,0.03682299,,0.054337427,,,0.083048649,0.129551798,,0.023386555,0.621761978,0.061814614,,0.165913478,0.062483236,,0.071123287,,0.066794299,,0.039346751,0.070625797,,,,0.044960286,,0.087502658,,0.093008421,,,,,0.050919123,0.083013847,0.049108084,,0.167798072,0.094083257,0.050876718,0.100834846,0.174802214,0.072192222,,0.063955203,,,,0.08630421,,,,,,0.069811434,,,0.054906826,,,,,,0.035068113,,,0.116128229,,,,,,,0.113542214,0.233933955,0.037562907,,,0.168271244,0.050699629,0.043271139,0.079837754,,0.125802845,,0.0688833,0.116398759,0.072994918,0.089674205,,0.0603402,0.109778345,,,,,,,,,,,0.125054151,,,,,,0.115457483,,,,,,,0.053620443,,,0.096849501,,0.082488954,0.046538457,,0.378036857,,0.224547163,0.106820598,,,0.11053504,,,,0.068524718,0.089055322,0.115470506
