VariableCode,RegionCode,YearCode,AggValue
pl_n,ABW,1970,0.334629506
pl_n,ABW,1971,0.324469864
pl_n,ABW,1972,0.314348131
pl_n,ABW,1973,0.304903716
pl_n,ABW,1974,0.294760764
pl_n,ABW,1975,0.285384417
pl_n,ABW,1976,0.276839674
pl_n,ABW,1977,0.268244058
pl_n,ABW,1978,0.260082036
pl_n,ABW,1979,0.251525849
pl_n,ABW,1980,0.243289918
pl_n,ABW,1981,0.234164849
pl_n,ABW,1982,0.225772753
pl_n,ABW,1983,0.218938529
pl_n,ABW,1984,0.211669683
pl_n,ABW,1985,0.204049274
pl_n,ABW,1986,0.197039202
pl_n,ABW,1987,0.204081431
pl_n,ABW,1988,0.210461438
pl_n,ABW,1989,0.217981189
pl_n,ABW,1990,0.230669484
pl_n,ABW,1991,0.246047094
pl_n,ABW,1992,0.252882987
pl_n,ABW,1993,0.264467716
pl_n,ABW,1994,0.292392462
pl_n,ABW,1995,0.266529858
pl_n,ABW,1996,0.275017887
pl_n,ABW,1997,0.282295585
pl_n,ABW,1998,0.273033261
pl_n,ABW,1999,0.287965059
pl_n,ABW,2000,0.322339684
pl_n,ABW,2001,0.299761683
pl_n,ABW,2002,0.304225594
pl_n,ABW,2003,0.303122312
pl_n,ABW,2004,0.307689935
pl_n,ABW,2005,0.317242146
pl_n,ABW,2006,0.32160455
pl_n,ABW,2007,0.328987837
pl_n,ABW,2008,0.343032449
pl_n,ABW,2009,0.33920449
pl_n,ABW,2010,0.346565336
pl_n,ABW,2011,0.359614134
pl_n,ABW,2012,0.404313773
pl_n,ABW,2013,0.44078818
pl_n,ABW,2014,0.502277493
pl_n,ABW,2015,0.585249245
pl_n,ABW,2016,0.658333957
pl_n,ABW,2017,0.740535796
pl_n,ABW,2018,0.793389261
pl_n,ABW,2019,0.813961267
pl_n,AGO,1970,0.077930778
pl_n,AGO,1971,0.077780992
pl_n,AGO,1972,0.077797994
pl_n,AGO,1973,0.088795044
pl_n,AGO,1974,0.097575583
pl_n,AGO,1975,0.076089345
pl_n,AGO,1976,0.075410873
pl_n,AGO,1977,0.082396805
pl_n,AGO,1978,0.096906133
pl_n,AGO,1979,0.109169468
pl_n,AGO,1980,0.14156118
pl_n,AGO,1981,0.142063588
pl_n,AGO,1982,0.140827954
pl_n,AGO,1983,0.142559275
pl_n,AGO,1984,0.141074002
pl_n,AGO,1985,0.17067273
pl_n,AGO,1986,0.190259725
pl_n,AGO,1987,0.194798544
pl_n,AGO,1988,0.214909509
pl_n,AGO,1989,0.236458316
pl_n,AGO,1990,0.235816777
pl_n,AGO,1991,0.141065389
pl_n,AGO,1992,0.031012015
pl_n,AGO,1993,0.197088346
pl_n,AGO,1994,0.237922013
pl_n,AGO,1995,0.08337348
pl_n,AGO,1996,0.091045596
pl_n,AGO,1997,0.101053007
pl_n,AGO,1998,0.084952988
pl_n,AGO,1999,0.078423239
pl_n,AGO,2000,0.088339888
pl_n,AGO,2001,0.107725702
pl_n,AGO,2002,0.289396375
pl_n,AGO,2003,0.290290624
pl_n,AGO,2004,0.331175506
pl_n,AGO,2005,0.41446346
pl_n,AGO,2006,0.424128383
pl_n,AGO,2007,0.48595497
pl_n,AGO,2008,0.523437858
pl_n,AGO,2009,0.464362293
pl_n,AGO,2010,0.334950984
pl_n,AGO,2011,0.341440022
pl_n,AGO,2012,0.36267516
pl_n,AGO,2013,0.389505506
pl_n,AGO,2014,0.397241592
pl_n,AGO,2015,0.349132061
pl_n,AGO,2016,0.329035789
pl_n,AGO,2017,0.383019626
pl_n,AGO,2018,0.250045657
pl_n,AGO,2019,0.209101334
pl_n,AIA,1970,0.038404603
pl_n,AIA,1971,0.04630854
pl_n,AIA,1972,0.048941322
pl_n,AIA,1973,0.053119164
pl_n,AIA,1974,0.058548737
pl_n,AIA,1975,0.061844889
pl_n,AIA,1976,0.058431268
pl_n,AIA,1977,0.065272443
pl_n,AIA,1978,0.070375107
pl_n,AIA,1979,0.074156724
pl_n,AIA,1980,0.081695423
pl_n,AIA,1981,0.090587392
pl_n,AIA,1982,0.105613187
pl_n,AIA,1983,0.122474037
pl_n,AIA,1984,0.136696801
pl_n,AIA,1985,0.15185754
pl_n,AIA,1986,0.174309447
pl_n,AIA,1987,0.196776807
pl_n,AIA,1988,0.212948859
pl_n,AIA,1989,0.243930355
pl_n,AIA,1990,0.215790957
pl_n,AIA,1991,0.271713883
pl_n,AIA,1992,0.229315996
pl_n,AIA,1993,0.23262772
pl_n,AIA,1994,0.240273774
pl_n,AIA,1995,0.248618424
pl_n,AIA,1996,0.25623104
pl_n,AIA,1997,0.258817971
pl_n,AIA,1998,0.264408737
pl_n,AIA,1999,0.270991057
pl_n,AIA,2000,0.273993999
pl_n,AIA,2001,0.278153896
pl_n,AIA,2002,0.294667989
pl_n,AIA,2003,0.303346068
pl_n,AIA,2004,0.315938532
pl_n,AIA,2005,0.316061646
pl_n,AIA,2006,0.325791717
pl_n,AIA,2007,0.359693378
pl_n,AIA,2008,0.363447517
pl_n,AIA,2009,0.355430514
pl_n,AIA,2010,0.35468635
pl_n,AIA,2011,0.373506755
pl_n,AIA,2012,0.426836252
pl_n,AIA,2013,0.481344759
pl_n,AIA,2014,0.560072422
pl_n,AIA,2015,0.626889706
pl_n,AIA,2016,0.685962379
pl_n,AIA,2017,0.770824492
pl_n,AIA,2018,0.80077219
pl_n,AIA,2019,0.902942479
pl_n,ALB,1970,0.364914984
pl_n,ALB,1971,0.36063236
pl_n,ALB,1972,0.356101573
pl_n,ALB,1973,0.351833791
pl_n,ALB,1974,0.347738117
pl_n,ALB,1975,0.343539864
pl_n,ALB,1976,0.339818001
pl_n,ALB,1977,0.338747859
pl_n,ALB,1978,0.332967699
pl_n,ALB,1979,0.265685171
pl_n,ALB,1980,0.240337297
pl_n,ALB,1981,0.222736329
pl_n,ALB,1982,0.222725198
pl_n,ALB,1983,0.227226824
pl_n,ALB,1984,0.228714138
pl_n,ALB,1985,0.230639875
pl_n,ALB,1986,0.214789018
pl_n,ALB,1987,0.214904711
pl_n,ALB,1988,0.225259602
pl_n,ALB,1989,0.244507477
pl_n,ALB,1990,0.197976932
pl_n,ALB,1991,0.205248907
pl_n,ALB,1992,0.195576862
pl_n,ALB,1993,0.172272846
pl_n,ALB,1994,0.155853257
pl_n,ALB,1995,0.208810121
pl_n,ALB,1996,0.235244453
pl_n,ALB,1997,0.250760823
pl_n,ALB,1998,0.281380117
pl_n,ALB,1999,0.298238426
pl_n,ALB,2000,0.319856018
pl_n,ALB,2001,0.337672979
pl_n,ALB,2002,0.346880138
pl_n,ALB,2003,0.404889733
pl_n,ALB,2004,0.486948222
pl_n,ALB,2005,0.497847497
pl_n,ALB,2006,0.419015437
pl_n,ALB,2007,0.442923486
pl_n,ALB,2008,0.443039
pl_n,ALB,2009,0.375506878
pl_n,ALB,2010,0.32903409
pl_n,ALB,2011,0.339196771
pl_n,ALB,2012,0.350019097
pl_n,ALB,2013,0.355994225
pl_n,ALB,2014,0.297552705
pl_n,ALB,2015,0.25872919
pl_n,ALB,2016,0.25673753
pl_n,ALB,2017,0.278675199
pl_n,ALB,2018,0.305165231
pl_n,ALB,2019,0.299344361
pl_n,ARE,1970,0.014175356
pl_n,ARE,1971,0.017036021
pl_n,ARE,1972,0.022325806
pl_n,ARE,1973,0.037840027
pl_n,ARE,1974,0.090996407
pl_n,ARE,1975,0.108605988
pl_n,ARE,1976,0.125485688
pl_n,ARE,1977,0.127754554
pl_n,ARE,1978,0.124231942
pl_n,ARE,1979,0.137867615
pl_n,ARE,1980,0.154651523
pl_n,ARE,1981,0.164107025
pl_n,ARE,1982,0.168818995
pl_n,ARE,1983,0.16482988
pl_n,ARE,1984,0.154585198
pl_n,ARE,1985,0.153145373
pl_n,ARE,1986,0.151620299
pl_n,ARE,1987,0.156150177
pl_n,ARE,1988,0.160128474
pl_n,ARE,1989,0.162628219
pl_n,ARE,1990,0.163882941
pl_n,ARE,1991,0.165794596
pl_n,ARE,1992,0.168566197
pl_n,ARE,1993,0.233910754
pl_n,ARE,1994,0.234195456
pl_n,ARE,1995,0.237546176
pl_n,ARE,1996,0.239645317
pl_n,ARE,1997,0.241003618
pl_n,ARE,1998,0.240672871
pl_n,ARE,1999,0.239806801
pl_n,ARE,2000,0.240371123
pl_n,ARE,2001,0.241740003
pl_n,ARE,2002,0.242424548
pl_n,ARE,2003,0.249262348
pl_n,ARE,2004,0.256576926
pl_n,ARE,2005,0.264332175
pl_n,ARE,2006,0.267824918
pl_n,ARE,2007,0.288505614
pl_n,ARE,2008,0.330755711
pl_n,ARE,2009,0.313455075
pl_n,ARE,2010,0.338136405
pl_n,ARE,2011,0.354033709
pl_n,ARE,2012,0.397008091
pl_n,ARE,2013,0.403799832
pl_n,ARE,2014,0.301822782
pl_n,ARE,2015,0.277929366
pl_n,ARE,2016,0.272702634
pl_n,ARE,2017,0.274531543
pl_n,ARE,2018,0.264987409
pl_n,ARE,2019,0.268753558
pl_n,ARG,1950,0.292419672
pl_n,ARG,1951,0.264830142
pl_n,ARG,1952,0.268224925
pl_n,ARG,1953,0.267305523
pl_n,ARG,1954,0.273749501
pl_n,ARG,1955,0.264863789
pl_n,ARG,1956,0.285600632
