Summe von AggValue,Spaltenbeschriftungen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeilenbeschriftungen,MAR,ABW,AGO,AIA,ALB,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,POL,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLE,SLV,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VNM,YEM,ZAF,ZMB,ZWE
1950,103238.4141,,,,,,360603.2813,,,639991.25,336700,,,715409.0625,,,,,,,,,,,23013.08984,608566.8125,,,,,,741700.5,691651.125,,,,,15847.06641,,139202.5469,,,10709.31738,,26312.84375,,1918304.625,,,251101.6406,,,89545.01563,20683.13086,760853.75,,14550.21582,101628.7578,,2593791.5,,2162772.25,,,,,,,,,31656.78125,,12098.35059,,,,,708064.125,86886.46094,,,8340.249023,64826.32031,1924604,,,972361.8125,,36042.36719,,,,,,,,,,22566.83398,,,38008.05078,,,,,,507315.2813,,,,,,,,,,6075.012695,,,,,127434.8594,7974.641113,561767.8125,230437.75,,66947.82031,,57304.5625,6651.747559,58433.23047,96520.92188,,200970.0938,,,,,,,,,,,,11723.76855,,,,,,571212.5,,,,,,,126286.6016,,,2878.112305,,160244.5313,,,2315.116211,,15928.18262,10576814,,,19891.72461,,,,226313.0781,,
1951,107651.2266,,,,,,395939.875,,,690113.5625,351388.1563,,,731287,,,,,,,,,,,24886.80664,654280.3125,,,,,,777442.5,702278.5,111276.7031,,,,17532.35742,,147452.9375,,,11038.49316,,27141.20508,,2051990.875,,,254378.6875,99915.19531,,95709.13281,21313.38867,796258.5,,14387.82324,109726.5547,,2655761.25,,2307417.25,,,,,,,464479.1563,,33231.97656,,13031.52441,,,,,745595.1875,93275.24219,,,8616.249023,69927.96094,2001609.125,,,1025208.188,,38633.09375,,,,,,,,,,23848.29883,,,39920.82422,,,,,,542138.8125,,,,,,,,,,6359.091797,,,,,137054.8281,8395.049805,588476.9375,238632.8906,,70915.03125,,59948.03125,6895.197754,64774.41016,101220.7109,,208849.1875,8632.483398,,,,,,,,,,,12532.3418,,,,,,594947.625,,,,,,,129514.6094,,,3147.589355,,164829,39292.33594,,2634.628906,,24063.45703,10912329,,,21162.5,,,,249237.4375,,
1952,111537.0469,,,,,,422138.8125,,,704562.375,359218.625,,,746504.25,,,,,,,,,,,26624.24609,705851.5625,,,,,,811696.75,707798.25,113452.6484,391298.4688,,,19832.28711,,156117.3438,,,11583.43066,,28045.35156,,2209629.75,,,257754.0469,101684.4531,,100465.1563,22105.7793,824298.25,,14319.76953,118960.7891,,2715599.25,,2397405.5,,,,,,,454424.6563,,34124.82422,,14230.27344,,,,,767845.875,97440.05469,,,8932.703125,73797.52344,2075137.75,,,1064209,,41197.04688,,,,,,,,,,25151.20898,,,42768.13281,,,,,,580736.375,,,,,,,,,,6582.751465,,,,,149197.5,9072.043945,610409.9375,247351.6875,,74368.44531,,63409.06641,7151.505859,71562.00781,105446.1953,,218197.375,9157.571289,,,,,,,,,,,13332.68262,,,,,,613882,,,,,,,133164.4531,,,3404.842529,,173202.0625,40623.22266,,3121.796875,,30520.08984,11273329,,,23063.61719,,,,260086.5781,,
1953,116580.1953,,,,,,450224.4063,,,733107.375,361311.1875,,,762698.25,,,,,,,,,,,27232.72656,737951.4375,,,,,,854122.25,713657.1875,117865.3438,420299.2188,,,22558.67188,,166643.4219,,,12178.30078,,29278.57813,,2367170.5,,,264377.3438,102205.6641,,107852.0938,23122.32813,854186.125,,14673.13965,125378.4609,,2775168,,2506864.25,,,,,,,448592.4375,,35232.72266,,15345.75488,,,,,798549.5,102252.3047,,,9344.765625,76451.5625,2167394.75,40652.18359,,1099584.875,,43852.39844,,,,200739.4219,,,,,,26054.81055,,,46420.17578,,,,,,617018.6875,,,,,,,,,,6928.367188,,,,,162253.2344,9858.576172,641546.375,257547.2656,,77048.90625,,67673.03906,7642.748535,78409.98438,111715.4531,,230241.4844,9867.370117,,,,,,,,,,,14116.17871,,,,,,630821.8125,,,,,,,136937.3594,,,3599.266113,,182921.5,42658.21875,,3572.249023,,35223.82031,11682797,,,24902.54883,,,,275773.9063,,
1954,120804.7969,,,,,,475599.7813,,,771454.3125,369493.4063,,,783743.375,,,,,,,,,,,28382.09375,780612.4375,,,,,,884597.5625,726833,120007.4531,452992.875,,,25148.64258,,180466.3594,,,12673.57031,,31372.58789,,2552261.25,,,271738.125,102510.1172,,117939.1016,24166.03906,899272.3125,,15344.76367,134408.8125,,2855737.5,,2620023.5,,,,,,,440649.8438,,36268.60156,,15999.23047,,,,,850036,106170.5078,,,9818.305664,79671.99219,2268664.75,42062.30859,4589.846191,1143398.75,,46980.08203,,,,198661.0938,,,,,,27025.7793,,,49514.73047,,,,,,658888.3125,,,1689.189453,,,,,,,7152.647461,1001.205505,,,,176580.1094,10880.12598,677658.25,268053.5938,,82362.57031,,71862.77344,7981.777832,83171.52344,118685.7344,,241873.7188,10361.71875,,,,,,,,,,,14800.33301,,,,,,654388.25,,,,,,,141069.1094,,,3799.139893,,193519.2656,44798.76953,,3976.819336,,41899.10547,12073595,,,27072.08789,,,,296225.375,,53174.08594
1955,121995.0391,,,,,,505330.3125,,,810403.5,386548.4375,,,803018.3125,,,,,,,,,,,30830.24414,820627.0625,,,,,,928225.5625,747444.8125,123960.6875,481566.9375,,,27864.23047,,194795.9531,,,13280.70605,,33691.02344,,2808869.25,,,276585.6875,103712.2813,,128485.0781,25233.83203,950117.6875,,16119.74609,144646,,2950121,,2756356.5,,72845.41406,,,,,435803.6875,,38613.15234,,16789.82227,,,,,910847.4375,111568.0781,236563.9375,,10598.10449,84202.46875,2398625.75,43670.00781,4753.858887,1199048,,50829.26172,,,,197240.2344,,,,,,28481.63086,,,52249.33594,,,,,,706601.4375,,,1731.223877,,,,,,,7428.939453,1045.975342,72406.23438,,,195391.5313,11874.98145,721008.125,278909.9063,,87113.96875,,76304.50781,8405.126953,89039.17188,125826.25,,251551.6406,10669.94922,,,,,,,,,,,15470.56055,,,,,,680584.5625,,,,,,,146198.5781,,,4090.412109,,205248.3125,46328.12109,,4450.791016,,46992.29297,12512252,,,29065.12891,,,,318479.875,133760.75,52278.91406
1956,122338.0391,,,,,,530530.9375,,,838407.6875,400126.625,,,828550.5,,,,,,,,,,,32834.53125,854691.625,,,,,,990494.25,774207.125,128204.6328,515698.8125,,,30578.06641,,208450.875,,,13969.34766,,35957.14063,,3062833.25,,,283528.1875,105246.5938,,138411.2031,25783.13086,1007519.688,,16715.77734,155020.125,,3061268.25,,2887763.5,,77936.86719,,,,,434393.1563,,42471.09375,,17624.2793,,,,,982528.6875,114324.0625,248048.7969,,11235.54199,88130.76563,2533390,45666.15234,4984.56543,1267903,,54610.71094,,,,195586.7031,,,,,,29691.27734,,,55113.95703,,,,,,770106.5625,,,1822.16687,,,,,,,7624.387207,1094.452881,73013.14844,,,212930.6406,12746.64746,770031.5625,288910.25,,91247.94531,,79909.98438,8974.212891,96413.88281,132268.9063,,262945.625,10914.33301,,,,,,,,,,,16679.38281,,,,,,706131.3125,,,,,,,149962.7813,,,4388.553223,,217377.2188,48387.55859,,4897.551758,,51048.53125,12946795,,,31228.90234,,,,339374.8438,138033.5469,51689.27734
1957,121134.1406,,,,,,559220,,,867267.4375,414914.2813,,,852394.6875,,,,,,,,,,,34554.92188,911217.1875,,,,,,1046541.5,802370.3125,132022.2344,552719.375,,,33094.69141,,219491.375,,,14774.06543,,37992.92969,,3313108.5,,,292237.3125,106974.6406,,147621.0781,26421.29297,1067313.625,,17468.48633,164539.6406,,3189814.5,,3022975.25,,80815.8125,,,,,435075.3438,,46488.50781,,18573.02734,,,,,1041876.938,115483.8594,263778.75,,11898.74707,93097.33594,2678227,48583.83594,5226.148438,1357632.375,,58068.51953,,,,196965.25,,,,,,30599.31445,,,58728.14844,,,,,,837257.875,,,1939.526978,,,,,,,7882.19043,1168.014526,74008.54688,,,233730.375,13581.38477,819502.625,298933.25,,95841.36719,,84893.48438,9539.610352,104745.7266,140426.9531,,279380.25,11685.84668,,,,,,,,,,,18000.11523,,,,,,731604.25,,,,,,,156783.4063,,,4848.192871,,233713.75,50310.17578,,5187.162109,,55389.80469,13370985,,,33535.23438,,,,363768.5,143395.9844,51175.50781
1958,123050.0938,,,,,,591008.125,,,905469.3125,429005.4375,,,866390,,,,,,,,,,,36052.73828,963159.4375,,,,,,1094171.625,817642.8125,135830.4063,619747.1875,,,35001.4375,,226571.1719,,,15349.24707,,38579.44922,,3556768.25,,,298865.2813,108879.9531,,155895.0156,27166.39648,1134248.625,,19137.92578,173028.3906,,3332971.75,,3138801.5,,83909.77344,,,,,438519.5313,,49533.75391,,19219.43359,,,,,1099296.5,116416.7109,285158.625,,12701.46777,98437.79688,2824836.5,51238.99219,5431.544434,1443924.375,,60520.91797,,,,197325.2188,,,,,,31752.43555,,,62139.00391,,,,,,894146.1875,,,2079.889648,,,,,,,8238.25,1233.812866,74938.39063,,,251263,14356.0791,857964.875,309185.5938,,100133.2422,,90083.85156,10199.0752,110626.7109,148127.1406,,294310.0313,12394.77148,,,,,,,,,,,18843.14844,,,,,,757497.25,,,,,,,163675.2656,,,5367.813965,,257229.1406,52811.28516,,5480.394043,,56919.10938,13754814,,,35738.69141,,,,386617.0938,144616.2344,50717.32813
1959,122403.2813,,,,,,616087.125,,,947253.1875,443595.6563,,,887441.4375,7526.521484,2497.679199,123808.6172,,,,,,,,36959.12109,1033868.625,,,,,,1147582.875,841324.1875,139050.5938,719133.8125,,,36422.85156,,234500.0938,,,16253.1123,,39429.72266,,3847527,,,312319.0938,109475.5781,,165109.0469,28310.47266,1171583,,19911.89844,182978.7188,,3465297.75,,3272734,,89617.0625,2820.938232,,,,444000.1875,,52028.89844,,19814.14453,,,,,1155373.875,120507.1172,306723,,13535.57422,104352.9063,2989312.25,53412.44922,5778.314941,1551703.75,,62780.99609,,,,195871.75,,,,,,33052.17969,,,65038.15234,,,,,,948703.125,,,2193.914063,,,,,,,8571.438477,1230.443115,75765.5,,,272587.0938,15203.13574,903112.0625,317803.0625,,104443.1953,,96230.67969,10963.31445,114279.3203,157262.1719,,309538.2813,12902.72949,,,,,,,,,,,19164.55469,,,,,,786654,,,,,,,172947.9063,,,5952.209473,,275472.0938,56244.55469,,5680.679688,,60006.58203,14239896,,,37910.77734,,,,398652.2813,146578.3594,50008.76953
