Year,Counts,Sum,ppm
1700,12,3319.13,276.5941667
1701,12,3319.45,276.6208333
1702,12,3319.76,276.6466667
1703,12,3320.07,276.6725
1704,12,3320.39,276.6991667
1705,12,3320.69,276.7241667
1706,12,3321.01,276.7508333
1707,12,3321.32,276.7766667
1708,12,3321.65,276.8041667
1709,12,3321.97,276.8308333
1710,12,3322.32,276.86
1711,12,3322.65,276.8875
1712,12,3323.01,276.9175
1713,12,3323.39,276.9491667
1714,12,3323.78,276.9816667
1715,12,3324.19,277.0158333
1716,12,3324.6,277.05
1717,12,3325.04,277.0866667
1718,12,3325.5,277.125
1719,12,3325.98,277.165
1720,12,3326.5,277.2083333
1721,12,3327.03,277.2525
1722,12,3327.6,277.3
1723,12,3328.19,277.3491667
1724,12,3328.79,277.3991667
1725,12,3329.39,277.4491667
1726,12,3329.97,277.4975
1727,12,3330.5,277.5416667
1728,12,3330.98,277.5816667
1729,12,3331.38,277.615
1730,12,3331.68,277.64
1731,12,3331.87,277.6558333
1732,12,3331.92,277.66
1733,12,3331.82,277.6516667
1734,12,3331.56,277.63
1735,12,3331.11,277.5925
1736,12,3330.53,277.5441667
1737,12,3329.85,277.4875
1738,12,3329.07,277.4225
1739,12,3328.26,277.355
1740,12,3327.42,277.285
1741,12,3326.59,277.2158333
1742,12,3325.79,277.1491667
1743,12,3325.05,277.0875
1744,12,3324.39,277.0325
1745,12,3323.77,276.9808333
1746,12,3323.21,276.9341667
1747,12,3322.7,276.8916667
1748,12,3322.22,276.8516667
1749,12,3321.77,276.8141667
1750,12,3321.34,276.7783333
1751,12,3320.93,276.7441667
1752,12,3320.54,276.7116667
1753,12,3320.16,276.68
1754,12,3319.81,276.6508333
1755,12,3319.51,276.6258333
1756,12,3319.26,276.605
1757,12,3319.05,276.5875
1758,12,3318.96,276.58
1759,12,3318.95,276.5791667
1760,12,3318.96,276.58
1761,12,3319.14,276.595
1762,12,3319.44,276.62
1763,12,3319.86,276.655
1764,12,3320.43,276.7025
1765,12,3321.12,276.76
1766,12,3321.95,276.8291667
1767,12,3322.88,276.9066667
1768,12,3323.91,276.9925
1769,12,3325.03,277.0858333
1770,12,3326.23,277.1858333
