1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220
ID,Year,total,USA,China,Russian Federation,Germany,Japan,India,United Kingdom,Canada,Ukraine,France,Italy,Poland,South Africa,Mexico,Iran,Australia,South Korea,Brazil,Saudi Arabia,Spain,Indonesia,Kazakhstan,Turkey,Netherlands,Czech Republic,Taiwan,Belgium,Romania,Argentina,Venezuela,Thailand,Uzbekistan,Egypt,Malaysia,North Korea,Pakistan,Belarus,United Arab Emirates,Algeria,Hungary,Iraq,Sweden,Greece,Austria,Nigeria,Bulgaria,Denmark,Viet Nam,Colombia,Philippines,Slovakia,Finland,Kuwait,Serbia,Chile,Switzerland,Turkmenistan,Portugal,Azerbaijan,Israel,Norway,Singapore,Libya,Qatar,Ireland,Syria,Morocco,Peru,Cuba,New Zealand,Hong Kong,Estonia,Bangladesh,Trinidad and Tobago,Lithuania,Oman,Ecuador,Croatia,Georgia,Moldova,Tunisia,Bosnia and Herzegovina,Bahrain,Slovenia,Luxembourg,Kyrgyzstan,Dominican Republic,Latvia,Lebanon,Angola,Zimbabwe,Jordan,Mongolia,Armenia,Yemen,North Macedonia,Bolivia,Myanmar,Sri Lanka,Jamaica,Kenya,Curaçao,Guatemala,Sudan,Tajikistan,Uruguay,Ghana,Côte d'Ivoire,Brunei Darussalam,Panama,Cyprus,Albania,Gabon,Honduras,Costa Rica,Zambia,Ethiopia,Senegal,El Salvador,Tanzania,Cameroon,Democratic Republic of the Congo,Afghanistan,Nicaragua,Mozambique,Bahamas,Paraguay,Papua New Guinea,Iceland,New Caledonia,Botswana,Nepal,Cambodia,Equatorial Guinea,Laos,Suriname,Mauritius,Benin,Malta,Guyana,Uganda,Montenegro,Madagascar,Kosovo,Guinea,Haiti,Congo,Mauritania,Namibia,Togo,Aruba,Lesotho,Burkina Faso,Macao,Occupied Palestinian Territory,Barbados,Liberia,Fiji,Sint Maarten (Dutch part),Mali,Malawi,Niger,Swaziland,South Sudan,Sierra Leone,Somalia,Faeroe Islands,Greenland,Bermuda,French Polynesia,Rwanda,Chad,"Bonaire, Saint Eustatius and Saba",Maldives,Antigua and Barbuda,Djibouti,Belize,Eritrea,Bhutan,Seychelles,Andorra,Gambia,Cape Verde,Central African Republic,Burundi,Saint Lucia,Solomon Islands,Guinea-Bissau,Grenada,Samoa,Saint Vincent and the Grenadines,Saint Kitts and Nevis,Liechtenstein,Palau,British Virgin Islands,Timor-Leste,Nauru,Comoros,Dominica,Vanuatu,Martinique,Tonga,Réunion,Saint Pierre and Miquelon,Turks and Caicos Islands,Micronesia (Federated States of),Anguilla,Marshall Islands,Sao Tome and Principe,Kiribati,Cook Islands,Montserrat,French Guiana,Wallis and Futuna Islands,Saint Helena,Tuvalu,Niue
186,1950,2.501030619,1.808906619,2.479565619,2.413745257,2.361638619,2.473039619,2.482852619,2.364447619,2.458960619,2.474460273,2.445815619,2.489717619,2.470426619,2.484371619,2.492702619,2.499680952,2.486089619,2.500434619,2.495663619,2.499627619,2.492011619,2.498347619,2.491895043,2.498440619,2.487032619,2.486152037,2.499997619,2.480229619,2.495730619,2.492862619,2.490583619,2.500769619,2.496601355,2.498236619,2.501030619,2.500817619,2.500671553,2.501030619,2.501030619,2.499997619,2.496010619,2.500580619,2.493207619,2.499903619,2.495326619,2.500414619,2.498983619,2.495028619,2.501030619,2.498983619,2.499790619,2.495020551,2.499243619,2.500925619,2.499507469,2.498723619,2.498236619,2.499379774,2.499496619,2.501030619,2.500574619,2.498728619,2.500558619,2.500991619,2.500934619,2.498375619,2.500917619,2.500331619,2.501017508,2.499500619,2.498691619,2.500670619,2.499689157,2.501030619,2.500388619,2.499779695,2.501030619,2.500828619,2.500474841,2.499924334,2.501030619,2.500697619,2.501030619,2.500653619,2.500598679,2.499005619,2.501030619,2.500935619,2.500360621,2.500617619,2.500979619,2.499789145,2.500983619,2.500952619,2.500304859,2.500320619,2.501030619,2.500046619,2.500811619,2.500586619,2.500956619,2.500782619,2.501030619,2.500861619,2.501030619,2.500626087,2.500360619,2.500856619,2.501030619,2.500917619,2.500889619,2.500957619,2.500949619,2.501030619,2.500948619,2.500952619,2.500040366,2.501006619,2.500933619,2.500957619,2.501030619,2.500992619,2.500626619,2.501007619,2.500978619,2.500784619,2.501015619,2.501013619,2.501015619,2.500828619,2.500970619,2.501030619,2.501023619,2.501030619,2.501027619,2.501030619,2.500972619,2.500975619,2.501030619,2.500963619,2.500959619,2.501001619,2.501030619,2.500947619,2.501030619,2.501030619,2.500999619,2.501030619,2.501030619,2.501030619,2.501023619,2.501030619,2.501030619,2.501030619,2.501030619,2.501030619,2.501010619,2.501017619,2.500997619,2.501030619,2.501030619,2.501030619,2.501030619,2.501029619,2.501030619,2.500987619,2.501017619,2.501019619,2.501003619,2.501018619,2.501030619,2.501030619,2.501030619,2.501030619,2.501030619,2.501030619,2.501027619,2.501025619,2.501030619,2.501030619,2.501030619,2.501030619,2.501026619,2.501002619,2.501030619,2.501030619,2.501029619,2.501030619,2.501028619,2.501028619,2.501029619,2.501029619,2.501030619,2.501030619,2.501030619,2.501030619,2.501030619,2.501030619,2.501030619,2.501030619,2.501030619,2.501015619,2.501028619,2.501023619,2.501026619,2.501030619,2.501030619,2.501030619,2.501030619,2.501030619,2.501030619,2.501030619,2.501030619,2.501028619,2.501030619,2.501030619,2.501030619,2.501030619
187,1951,2.823479927,2.110496927,2.795716927,2.721000908,2.666022927,2.789777927,2.804450927,2.674779927,2.779077927,2.792340203,2.761044927,2.810148927,2.790143927,2.805698927,2.813955927,2.821592927,2.807367927,2.822681927,2.817566927,2.823574927,2.814438927,2.820916927,2.812775332,2.820699927,2.808476927,2.807349087,2.822139927,2.799061927,2.817336927,2.813935927,2.810547927,2.823181927,2.81829005,2.820596927,2.823479927,2.823207927,2.822840633,2.823479927,2.823479927,2.822351927,2.817423927,2.822816927,2.814351927,2.822230927,2.817128927,2.823019927,2.821250927,2.817495927,2.823479927,2.821250927,2.822176927,2.81717081,2.821301927,2.823374927,2.821691131,2.820754927,2.820121927,2.821546162,2.822006927,2.823479927,2.822682927,2.820892927,2.823007927,2.823433927,2.823373927,2.820611927,2.823375927,2.822680927,2.823246126,2.821713927,2.821249927,2.823054927,2.821916872,2.823479927,2.822793927,2.82201412,2.823479927,2.823287927,2.822824768,2.822183757,2.823479927,2.823103927,2.823479927,2.823158927,2.822972602,2.821020927,2.823479927,2.823381927,2.822694961,2.823081927,2.823411927,2.82221909,2.823435927,2.823399927,2.822629644,2.822769927,2.823479927,2.822509927,2.823229927,2.823057927,2.823337927,2.823099927,2.823479927,2.823305927,2.823479927,2.823005925,2.822763927,2.823240927,2.823479927,2.823397927,2.823328927,2.823402927,2.823369927,2.823479927,2.823384927,2.823394927,2.822482479,2.823462927,2.823382927,2.823391927,2.823479927,2.823429927,2.823002927,2.823454927,2.823424927,2.823225927,2.823461927,2.823466927,2.823462927,2.823303927,2.823402927,2.823479927,2.823471927,2.823479927,2.823476927,2.823479927,2.823415927,2.823441927,2.823479927,2.823409927,2.823401927,2.823441927,2.823479927,2.823412927,2.823479927,2.823479927,2.823443927,2.823479927,2.823479927,2.823479927,2.823472927,2.823479927,2.823479927,2.823479927,2.823479927,2.823479927,2.823449927,2.823467927,2.823443927,2.823479927,2.823479927,2.823479927,2.823479927,2.823478927,2.823479927,2.823453927,2.823466927,2.823468927,2.823452927,2.823463927,2.823479927,2.823479927,2.823479927,2.823479927,2.823479927,2.823479927,2.823472927,2.823472927,2.823479927,2.823479927,2.823479927,2.823479927,2.823475927,2.823458927,2.823479927,2.823479927,2.823476927,2.823479927,2.823478927,2.823476927,2.823478927,2.823478927,2.823479927,2.823479927,2.823479927,2.823479927,2.823479927,2.823479927,2.823479927,2.823478927,2.823479927,2.823457927,2.823477927,2.823471927,2.823473927,2.823479927,2.823479927,2.823479927,2.823479927,2.823478927,2.823479927,2.823479927,2.823479927,2.823476927,2.823479927,2.823479927,2.823479927,2.823479927
188,1952,2.867693311,2.173075311,2.832698311,2.750020635,2.700924311,2.832094311,2.847635311,2.723472311,2.824183311,2.83198421,2.805733311,2.853870311,2.832744311,2.848345311,2.857535311,2.866576311,2.851261311,2.866748311,2.860886311,2.867740311,2.857427311,2.864221311,2.855419698,2.864834311,2.852759311,2.850310212,2.865948311,2.844909311,2.860423311,2.857840311,2.853843311,2.867344311,2.861742821,2.864719311,2.867693311,2.867450311,2.866773788,2.867693311,2.867693311,2.866631311,2.860266311,2.867158311,2.858269311,2.866383311,2.861668311,2.867098311,2.865119311,2.861442311,2.867693311,2.865336311,2.866277311,2.861085144,2.865330311,2.867588311,2.86563887,2.864798311,2.864628311,2.865476626,2.866232311,2.867693311,2.866694311,2.865049311,2.867221311,2.867648311,2.867640311,2.865067311,2.867563311,2.866720311,2.867238819,2.865978311,2.865149311,2.867274311,2.865908664,2.867693311,2.866930311,2.866012621,2.867693311,2.867449311,2.866938771,2.866207255,2.867693311,2.867299311,2.867693311,2.867342311,2.867110602,2.865127311,2.867693311,2.867531311,2.866793377,2.867372311,2.867608311,2.866413111,2.867640311,2.867611311,2.866718505,2.866983311,2.867693311,2.866587311,2.867384311,2.867164311,2.867539311,2.867259311,2.867693311,2.867517311,2.867693311,2.867149839,2.866832311,2.867456311,2.867693311,2.867605311,2.867497311,2.867607311,2.867591311,2.867693311,2.867595311,2.867587311,2.866688668,2.867666311,2.867596311,2.867587311,2.867693311,2.867616311,2.867124311,2.867668311,2.867618311,2.867400311,2.867672311,2.867665311,2.867670311,2.867481311,2.867564311,2.867693311,2.867685311,2.867693311,2.867690311,2.867693311,2.867620311,2.867645311,2.867693311,2.867627311,2.867601311,2.867654311,2.867693311,2.867609311,2.867693311,2.867693311,2.867653311,2.867693311,2.867693311,2.867693311,2.867681311,2.867693311,2.867693311,2.867693311,2.867693311,2.867693311,2.867669311,2.867678311,2.867650311,2.867693311,2.867693311,2.867693311,2.867693311,2.867692311,2.867693311,2.867644311,2.867680311,2.867678311,2.867664311,2.867664311,2.867693311,2.867693311,2.867693311,2.867693311,2.867693311,2.867693311,2.867686311,2.867686311,2.867693311,2.867693311,2.867693311,2.867693311,2.867690311,2.867683311,2.867693311,2.867693311,2.867691311,2.867692311,2.867690311,2.867690311,2.867691311,2.867690311,2.867693311,2.867693311,2.867693311,2.867693311,2.867693311,2.867693311,2.867693311,2.867691311,2.867693311,2.867668311,2.867691311,2.867684311,2.867684311,2.867693311,2.867693311,2.867693311,2.867693311,2.867692311,2.867693311,2.867693311,2.867693311,2.867690311,2.867693311,2.867693311,2.867693311,2.867693311
189,1953,2.911424652,2.200249652,2.874824652,2.778558318,2.741237652,2.871630652,2.890988652,2.764020652,2.867586652,2.871146173,2.852858652,2.896133652,2.873431652,2.892045652,2.901404652,2.910379652,2.895201652,2.910143652,2.904539652,2.911294652,2.900795652,2.907854652,2.89758202,2.907885652,2.896340652,2.892789295,2.909657652,2.888937652,2.903063652,2.901833652,2.898362652,2.910975652,2.904713548,2.908481652,2.911424652,2.910950652,2.9102249,2.911424652,2.911424652,2.910332652,2.902753652,2.910734652,2.902538652,2.910090652,2.905496652,2.910759652,2.908534652,2.905104652,2.911424652,2.908486652,2.909919652,2.904517436,2.909358652,2.911319652,2.909104566,2.908584652,2.908602652,2.908925046,2.909805652,2.911424652,2.910321652,2.908753652,2.910952652,2.911356652,2.911324652,2.908821652,2.911284652,2.910285652,2.91074947,2.909734652,2.909090652,2.910952652,2.909418413,2.911424652,2.910623652,2.909529079,2.911424652,2.911200652,2.910570731,2.909748711,2.911424652,2.911048652,2.911424652,2.911152652,2.910766559,2.909062652,2.911424652,2.911255652,2.91040975,2.911083652,2.911349652,2.910125089,2.911366652,2.911341652,2.910325323,2.910714652,2.911424652,2.910323652,2.911068652,2.910860652,2.911256652,2.911011652,2.911424652,2.911238652,2.911424652,2.91081171,2.910467652,2.911146652,2.911424652,2.911330652,2.911229652,2.911324652,2.911311652,2.911424652,2.911333652,2.911306652,2.910412815,2.911374652,2.911327652,2.911310652,2.911424652,2.911369652,2.910799652,2.911395652,2.911346652,2.911129652,2.911402652,2.911391652,2.911398652,2.911174652,2.911315652,2.911424652,2.911414652,2.911424652,2.911421652,2.911424652,2.911339652,2.911373652,2.911424652,2.911361652,2.911301652,2.911367652,2.911424652,2.911355652,2.911424652,2.911424652,2.911381652,2.911424652,2.911424652,2.911424652,2.911416652,2.911424652,2.911424652,2.911424652,2.911424652,2.911424652,2.911394652,2.911408652,2.911378652,2.911424652,2.911424652,2.911424652,2.911424652,2.911423652,2.911424652,2.911378652,2.911411652,2.911401652,2.911391652,2.911399652,2.911424652,2.911424652,2.911424652,2.911424652,2.911424652,2.911424652,2.911416652,2.911416652,2.911424652,2.911424652,2.911424652,2.911424652,2.911421652,2.911419652,2.911424652,2.911424652,2.911421652,2.911423652,2.911422652,2.911421652,2.911422652,2.911422652,2.911424652,2.911424652,2.911424652,2.911424652,2.911424652,2.911424652,2.911424652,2.911423652,2.911424652,2.911399652,2.911422652,2.911418652,2.911416652,2.911424652,2.911424652,2.911424652,2.911424652,2.911423652,2.911424652,2.911424652,2.911424652,2.911421652,2.911424652,2.911424652,2.911424652,2.911424652
190,1954,2.997408587,2.319719587,2.953397587,2.849348596,2.817329587,2.958495587,2.975918587,2.846559587,2.952926587,2.95256073,2.935620587,2.979675587,2.957129587,2.977237587,2.987507587,2.997123587,2.978891587,2.996000587,2.989306587,2.997070587,2.986562587,2.993383587,2.981996937,2.993741587,2.981470587,2.977520972,2.995637587,2.974004587,2.988262587,2.987376587,2.983433587,2.996848587,2.98993687,2.994223587,2.997408587,2.996101587,2.995928606,2.997408587,2.997408587,2.996274587,2.988125587,2.996576587,2.987991587,2.996020587,2.990718587,2.996706587,2.994298587,2.990426587,2.997408587,2.994781587,2.995706587,2.990202321,2.994909587,2.997303587,2.994822856,2.994383587,2.993969587,2.994626061,2.995827587,2.997408587,2.996227587,2.994710587,2.996936587,2.997326587,2.997242587,2.994926587,2.997250587,2.996429587,2.996512714,2.995784587,2.994933587,2.996917587,2.995180755,2.997408587,2.996634587,2.995298131,2.997408587,2.997145587,2.996455285,2.99554276,2.997408587,2.997024587,2.997408587,2.997123587,2.99667511,2.995011587,2.997408587,2.997237587,2.996278717,2.997051587,2.997313587,2.996089661,2.997339587,2.997275587,2.996184736,2.996698587,2.997408587,2.995953587,2.997009587,2.996921587,2.997192587,2.996944587,2.997408587,2.997205587,2.997408587,2.996726175,2.996388587,2.997134587,2.997408587,2.997310587,2.997235587,2.997287587,2.997271587,2.997408587,2.997305587,2.997297587,2.996389555,2.997334587,2.997311587,2.997280587,2.997408587,2.997345587,2.996639587,2.997379587,2.997322587,2.997096587,2.997385587,2.997358587,2.997382587,2.997195587,2.997266587,2.997408587,2.997397587,2.997408587,2.997400587,2.997408587,2.997316587,2.997357587,2.997408587,2.997324587,2.997279587,2.997348587,2.997408587,2.997329587,2.997408587,2.997408587,2.997349587,2.997408587,2.997408587,2.997408587,2.997399587,2.997408587,2.997408587,2.997408587,2.997402587,2.997408587,2.997377587,2.997380587,2.997365587,2.997408587,2.997408587,2.997408587,2.997408587,2.997407587,2.997408587,2.997374587,2.997395587,2.997387587,2.997380587,2.997385587,2.997408587,2.997408587,2.997408587,2.997408587,2.997408587,2.997408587,2.997399587,2.997400587,2.997408587,2.997408587,2.997408587,2.997408587,2.997404587,2.997402587,2.997408587,2.997408587,2.997406587,2.997407587,2.997406587,2.997405587,2.997405587,2.997406587,2.997408587,2.997408587,2.997408587,2.997408587,2.997408587,2.997408587,2.997408587,2.997407587,2.997408587,2.997383587,2.997406587,2.997398587,2.997399587,2.997408587,2.997408587,2.997408587,2.997408587,2.997407587,2.997408587,2.997408587,2.997408587,2.997404587,2.997408587,2.997408587,2.997408587,2.997408587
191,1955,3.213632704,2.470804704,3.161533704,3.050379055,3.016147704,3.174899704,3.190313704,3.056251704,3.167374704,3.16421547,3.148396704,3.193624704,3.171542704,3.190994704,3.202805704,3.209316704,3.194341704,3.211873704,3.204343704,3.213055704,3.202636704,3.207943704,3.196652035,3.209914704,3.196986704,3.192492831,3.211667704,3.188513704,3.203591704,3.202833704,3.197323704,3.212984704,3.205400374,3.210726704,3.213632704,3.211627704,3.211872495,3.213632704,3.213632704,3.212374704,3.203886704,3.212513704,3.202959704,3.212006704,3.205696704,3.212896704,3.210331704,3.206244704,3.213632704,3.210371704,3.211960704,3.206127389,3.210649704,3.213527704,3.210781327,3.210466704,3.209914704,3.210567258,3.211868704,3.213632704,3.212317704,3.210516704,3.213160704,3.213515704,3.213518704,3.210434704,3.213183704,3.212661704,3.212516141,3.211782704,3.211068704,3.213119704,3.21118328,3.213632704,3.212889704,3.211307365,3.213632704,3.213305704,3.21258002,3.211576992,3.213632704,3.213196704,3.213632704,3.213249704,3.212823842,3.210934704,3.213632704,3.213382704,3.212387865,3.213189704,3.213519704,3.212294415,3.213528704,3.213471704,3.21228433,3.212922704,3.213632704,3.211826704,3.213244704,3.213178704,3.213363704,3.213090704,3.213632704,3.213382704,3.213632704,3.212880822,3.212562704,3.213308704,3.213632704,3.213550704,3.213438704,3.213509704,3.213451704,3.213632704,3.213513704,3.213537704,3.212606477,3.213570704,3.213535704,3.213506704,3.213632704,3.213568704,3.212707704,3.213590704,3.213525704,3.213257704,3.213597704,3.213580704,3.213597704,3.213383704,3.213441704,3.213632704,3.213620704,3.213604704,3.213622704,3.213625704,3.213547704,3.213597704,3.213632704,3.213539704,3.213491704,3.213560704,3.213632704,3.213549704,3.213632704,3.213632704,3.213559704,3.213632704,3.213632704,3.213632704,3.213621704,3.213632704,3.213632704,3.213632704,3.213626704,3.213632704,3.213597704,3.213616704,3.213585704,3.213632704,3.213632704,3.213632704,3.213632704,3.213631704,3.213632704,3.213582704,3.213614704,3.213605704,3.213575704,3.213602704,3.213620704,3.213632704,3.213632704,3.213632704,3.213632704,3.213632704,3.213622704,3.213624704,3.213632704,3.213632704,3.213632704,3.213632704,3.213628704,3.213626704,3.213632704,3.213632704,3.213629704,3.213629704,3.213629704,3.213629704,3.213629704,3.213630704,3.213632704,3.213632704,3.213632704,3.213632704,3.213632704,3.213632704,3.213632704,3.213631704,3.213632704,3.213601704,3.213630704,3.213621704,3.213622704,3.213632704,3.213632704,3.213632704,3.213632704,3.213631704,3.213632704,3.213632704,3.213632704,3.213628704,3.213632704,3.213632704,3.213632704,3.213632704
192,1956,3.39758484,2.61895384,3.33853784,3.219137534,3.18844684,3.35372884,3.37344284,3.24092284,3.34577784,3.343598228,3.32429184,3.37478984,3.35216084,3.37376584,3.38608284,3.39135984,3.37765084,3.39552284,3.38758984,3.39713984,3.38602584,3.39163184,3.379035153,3.39366484,3.37982184,3.375192709,3.39548684,3.37116584,3.38645284,3.38549284,3.37984084,3.39686984,3.388591896,3.39486984,3.39758484,3.39513784,3.395544402,3.39758484,3.39758484,3.39622084,3.38853284,3.39583884,3.38574384,3.39586784,3.38988484,3.39676284,3.39404484,3.39038584,3.39758484,3.39414484,3.39586184,3.389780475,3.39426284,3.39747984,3.394467818,3.39435484,3.39292684,3.394236473,3.39562884,3.39758484,3.39627584,3.39432184,3.39711284,3.39749484,3.39744684,3.39460284,3.39703784,3.39662384,3.396247586,3.39598984,3.39494384,3.39700584,3.394913824,3.39758484,3.39679884,3.395044618,3.39758484,3.39723084,3.396432775,3.395339242,3.39758484,3.39715884,3.39758484,3.39729684,3.396700594,3.39475484,3.39758484,3.39731584,3.396225033,3.39706984,3.39744784,3.396227188,3.39746184,3.39739684,3.396111943,3.39687484,3.39758484,3.39587784,3.39713284,3.39719784,3.39724084,3.39697884,3.39758484,3.39731784,3.39758484,3.396763488,3.39648684,3.39729084,3.39758484,3.39750384,3.39741184,3.39740084,3.39735584,3.39758484,3.39746084,3.39745284,3.396551418,3.39751884,3.39748784,3.39744084,3.39758484,3.39751984,3.39671784,3.39753484,3.39748184,3.39716084,3.39754684,3.39753084,3.39754984,3.39732584,3.39726684,3.39758484,3.39757184,3.39754884,3.39757484,3.39756884,3.39749184,3.39752484,3.39758484,3.39750384,3.39743484,3.39751284,3.39758484,3.39749784,3.39758484,3.39758484,3.39751284,3.39758484,3.39758484,3.39758484,3.39757384,3.39758484,3.39758484,3.39758484,3.39757784,3.39758484,3.39754984,3.39757184,3.39753184,3.39758484,3.39758484,3.39758484,3.39758484,3.39758384,3.39758484,3.39753584,3.39756584,3.39755384,3.39754584,3.39754784,3.39757284,3.39758484,3.39758484,3.39758484,3.39758484,3.39758484,3.39757684,3.39757684,3.39758484,3.39758484,3.39758484,3.39758484,3.39757984,3.39757684,3.39758484,3.39758484,3.39758184,3.39758184,3.39758184,3.39758184,3.39758184,3.39758284,3.39758484,3.39758484,3.39758484,3.39758484,3.39758484,3.39758484,3.39758484,3.39758384,3.39758484,3.39755284,3.39758284,3.39757184,3.39757584,3.39758484,3.39758484,3.39758484,3.39758484,3.39758284,3.39758484,3.39758484,3.39758484,3.39758084,3.39758484,3.39758484,3.39758484,3.39758484
193,1957,3.49563876,2.72363776,3.42567476,3.301997796,3.28330276,3.44429376,3.46855476,3.33996276,3.44573876,3.437082771,3.41988876,3.47185976,3.44686676,3.47116776,3.48218676,3.48968876,3.47529876,3.49339676,3.48581676,3.49506576,3.48192876,3.48952176,3.475520054,3.49127876,3.47805876,3.47199437,3.49340476,3.46929976,3.48310076,3.48264276,3.47664576,3.49484076,3.485885203,3.49238476,3.49563876,3.49255676,3.493318093,3.49563876,3.49563876,3.49412676,3.48514476,3.49400876,3.48503476,3.49377776,3.48767276,3.49476976,3.49171076,3.48884176,3.49563876,3.49191176,3.49381676,3.487535346,3.49229676,3.49553376,3.492256093,3.49243776,3.49080776,3.492007473,3.49351376,3.49563876,3.49422676,3.49253776,3.49516676,3.49555376,3.49555376,3.49298576,3.49509776,3.49480476,3.494080816,3.49185376,3.49282576,3.49499376,3.492746152,3.49563876,3.49493876,3.492883655,3.49563876,3.49532976,3.494387314,3.493203277,3.49563876,3.49520876,3.49563876,3.49543276,3.49467913,3.49268076,3.49563876,3.49535676,3.494163985,3.49507476,3.49546976,3.494261745,3.49550376,3.49543076,3.49404134,3.49492876,3.49563876,3.49380176,3.49506576,3.49500576,3.49520076,3.49501576,3.49563876,3.49536976,3.49563876,3.494747938,3.49442876,3.49528576,3.49563876,3.49555876,3.49543076,3.49541576,3.49522776,3.49563876,3.49548176,3.49551276,3.494598144,3.49555076,3.49554176,3.49547576,3.49563876,3.49556876,3.49472976,3.49555876,3.49552476,3.49515576,3.49559076,3.49558076,3.49559876,3.49537576,3.49534776,3.49563876,3.49562376,3.49559476,3.49562976,3.49562276,3.49553676,3.49557876,3.49563876,3.49555376,3.49549276,3.49556276,3.49563876,3.49555276,3.49563876,3.49563876,3.49556976,3.49563876,3.49563876,3.49563876,3.49562576,3.49563876,3.49563876,3.49563876,3.49563076,3.49563876,3.49560176,3.49561576,3.49559376,3.49563876,3.49563876,3.49563876,3.49563876,3.49563776,3.49563876,3.49553276,3.49561876,3.49561276,3.49559476,3.49560076,3.49562476,3.49563876,3.49563876,3.49563876,3.49563876,3.49563276,3.49562676,3.49563076,3.49563876,3.49563876,3.49563876,3.49563876,3.49563276,3.49563376,3.49563876,3.49563876,3.49563576,3.49563576,3.49563576,3.49563576,3.49563476,3.49563676,3.49563876,3.49563876,3.49563876,3.49563876,3.49563876,3.49563876,3.49563876,3.49563776,3.49563876,3.49559476,3.49563676,3.49562276,3.49562776,3.49563876,3.49563876,3.49563876,3.49563876,3.49563576,3.49563876,3.49563876,3.49563876,3.49563476,3.49563876,3.49563876,3.49563876,3.49563876
194,1958,3.606204563,2.858135563,3.462814563,3.397369942,3.399743563,3.556744563,3.577895563,3.454475563,3.556483563,3.543079196,3.533549563,3.582282563,3.557963563,3.579931563,3.591461563,3.599318563,3.585020563,3.603745563,3.595541563,3.605287563,3.590949563,3.600143563,3.584516839,3.601826563,3.588001563,3.581307915,3.603591563,3.582268563,3.592611563,3.594140563,3.591340563,3.605380563,3.595690392,3.602468563,3.606204563,3.601936563,3.603603667,3.606204563,3.606204563,3.604780563,3.595492563,3.604384563,3.594719563,3.604170563,3.598536563,3.605188563,3.601938563,3.598891563,3.606204563,3.602388563,3.604191563,3.597802099,3.603308563,3.606099563,3.602556251,3.602805563,3.601758563,3.602290356,3.604141563,3.606204563,3.604692563,3.603150563,3.605577563,3.606108563,3.606158563,3.603759563,3.605612563,3.605312563,3.604425928,3.601292563,3.603425563,3.605556563,3.603090362,3.606204563,3.605255563,3.603234575,3.606204563,3.605843563,3.604853736,3.603579195,3.606204563,3.605809563,3.606204563,3.605852563,3.605169549,3.603451563,3.606204563,3.605913563,3.60461482,3.605663563,3.606042563,3.604808184,3.606061563,3.605894563,3.604482621,3.605494563,3.606204563,3.604140563,3.605546563,3.605672563,3.605834563,3.605634563,3.606204563,3.605896563,3.606204563,3.605244271,3.605118563,3.605832563,3.606068563,3.606117563,3.605951563,3.605995563,3.605876563,3.606204563,3.606044563,3.606082563,3.605156752,3.606117563,3.606107563,3.606041563,3.606204563,3.606128563,3.605405563,3.606114563,3.606040563,3.605708563,3.606155563,3.606138563,3.606164563,3.605906563,3.606002563,3.606204563,3.606188563,3.606150563,3.606191563,3.606184563,3.606117563,3.606147563,3.606170563,3.606114563,3.606079563,3.606124563,3.606204563,3.606102563,3.606204563,3.606159563,3.606129563,3.606204563,3.606204563,3.606204563,3.606191563,3.606204563,3.606204563,3.606203563,3.606196563,3.606204563,3.606163563,3.606160563,3.606156563,3.606204563,3.606204563,3.606204563,3.606197563,3.606203563,3.606204563,3.606147563,3.606181563,3.606172563,3.606142563,3.606164563,3.606190563,3.606204563,3.606204563,3.606204563,3.606204563,3.606196563,3.606191563,3.606193563,3.606204563,3.606204563,3.606204563,3.606204563,3.606197563,3.606200563,3.606204563,3.606204563,3.606201563,3.606201563,3.606201563,3.606200563,3.606201563,3.606201563,3.606204563,3.606204563,3.606204563,3.606204563,3.606204563,3.606204563,3.606204563,3.606202563,3.606204563,3.606165563,3.606202563,3.606187563,3.606193563,3.606204563,3.606204563,3.606204563,3.606204563,3.606202563,3.606204563,3.606204563,3.606204563,3.606199563,3.606204563,3.606204563,3.606204563,3.606204563
