"Counter","Year","Mean","SD","MeanE","NMeanE","HSMeanE","WMeanE"
0,1950,0.5894648248109163,0.35233566486735146,"Around[0.5894648248109163, 0.35233566486735146]","Around[0.339497, 0.008299]","Around[1.07298, 0.027281]","Around[0.355917, 0.016898]"
1,1951,0.6179251839381725,0.3692888080042849,"Around[0.6179251839381725, 0.3692888080042849]","Around[0.355837, 0.008795]","Around[1.124688, 0.028923]","Around[0.373251, 0.017913]"
2,1952,0.6681421483104613,0.39923439489824103,"Around[0.6681421483104613, 0.39923439489824103]","Around[0.384701, 0.009613]","Around[1.215979, 0.031623]","Around[0.403746, 0.019582]"
3,1953,0.7137862441951132,0.42643992066665243,"Around[0.7137862441951132, 0.42643992066665243]","Around[0.410924, 0.010378]","Around[1.298935, 0.034155]","Around[0.4315, 0.021147]"
4,1954,0.7432740621905096,0.4439868505073611,"Around[0.7432740621905096, 0.4439868505073611]","Around[0.427839, 0.01092]","Around[1.352478, 0.035951]","Around[0.449505, 0.022257]"
5,1955,0.7859683784042065,0.4694174117410367,"Around[0.7859683784042065, 0.4694174117410367]","Around[0.45235, 0.011667]","Around[1.430044, 0.038424]","Around[0.475512, 0.023784]"
6,1956,0.8267022602648855,0.49366902541792773,"Around[0.8267022602648855, 0.49366902541792773]","Around[0.475725, 0.012398]","Around[1.504028, 0.040845]","Around[0.500354, 0.025279]"
7,1957,0.8715675509107573,0.5203800590115317,"Around[0.8715675509107573, 0.5203800590115317]","Around[0.501471, 0.013203]","Around[1.585515, 0.043515]","Around[0.527717, 0.026928]"
8,1958,0.9172578625212525,0.547573144539199,"Around[0.9172578625212525, 0.547573144539199]","Around[0.527683, 0.014038]","Around[1.668485, 0.046282]","Around[0.555605, 0.028636]"
9,1959,0.9553017880624665,0.570192962156652,"Around[0.9553017880624665, 0.570192962156652]","Around[0.549486, 0.014774]","Around[1.737531, 0.048722]","Around[0.578888, 0.030142]"
10,1960,1.0175029619679985,0.6072229245030394,"Around[1.0175029619679985, 0.6072229245030394]","Around[0.585175, 0.015899]","Around[1.850499, 0.05245]","Around[0.616834, 0.032444]"
11,1961,1.0753996859679,0.6416748378073549,"Around[1.0753996859679, 0.6416748378073549]","Around[0.618377, 0.016974]","Around[1.955622, 0.05602]","Around[0.652199, 0.034645]"
12,1962,1.1541944425166375,0.6885814835110543,"Around[1.1541944425166375, 0.6885814835110543]","Around[0.663582, 0.018405]","Around[2.098723, 0.060765]","Around[0.700278, 0.037573]"
13,1963,1.230788020554463,0.7341562971014391,"Around[1.230788020554463, 0.7341562971014391]","Around[0.707504, 0.019833]","Around[2.237788, 0.065506]","Around[0.747072, 0.040496]"
14,1964,1.3094911071337032,0.7809717622091593,"Around[1.3094911071337032, 0.7809717622091593]","Around[0.75262, 0.02133]","Around[2.380656, 0.070473]","Around[0.795197, 0.043558]"
15,1965,1.3900328531911261,0.8288628802115634,"Around[1.3900328531911261, 0.8288628802115634]","Around[0.798774, 0.022892]","Around[2.526831, 0.075661]","Around[0.844494, 0.046755]"
16,1966,1.4766522599411849,0.8803568373456501,"Around[1.4766522599411849, 0.8803568373456501]","Around[0.8484, 0.024592]","Around[2.684016, 0.08131]","Around[0.897542, 0.050235]"
17,1967,1.5768396264820235,0.9399124008895118,"Around[1.5768396264820235, 0.9399124008895118]","Around[0.905797, 0.026564]","Around[2.865814, 0.087861]","Around[0.958908, 0.05427]"
18,1968,1.6837786941574053,1.0034632115116549,"Around[1.6837786941574053, 1.0034632115116549]","Around[0.967042, 0.028706]","Around[3.059829, 0.09498]","Around[1.024465, 0.058652]"
19,1969,1.7923161635047196,1.0679281459957743,"Around[1.7923161635047196, 1.0679281459957743]","Around[1.02917, 0.030944]","Around[3.256681, 0.102419]","Around[1.091098, 0.063231]"
20,1970,1.8665688186596787,1.1119240515626398,"Around[1.8665688186596787, 1.1119240515626398]","Around[1.071578, 0.032661]","Around[3.391163, 0.10813]","Around[1.136966, 0.066741]"
21,1971,1.98968531915587,1.1849861613635182,"Around[1.98968531915587, 1.1849861613635182]","Around[1.142001, 0.035306]","Around[3.614345, 0.116916]","Around[1.21271, 0.072147]"
22,1972,2.1208420422987553,1.2627929815758547,"Around[2.1208420422987553, 1.2627929815758547]","Around[1.21699, 0.03818]","Around[3.85205, 0.126474]","Around[1.293486, 0.078021]"
23,1973,2.2477072064812185,1.3379934437550844,"Around[2.2477072064812185, 1.3379934437550844]","Around[1.289462, 0.041076]","Around[4.081865, 0.136114]","Around[1.371795, 0.08394]"
24,1974,2.3331354390042254,1.3884710369801612,"Around[2.3331354390042254, 1.3884710369801612]","Around[1.33812, 0.043307]","Around[4.236328, 0.143552]","Around[1.424958, 0.088497]"
25,1975,2.4506490135446017,1.4579846728012802,"Around[2.4506490135446017, 1.4579846728012802]","Around[1.405138, 0.046224]","Around[4.448945, 0.153276]","Around[1.497864, 0.094456]"
26,1976,2.554262187370099,1.5191859357301107,"Around[2.554262187370099, 1.5191859357301107]","Around[1.464121, 0.048986]","Around[4.636239, 0.162495]","Around[1.562427, 0.100095]"
27,1977,2.6798538726749466,1.5933828321295973,"Around[2.6798538726749466, 1.5933828321295973]","Around[1.535649, 0.052293]","Around[4.863287, 0.17352]","Around[1.640626, 0.106842]"
28,1978,2.8206820394506753,1.6765579628629674,"Around[2.8206820394506753, 1.6765579628629674]","Around[1.615844, 0.05604]","Around[5.117835, 0.186]","Around[1.728367, 0.11448]"
29,1979,2.976749087983226,1.7687080048130837,"Around[2.976749087983226, 1.7687080048130837]","Around[1.704696, 0.060242]","Around[5.399875, 0.199996]","Around[1.825677, 0.123039]"
30,1980,3.087106157575312,1.8336255873089213,"Around[3.087106157575312, 1.8336255873089213]","Around[1.767301, 0.063655]","Around[5.598854, 0.211393]","Around[1.895164, 0.129985]"
31,1981,3.197950108292081,1.8987679386287741,"Around[3.197950108292081, 1.8987679386287741]","Around[1.830123, 0.067202]","Around[5.798588, 0.223247]","Around[1.96514, 0.137198]"
32,1982,3.31833362133119,1.9694927962666757,"Around[3.31833362133119, 1.9694927962666757]","Around[1.898342, 0.071089]","Around[6.015462, 0.236244]","Around[2.041197, 0.145098]"
33,1983,3.470594594016387,2.0590440096832454,"Around[3.470594594016387, 2.0590440096832454]","Around[1.984709, 0.075845]","Around[6.289936, 0.252131]","Around[2.137138, 0.15476]"
34,1984,3.632411162899812,2.154158783187359,"Around[3.632411162899812, 2.154158783187359]","Around[2.076436, 0.081029]","Around[6.581514, 0.269438]","Around[2.239284, 0.165277]"
35,1985,3.836454489292259,2.2741704692018385,"Around[3.836454489292259, 2.2741704692018385]","Around[2.192196, 0.087409]","Around[6.949319, 0.290722]","Around[2.367849, 0.178213]"
36,1986,4.021890196306691,2.383013123226484,"Around[4.021890196306691, 2.383013123226484]","Around[2.297189, 0.093645]","Around[7.283133, 0.311544]","Around[2.485349, 0.190839]"
37,1987,4.208760108081403,2.492558166324267,"Around[4.208760108081403, 2.492558166324267]","Around[2.402862, 0.100216]","Around[7.619237, 0.333488]","Around[2.604182, 0.204124]"
38,1988,4.369629618711847,2.586553742783216,"Around[4.369629618711847, 2.586553742783216]","Around[2.493546, 0.106486]","Around[7.907952, 0.354427]","Around[2.707391, 0.216766]"
39,1989,4.542791568412324,2.6876608457021383,"Around[4.542791568412324, 2.6876608457021383]","Around[2.591117, 0.113374]","Around[8.218569, 0.377414]","Around[2.818689, 0.230634]"
40,1990,4.753030364416547,2.8105360695708574,"Around[4.753030364416547, 2.8105360695708574]","Around[2.709687, 0.121529]","Around[8.595902, 0.404634]","Around[2.953503, 0.247047]"
41,1991,4.87108164672448,2.8787537585128016,"Around[4.87108164672448, 2.8787537585128016]","Around[2.775559, 0.127643]","Around[8.806182, 0.425089]","Around[3.031503, 0.259285]"
42,1992,5.017790492810564,2.9637699815421104,"Around[5.017790492810564, 2.9637699815421104]","Around[2.857632, 0.134819]","Around[9.067952, 0.449083]","Around[3.127787, 0.27364]"
43,1993,5.178699481816583,3.05701250020115,"Around[5.178699481816583, 3.05701250020115]","Around[2.947639, 0.142742]","Around[9.355005, 0.475576]","Around[3.233455, 0.28947]"
