T, year, m_scc, sd_ssc, m_sccp, sd_sccp, m_mu, sd_mu, m_EInd_GtC, sd_EInd_GtC, m_Catm, sd_Catm, m_Temp, sd_Temp, m_I, sd_I, m_K, sd_K, m_C, sd_C, m_Qg, sd_Qg, m_Qn, sd_Qn
0.000000,1950.000000,1.072980,0.027281,95.310781,2.423309,0.000000,0.000000,1.608696,0.000000,304.617990,0.000000,0.183409,0.000000,2.491813,0.000000,21.601461,0.000000,8.494858,0.000000,10.989420,0.000000,10.986671,0.000000
1.000000,1951.000000,1.124688,0.028923,94.261091,2.424102,0.000000,0.000000,1.734960,0.000000,305.120882,0.000000,0.184873,0.000000,2.837861,0.000000,23.294471,0.000000,8.763733,0.000000,11.604544,0.000000,11.601594,0.000000
2.000000,1952.000000,1.215979,0.031623,93.263731,2.425452,0.000000,0.000000,1.758056,0.000000,305.741005,0.000000,0.185194,0.000000,2.770802,0.000000,25.270923,0.000000,9.268299,0.000000,12.042173,0.000000,12.039101,0.000000
3.000000,1953.000000,1.298935,0.034155,92.300201,2.426979,0.000000,0.000000,1.806908,0.000000,306.326738,0.000000,0.185319,0.000000,2.905620,0.000000,27.107229,0.000000,9.698580,0.000000,12.607420,0.000000,12.604200,0.000000
4.000000,1954.000000,1.352478,0.035951,91.360086,2.428507,0.000000,0.000000,1.845267,0.000000,306.916650,0.000000,0.185880,0.000000,2.984381,0.000000,29.010448,0.000000,9.932158,0.000000,12.919860,0.000000,12.916539,0.000000
5.000000,1955.000000,1.430044,0.038424,90.440664,2.430065,0.000000,0.000000,2.022447,0.000000,307.529996,0.000000,0.186833,0.000000,3.318917,0.000000,30.922049,0.000000,10.301817,0.000000,13.624271,0.000000,13.620734,0.000000
6.000000,1956.000000,1.504028,0.040845,89.544664,2.431763,0.000000,0.000000,2.152897,0.000000,308.222284,0.000000,0.188198,0.000000,3.498889,0.000000,33.097497,0.000000,10.638028,0.000000,14.140642,0.000000,14.136917,0.000000
7.000000,1957.000000,1.585515,0.043515,88.668920,2.433542,0.000000,0.000000,2.223767,0.000000,308.959069,0.000000,0.190018,0.000000,3.638381,0.000000,35.372470,0.000000,11.007442,0.000000,14.649758,0.000000,14.645823,0.000000
8.000000,1958.000000,1.668485,0.046282,87.806703,2.435648,0.000000,0.000000,2.286623,0.000000,309.703387,0.000000,0.192506,0.000000,3.634924,0.000000,37.702809,0.000000,11.374835,0.000000,15.013897,0.000000,15.009758,0.000000
9.000000,1959.000000,1.737531,0.048722,86.955200,2.438298,0.000000,0.000000,2.415000,0.000000,310.472609,0.000000,0.196278,0.000000,3.993022,0.000000,39.943517,0.000000,11.654399,0.000000,15.651906,0.000000,15.647421,0.000000
10.000000,1960.000000,1.850499,0.052450,86.104953,2.440525,0.000000,0.000000,2.548000,0.000000,311.219128,0.000000,0.201620,0.000000,4.217586,0.000000,42.459463,0.000000,12.169041,0.000000,16.391583,0.000000,16.386626,0.000000
11.000000,1961.000000,1.955622,0.056020,85.254365,2.442147,0.000000,0.000000,2.553000,0.000000,312.008981,0.000000,0.207366,0.000000,4.284725,0.000000,45.106936,0.000000,12.627817,0.000000,16.917952,0.000000,16.912541,0.000000
12.000000,1962.000000,2.098723,0.060765,84.407984,2.443908,0.000000,0.000000,2.644000,0.000000,312.797013,0.000000,0.212406,0.000000,4.425191,0.000000,47.723647,0.000000,13.275926,0.000000,17.707060,0.000000,17.701118,0.000000
13.000000,1963.000000,2.237788,0.065506,83.561710,2.446067,0.000000,0.000000,2.794000,0.000000,313.603576,0.000000,0.217373,0.000000,4.681333,0.000000,50.384061,0.000000,13.887358,0.000000,18.575219,0.000000,18.568691,0.000000
14.000000,1964.000000,2.380656,0.070473,82.710419,2.448423,0.000000,0.000000,2.939000,0.000000,314.461689,0.000000,0.223011,0.000000,5.150394,0.000000,53.202236,0.000000,14.506923,0.000000,19.664591,0.000000,19.657317,0.000000
15.000000,1965.000000,2.526831,0.075661,81.853430,2.450937,0.000000,0.000000,3.076000,0.000000,315.357963,0.000000,0.229466,0.000000,5.481758,0.000000,56.385259,0.000000,15.133656,0.000000,20.623491,0.000000,20.615414,0.000000
16.000000,1966.000000,2.684016,0.081310,80.988132,2.453463,0.000000,0.000000,3.219000,0.000000,316.291265,0.000000,0.236808,0.000000,5.760383,0.000000,59.781941,0.000000,15.806819,0.000000,21.576202,0.000000,21.567202,0.000000
17.000000,1967.000000,2.865814,0.087861,80.108677,2.455996,0.000000,0.000000,3.322000,0.000000,317.272244,0.000000,0.244877,0.000000,5.755866,0.000000,63.331642,0.000000,16.590798,0.000000,22.356635,0.000000,22.346664,0.000000
18.000000,1968.000000,3.059829,0.094980,79.205955,2.458636,0.000000,0.000000,3.503000,0.000000,318.266608,0.000000,0.253588,0.000000,6.079803,0.000000,66.745561,0.000000,17.421713,0.000000,23.512763,0.000000,23.501516,0.000000
19.000000,1969.000000,3.256681,0.102419,78.277898,2.461756,0.000000,0.000000,3.737000,0.000000,319.288065,0.000000,0.263302,0.000000,6.550904,0.000000,70.357172,0.000000,18.251700,0.000000,24.815400,0.000000,24.802604,0.000000
20.000000,1970.000000,3.391163,0.108130,77.326411,2.465611,0.000000,0.000000,4.047000,0.000000,320.391673,0.000000,0.274828,0.000000,6.936924,0.000000,74.306331,0.000000,18.778187,0.000000,25.729566,0.000000,25.715112,0.000000
21.000000,1971.000000,3.614345,0.116916,76.343684,2.469542,0.000000,0.000000,4.210000,0.000000,321.577109,0.000000,0.288693,0.000000,7.178966,0.000000,78.495474,0.000000,19.702334,0.000000,26.897974,0.000000,26.881300,0.000000
22.000000,1972.000000,3.852050,0.126474,75.317113,2.472872,0.000000,0.000000,4.406000,0.000000,322.729860,0.000000,0.304011,0.000000,7.574509,0.000000,82.771748,0.000000,20.678925,0.000000,28.272870,0.000000,28.253434,0.000000
23.000000,1973.000000,4.081865,0.136114,74.258896,2.476239,0.000000,0.000000,4.640000,0.000000,323.942069,0.000000,0.319493,0.000000,8.376771,0.000000,87.285432,0.000000,21.604180,0.000000,30.003731,0.000000,29.980951,0.000000
24.000000,1974.000000,4.236328,0.143552,73.183674,2.479894,0.000000,0.000000,4.620000,0.000000,325.221962,0.000000,0.334850,0.000000,8.594051,0.000000,92.434467,0.000000,22.181941,0.000000,30.801681,0.000000,30.775993,0.000000
