T, year, m_scc, sd_ssc, m_sccp, sd_sccp, m_mu, sd_mu, m_EInd_GtC, sd_EInd_GtC, m_Catm, sd_Catm, m_Temp, sd_Temp, m_I, sd_I, m_K, sd_K, m_C, sd_C, m_Qg, sd_Qg, m_Qn, sd_Qn
0.000000,1950.000000,3.106652,0.559127,37.717285,6.788254,0.000000,0.000000,1.608696,0.000000,304.617990,0.000000,0.183409,0.000000,2.491813,0.000000,21.601461,0.000000,8.493731,0.000000,10.986416,0.000000,10.985544,0.000000
1.000000,1951.000000,3.193891,0.574938,37.709525,6.788163,0.000000,0.000000,1.734960,0.000000,305.120882,0.000000,0.184873,0.000000,2.837861,0.000000,23.294471,0.000000,8.762535,0.000000,11.601332,0.000000,11.600396,0.000000
2.000000,1952.000000,3.399092,0.612064,37.709550,6.790240,0.000000,0.000000,1.758056,0.000000,305.741005,0.000000,0.185194,0.000000,2.770802,0.000000,25.270923,0.000000,9.267054,0.000000,12.038830,0.000000,12.037856,0.000000
3.000000,1953.000000,3.567992,0.642686,37.712177,6.792922,0.000000,0.000000,1.806908,0.000000,306.326738,0.000000,0.185319,0.000000,2.905620,0.000000,27.107229,0.000000,9.697275,0.000000,12.603917,0.000000,12.602895,0.000000
4.000000,1954.000000,3.638365,0.655561,37.714935,6.795485,0.000000,0.000000,1.845267,0.000000,306.916650,0.000000,0.185880,0.000000,2.984381,0.000000,29.010448,0.000000,9.930818,0.000000,12.916252,0.000000,12.915199,0.000000
5.000000,1955.000000,3.774346,0.680262,37.718051,6.798045,0.000000,0.000000,2.022447,0.000000,307.529996,0.000000,0.186833,0.000000,3.318917,0.000000,30.922049,0.000000,10.300397,0.000000,13.620437,0.000000,13.619314,0.000000
6.000000,1956.000000,3.891522,0.701600,37.722935,6.801039,0.000000,0.000000,2.152897,0.000000,308.222284,0.000000,0.188198,0.000000,3.498889,0.000000,33.097497,0.000000,10.636545,0.000000,14.136616,0.000000,14.135434,0.000000
7.000000,1957.000000,4.022347,0.725411,37.728755,6.804203,0.000000,0.000000,2.223767,0.000000,308.959069,0.000000,0.190018,0.000000,3.638381,0.000000,35.372470,0.000000,11.005893,0.000000,14.645522,0.000000,14.644274,0.000000
8.000000,1958.000000,4.149469,0.748634,37.737880,6.808546,0.000000,0.000000,2.286623,0.000000,309.703387,0.000000,0.192506,0.000000,3.634924,0.000000,37.702809,0.000000,11.373228,0.000000,15.009464,0.000000,15.008152,0.000000
9.000000,1959.000000,4.231015,0.763769,37.752593,6.814971,0.000000,0.000000,2.415000,0.000000,310.472609,0.000000,0.196278,0.000000,3.993022,0.000000,39.943517,0.000000,11.652695,0.000000,15.647139,0.000000,15.645717,0.000000
10.000000,1960.000000,4.424196,0.798983,37.761483,6.819494,0.000000,0.000000,2.548000,0.000000,311.219128,0.000000,0.201620,0.000000,4.217586,0.000000,42.459463,0.000000,12.167213,0.000000,16.386371,0.000000,16.384799,0.000000
11.000000,1961.000000,4.585668,0.828349,37.762429,6.821353,0.000000,0.000000,2.553000,0.000000,312.008981,0.000000,0.207366,0.000000,4.284725,0.000000,45.106936,0.000000,12.625883,0.000000,16.912323,0.000000,16.910607,0.000000
12.000000,1962.000000,4.836259,0.873867,37.763897,6.823587,0.000000,0.000000,2.644000,0.000000,312.797013,0.000000,0.212406,0.000000,4.425191,0.000000,47.723647,0.000000,13.273858,0.000000,17.700934,0.000000,17.699049,0.000000
13.000000,1963.000000,5.064568,0.915503,37.768411,6.827254,0.000000,0.000000,2.794000,0.000000,313.603576,0.000000,0.217373,0.000000,4.681333,0.000000,50.384061,0.000000,13.885143,0.000000,18.568546,0.000000,18.566476,0.000000
14.000000,1964.000000,5.291133,0.956929,37.773283,6.831497,0.000000,0.000000,2.939000,0.000000,314.461689,0.000000,0.223011,0.000000,5.150394,0.000000,53.202236,0.000000,14.504523,0.000000,19.657224,0.000000,19.654917,0.000000
15.000000,1965.000000,5.514609,0.997902,37.777885,6.836138,0.000000,0.000000,3.076000,0.000000,315.357963,0.000000,0.229466,0.000000,5.481758,0.000000,56.385259,0.000000,15.131073,0.000000,20.615393,0.000000,20.612831,0.000000
16.000000,1966.000000,5.753471,1.041733,37.780300,6.840564,0.000000,0.000000,3.219000,0.000000,316.291265,0.000000,0.236808,0.000000,5.760383,0.000000,59.781941,0.000000,15.804038,0.000000,21.567276,0.000000,21.564422,0.000000
17.000000,1967.000000,6.039369,1.094175,37.779867,6.844721,0.000000,0.000000,3.322000,0.000000,317.272244,0.000000,0.244877,0.000000,5.755866,0.000000,63.331642,0.000000,16.587828,0.000000,22.346856,0.000000,22.343694,0.000000
18.000000,1968.000000,6.341734,1.149769,37.776788,6.849006,0.000000,0.000000,3.503000,0.000000,318.266608,0.000000,0.253588,0.000000,6.079803,0.000000,66.745561,0.000000,17.418489,0.000000,23.501858,0.000000,23.498292,0.000000
19.000000,1969.000000,6.639162,1.204807,37.774660,6.854956,0.000000,0.000000,3.737000,0.000000,319.288065,0.000000,0.263302,0.000000,6.550904,0.000000,70.357172,0.000000,18.248178,0.000000,24.803140,0.000000,24.799082,0.000000
20.000000,1970.000000,6.785519,1.232874,37.776118,6.863617,0.000000,0.000000,4.047000,0.000000,320.391673,0.000000,0.274828,0.000000,6.936924,0.000000,74.306331,0.000000,18.774389,0.000000,25.715897,0.000000,25.711313,0.000000
21.000000,1971.000000,7.122731,1.295871,37.773102,6.872232,0.000000,0.000000,4.210000,0.000000,321.577109,0.000000,0.288693,0.000000,7.178966,0.000000,78.495474,0.000000,19.698179,0.000000,26.882432,0.000000,26.877145,0.000000
22.000000,1972.000000,7.479991,1.362595,37.756854,6.877988,0.000000,0.000000,4.406000,0.000000,322.729860,0.000000,0.304011,0.000000,7.574509,0.000000,82.771748,0.000000,20.674344,0.000000,28.255016,0.000000,28.248853,0.000000
23.000000,1973.000000,7.808704,1.424445,37.734881,6.883504,0.000000,0.000000,4.640000,0.000000,323.942069,0.000000,0.319493,0.000000,8.376771,0.000000,87.285432,0.000000,21.599090,0.000000,29.983084,0.000000,29.975861,0.000000
24.000000,1974.000000,7.966771,1.455530,37.710823,6.889772,0.000000,0.000000,4.620000,0.000000,325.221962,0.000000,0.334850,0.000000,8.594051,0.000000,92.434467,0.000000,22.176482,0.000000,30.778677,0.000000,30.770533,0.000000
25.000000,1975.000000,8.240585,1.507953,37.678575,6.894839,0.000000,0.000000,4.613000,0.000000,326.451573,0.000000,0.350132,0.000000,8.181560,0.000000,97.610375,0.000000,22.996009,0.000000,31.186593,0.000000,31.177570,0.000000
26.000000,1976.000000,8.454180,1.549625,37.638506,6.899021,0.000000,0.000000,4.858000,0.000000,327.658767,0.000000,0.365040,0.000000,9.030611,0.000000,102.182391,0.000000,23.694032,0.000000,32.734938,0.000000,32.724644,0.000000
27.000000,1977.000000,8.742013,1.605509,37.600462,6.905490,0.000000,0.000000,4.991000,0.000000,328.997595,0.000000,0.379563,0.000000,9.503246,0.000000,107.434390,0.000000,24.545321,0.000000,34.060148,0.000000,34.048568,0.000000
28.000000,1978.000000,9.076306,1.670573,37.563556,6.913900,0.000000,0.000000,5.174000,0.000000,330.352452,0.000000,0.394481,0.000000,9.933870,0.000000,112.964809,0.000000,25.496121,0.000000,35.443007,0.000000,35.429991,0.000000
29.000000,1979.000000,9.454490,1.744219,37.522751,6.922414,0.000000,0.000000,5.312000,0.000000,331.757345,0.000000,0.410440,0.000000,10.314767,0.000000,118.721342,0.000000,26.548201,0.000000,36.877629,0.000000,36.862968,0.000000
30.000000,1980.000000,9.659202,1.786130,37.474077,6.929512,0.000000,0.000000,5.286000,0.000000,333.178389,0.000000,0.426884,0.000000,10.440035,0.000000,124.645901,0.000000,27.254648,0.000000,37.710902,0.000000,37.694684,0.000000
31.000000,1981.000000,9.857572,1.827044,37.417933,6.935199,0.000000,0.000000,5.142000,0.000000,334.539157,0.000000,0.442837,0.000000,10.459808,0.000000,130.476643,0.000000,27.962208,0.000000,38.439806,0.000000,38.422016,0.000000
32.000000,1982.000000,10.081368,1.872960,37.355771,6.940116,0.000000,0.000000,5.104000,0.000000,335.833460,0.000000,0.457826,0.000000,9.973862,0.000000,136.111542,0.000000,28.736681,0.000000,38.729701,0.000000,38.710543,0.000000
33.000000,1983.000000,10.406489,1.938399,37.293157,6.946534,0.000000,0.000000,5.152000,0.000000,337.182040,0.000000,0.471925,0.000000,10.044064,0.000000,141.052122,0.000000,29.739221,0.000000,39.804206,0.000000,39.783285,0.000000
34.000000,1984.000000,10.754881,2.009006,37.230602,6.954657,0.000000,0.000000,5.302000,0.000000,338.551546,0.000000,0.485867,0.000000,10.769984,0.000000,145.880205,0.000000,30.809037,0.000000,41.602199,0.000000,41.579022,0.000000
35.000000,1985.000000,11.233227,2.104765,37.166250,6.963825,0.000000,0.000000,5.490000,0.000000,339.988094,0.000000,0.500400,0.000000,10.874338,0.000000,151.255671,0.000000,32.176101,0.000000,43.075894,0.000000,43.050439,0.000000
36.000000,1986.000000,11.639709,2.187901,37.096366,6.972956,0.000000,0.000000,5.568000,0.000000,341.489750,0.000000,0.515657,0.000000,11.154341,0.000000,156.536710,0.000000,33.417579,0.000000,44.599908,0.000000,44.571920,0.000000
37.000000,1987.000000,12.042461,2.271250,37.020742,6.982238,0.000000,0.000000,5.749000,0.000000,342.998528,0.000000,0.531335,0.000000,11.652963,0.000000,161.902464,0.000000,34.676236,0.000000,46.360087,0.000000,46.329199,0.000000
38.000000,1988.000000,12.354838,2.338707,36.944052,6.993316,0.000000,0.000000,5.968000,0.000000,344.570658,0.000000,0.547484,0.000000,12.590696,0.000000,167.568419,0.000000,35.754538,0.000000,48.379457,0.000000,48.345235,0.000000
39.000000,1989.000000,12.699234,2.413298,36.866538,7.005931,0.000000,0.000000,6.057000,0.000000,346.224139,0.000000,0.564590,0.000000,13.130736,0.000000,173.962586,0.000000,36.900315,0.000000,50.068717,0.000000,50.031051,0.000000
40.000000,1990.000000,13.150454,2.509023,36.782415,7.017852,0.000000,0.000000,6.195000,0.000000,347.883229,0.000000,0.582691,0.000000,13.324528,0.000000,180.660342,0.000000,38.270135,0.000000,51.636039,0.000000,51.594664,0.000000
41.000000,1991.000000,13.306944,2.549128,36.690397,7.028549,0.000000,0.000000,6.324000,0.000000,349.578165,0.000000,0.600948,0.000000,13.105666,0.000000,187.304214,0.000000,38.993477,0.000000,52.143584,0.000000,52.099143,0.000000
42.000000,1992.000000,13.546586,2.605903,36.595397,7.039712,0.000000,0.000000,6.126000,0.000000,351.335100,0.000000,0.618449,0.000000,12.981029,0.000000,193.483538,0.000000,39.882692,0.000000,52.911481,0.000000,52.863720,0.000000
43.000000,1993.000000,13.824026,2.670839,36.496334,7.051189,0.000000,0.000000,6.191000,0.000000,352.928872,0.000000,0.635200,0.000000,12.916332,0.000000,199.309720,0.000000,40.845125,0.000000,53.812699,0.000000,53.761458,0.000000
44.000000,1994.000000,14.124441,2.741454,36.397336,7.064465,0.000000,0.000000,6.235000,0.000000,354.559214,0.000000,0.651692,0.000000,13.384996,0.000000,204.855758,0.000000,41.851428,0.000000,55.291843,0.000000,55.236424,0.000000
45.000000,1995.000000,14.538969,2.835619,36.299356,7.079673,0.000000,0.000000,6.368000,0.000000,356.198693,0.000000,0.668460,0.000000,13.907533,0.000000,210.665372,0.000000,43.105827,0.000000,57.073546,0.000000,57.013360,0.000000
46.000000,1996.000000,15.181574,2.975648,36.197924,7.094933,0.000000,0.000000,6.564000,0.000000,357.884070,0.000000,0.685921,0.000000,14.314754,0.000000,216.782690,0.000000,44.862928,0.000000,59.243463,0.000000,59.177682,0.000000
47.000000,1997.000000,15.835322,3.119228,36.090237,7.109023,0.000000,0.000000,6.602000,0.000000,359.633057,0.000000,0.703372,0.000000,14.783141,0.000000,223.081015,0.000000,46.647154,0.000000,61.502103,0.000000,61.430295,0.000000
48.000000,1998.000000,16.239914,3.215185,35.980288,7.123392,0.000000,0.000000,6.581000,0.000000,361.359348,0.000000,0.719720,0.000000,14.828610,0.000000,229.614821,0.000000,47.888298,0.000000,62.793672,0.000000,62.716909,0.000000
49.000000,1999.000000,16.887594,3.360836,35.869049,7.138375,0.000000,0.000000,6.668000,0.000000,363.059965,0.000000,0.735018,0.000000,15.207720,0.000000,235.952481,0.000000,49.660838,0.000000,64.951371,0.000000,64.868558,0.000000
50.000000,2000.000000,17.669549,3.535152,35.756749,7.153863,0.000000,0.000000,6.856000,0.000000,364.778755,0.000000,0.749516,0.000000,16.137382,0.000000,242.434891,0.000000,51.725396,0.000000,67.952869,0.000000,67.862778,0.000000
51.000000,2001.000000,18.357904,3.693132,35.646957,7.171238,0.000000,0.000000,6.914000,0.000000,366.558373,0.000000,0.763376,0.000000,15.911887,0.000000,249.607249,0.000000,53.582950,0.000000,69.590543,0.000000,69.494837,0.000000
52.000000,2002.000000,19.121452,3.868743,35.537018,7.190018,0.000000,0.000000,7.072000,0.000000,368.336109,0.000000,0.777363,0.000000,15.934189,0.000000,256.288885,0.000000,55.603149,0.000000,71.639506,0.000000,71.537339,0.000000
53.000000,2003.000000,19.831860,4.036162,35.424583,7.209578,0.000000,0.000000,7.417000,0.000000,370.219569,0.000000,0.791991,0.000000,16.636136,0.000000,262.745742,0.000000,57.513960,0.000000,74.260024,0.000000,74.150096,0.000000
54.000000,2004.000000,20.790581,4.257095,35.310454,7.230194,0.000000,0.000000,7.770000,0.000000,372.232212,0.000000,0.807215,0.000000,18.009584,0.000000,269.665777,0.000000,59.963730,0.000000,78.093403,0.000000,77.973314,0.000000
