Row,Mean_calibrated,CI_calib,Mean_expert,CI_expert
"USA",30061.0141749061,1085.81745013594,61399.9555914362,2136.08036637897
"China",3386.80385126363,145.102181480833,9014.0858989937,432.27552586033
"Russian Federation",22880.5977182811,875.000757821975,46254.9821746678,1663.52356845567
"Germany",25316.1795728409,952.392804375724,48296.8161567192,1657.1062620486
"Japan",13440.5084897517,509.806162260463,29602.4921255764,1106.51396995326
"India",823.313513041913,34.4672669332972,2170.36261067775,102.634046674134
"United Kingdom",19889.7202435324,756.715760422579,37112.9663384908,1266.51408641678
"Canada",22676.8956649016,820.49258180531,48220.254692898,1726.25666343079
"Ukraine",20669.0334717827,828.621621611938,39713.7492367678,1476.297950159
"France",12853.5224000935,482.251531390861,25006.430936296,865.792140954044
"Italy",10962.6528261314,415.017751512011,23468.9908180465,863.243829847886
"Poland",18374.0059119078,690.737400632485,36721.2613118671,1295.69857847517
"South Africa",9089.23499862577,334.02717944633,20523.7534188299,777.382148545224
"Mexico",3846.21909363124,147.634928653817,9021.09521259675,356.761269551713
"Iran",4909.32833707663,200.043319903307,12574.1974544671,560.786592052078
"Australia",18548.4072788541,677.87591706487,41755.2695915766,1573.07849419109
"South Korea",7643.29744772082,327.602745276445,19983.3319839025,902.570853561388
"Brazil",1792.91378533832,68.6222179218071,4311.643519018,175.835955211822
"Saudi Arabia",10007.0455287917,429.518696380355,26179.605276794,1193.13430607827
"Spain",7988.64802514103,301.83063424224,17940.8284800173,684.336910959765
"Indonesia",1085.53850012457,45.8350167711111,2851.69375986768,131.558843301774
"Kazakhstan",20236.9466075319,756.722776015664,42640.1123460031,1549.83500972208
"Turkey",2917.51170129424,118.530364473355,7459.00575044423,329.622730019409
"Netherlands",17477.1990212721,644.13678007491,36013.1142293644,1272.82318839192
"Czech Republic",28345.1499950852,1084.25708971236,54642.4251220052,1923.18490725412
"Taiwan",8393.12232153409,349.219538058433,21420.2442251664,940.133612270174
"Belgium",22364.9262959248,832.773096556821,43128.3725301844,1476.18232289686
"Romania",12913.761096612,526.219858127103,25429.4693263593,959.708782620636
"Argentina",4918.22009666338,177.490102397291,10799.6846113567,397.433327151199
"Venezuela",7358.20239708163,264.160511018454,16054.6277670044,591.017035310697
"Thailand",2253.32928642257,101.645788617079,6118.0817848396,292.743533399803
