Row,CO2,All_impact_calib_m,All_impact_calib_ci,N_calib_m,N_calib_ci,W_calib_m,W_calib_ci,HS_calib_m,HS_calib_ci,All_impact_expert_m,All_impact_expert_ci,N_expert_m,N_expert_ci,W_expert_m,W_expert_ci,HS_expert_m,HS_expert_ci
"USA",86100.8383904,9832845.45872385,355166.832411288,5608680.37601878,15472.8419052793,6100608.62559561,31161.6722479981,17789247.3745572,51517.8931224193,20083696.1451246,698703.909582394,11465849.2220124,138486.930817222,14355845.8340695,248309.597062432,34429393.3792921,407226.97629324
"China",56774.7404835,4835163.0198728,207154.808134882,2736618.69993,15149.4662835165,3072588.06569515,30087.9119328189,8696282.29399324,50566.4525820807,12868939.7765122,617137.197436486,7326421.65483949,131795.991536533,9294774.9162361,236899.647581906,21985622.7584609,391922.74541042
"Russian Federation",28795.5735604255,3334481.89733869,127517.393690456,1902578.26243926,5250.06401350904,2066581.85329317,10613.1102081484,6034285.57628364,17474.3404453239,6740925.32993237,242432.006939214,3848944.08189282,47321.4859794184,4813417.46054988,84836.3175976776,11560414.4473544,138861.605689352
"Germany",17085.0743729,2104392.69297588,79167.0975711199,1202339.47030056,2942.67765338678,1298987.17607351,5957.04396610036,3811851.43255359,9782.43182541296,4014644.73428028,137745.993596945,2293884.48706627,26618.2587210056,2861957.75807808,47618.0385759468,6888091.9576965,77794.3011701347
"Japan",16229.30494616,1709662.14149102,64848.4613346385,973323.374018361,3168.89746072046,1066844.27234457,6368.76403754416,3088818.77811012,10560.7184652795,3765501.88703606,140751.002456676,2147919.93591843,28234.0522472143,2697494.18477213,50700.797703463,6451091.54041763,83305.1657958734
"India",12946.76595811,1113648.66743582,46621.8825300238,630499.146856272,3412.30306985855,707046.023981844,6779.81903950421,2003400.83146935,11390.8036133588,2935724.2301339,138827.150898927,1671478.6169525,29697.4902615361,2119962.6491375,53383.1579555406,5015731.4243117,88309.083380945
"United Kingdom",10590.9336513,1335429.31143966,50807.1704641125,763369.433755445,1806.93101648421,823123.147101007,3659.46776076231,2419795.35346251,6002.94281655275,2491827.05820159,85035.8885717443,1424175.37850389,16366.766362508,1775278.1724196,29245.2714129517,4276027.62368127,47736.7983031888
"Canada",7692.39763798,840735.974295927,30419.403094681,479067.171073406,1439.7814684771,523247.64313731,2893.58729010355,1519893.10867707,4797.01305804457,1787744.82226764,64000.2096962778,1020154.77842804,12829.5679810892,1279687.34142117,23025.4010168026,3063392.34695369,37821.8884113959
"Ukraine",7453.90920373546,914525.279361718,36663.3215348148,522462.964106978,1374.34406014545,564551.178965077,2790.8683700085,1656561.6950131,4570.28814230864,1757180.74407491,65320.5094052154,1003953.35279792,12498.8834558592,1251674.47220392,22385.9762388489,3015914.40722289,36539.8823140214
"France",7161.54462634,863641.370629786,32402.9756664747,493216.121156391,1251.39032416981,533832.593879019,2530.84572169908,1563875.39685395,4161.94611535877,1680207.7762143,58173.463119231,959802.247260798,11296.2071244087,1198549.13105512,20223.4018245749,2882271.95032698,33068.6248437357
"Italy",6111.62444035,664635.943021841,25161.4019910844,378674.649066856,1161.45527533567,413744.724106719,2339.0916129131,1201488.45589195,3869.26966712455,1422861.33580203,52336.1348761422,811889.058876635,10391.4677288683,1018048.67056784,18653.8804718631,2438646.27796163,30611.2540802636
"Poland",5945.57591269,696771.555596954,26193.8618859256,397668.673930143,1063.34701495489,431492.080990232,2149.49921157286,1261153.91187049,3538.65279614282,1392528.68919401,49134.9528479152,795214.357190583,9585.24856866703,994086.070320459,17178.4336515089,2388285.64007098,28113.2908458352
"South Africa",5134.23911014,525289.77726431,19304.2717806413,298834.041792365,1034.6817338513,328552.294501665,2072.68120595191,948482.9954989,3449.87208374809,1186119.38888529,44926.8718126785,676397.077964409,9158.86951239985,850900.519873699,16453.5090526934,2031060.56881775,27086.2998975247
"Mexico",4941.29194395,485357.418245973,18630.1679831489,275823.74050718,1042.5528433388,304541.552401832,2086.86949197427,875706.961828905,3476.89299402297,1138379.11350061,45019.9857326111,648917.180247004,9214.24648525446,817546.191726835,16559.0397480964,1948673.968528,27275.7253695665
"Iran",4515.56750811167,401583.980926596,16363.5811762347,227584.656068902,1109.41966556861,254163.072883468,2208.29743865123,723004.213827418,3702.55850201497,1028571.71572453,45872.4486577393,585791.21966163,9693.10111622225,741622.494629123,17424.2587343377,1758301.43288284,28793.709106789
"Australia",4499.36762989,461821.063786815,16877.8576202205,262748.655980202,902.077884614306,288784.628072175,1807.05478372409,833929.907308067,3007.69990713066,1039629.04909205,39166.7474563009,592877.424187864,7985.1209005195,745756.161802676,14344.4165891383,1780253.56128562,23613.8960537896
"South Korea",4489.225137701,391120.56986532,16763.9913660791,221519.409211988,1103.82540802625,247960.109742,2200.41424261608,703882.190641973,3683.57727321057,1022581.18918066,46186.0903626124,582280.250838886,9673.89465999468,737355.239782501,17393.8577633279,1748108.07692058,28722.4425777266
"Brazil",3936.68819801,375560.436812185,14374.2495308394,213260.172055876,872.007442034563,236241.40682903,1740.27401481625,677179.73155165,2909.03136726006,903157.048946037,36832.2384972786,514691.678506665,7660.44967571778,649546.311961136,13766.5408518368,1545233.15637031,22712.7959892146
