Row,All_impact_calib_m,All_impact_calib_ci,N_calib_m,N_calib_ci,W_calib_m,W_calib_ci,HS_calib_m,HS_calib_ci,All_impact_expert_m,All_impact_expert_ci,N_expert_m,N_expert_ci,W_expert_m,W_expert_ci,HS_expert_m,HS_expert_ci
"USA",0.681733434903104,0.0408627349580886,0.391675396691144,0.00112825821700386,0.41376013100039,0.00230368365685447,1.23976477701778,0.00373136691133336,5.19020555335635,0.297853816169711,2.9774263161655,0.00595844991007078,3.66197589475424,0.0974647649484725,8.9312144491493,0.0197057397874013
"China",0.900062343491591,0.0604070956557255,0.516923922332618,0.001720686005437,0.546823430220002,0.00351450014705008,1.63643967792215,0.00569528351396371,7.11393706490351,0.460397407428722,4.07948629987611,0.00921789312837429,5.02078390206009,0.151018384424263,12.2415409927743,0.0305102235978124
"Russian Federation",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"Germany",0.336249555801906,0.0201278324809218,0.193189181866925,0.000552994488728626,0.204065301731465,0.0011290820712667,0.611494183807327,0.00182860861107435,2.55032745596309,0.145683284249309,1.46305742547779,0.00291326993303641,1.79933768800978,0.0476436890672696,4.38858725440172,0.00963342419231352
"Japan",0.277847738213595,0.0193850745079886,0.159541477415536,0.00056692661874773,0.168897602315833,0.00115825952840894,0.505104134909417,0.00187780894965253,1.89108018624156,0.128920254246859,1.08421510225406,0.00258309800145402,1.33490030361114,0.0423742503928657,3.25412515285947,0.00855589486285584
"India",0.365099648975338,0.0225163073032626,0.209722843819518,0.000634019034392147,0.221697464154518,0.00129487518329123,0.663878638951978,0.00209798083085763,2.72788950451306,0.162345787123861,1.56459112430735,0.00324865408608854,1.92494874849469,0.0531976193925094,4.69412864073716,0.0107498570689371
"United Kingdom",0.564603856926121,0.0335372402150112,0.32443714886616,0.000903925341724416,0.342506234350443,0.00184510807799434,1.02686818756176,0.00298734997814647,4.28886138276033,0.240923102302922,2.46081514523323,0.00481641038711577,3.02555533403053,0.0786789215381903,7.38021366901722,0.0159175794731523
"Canada",0.54935544713002,0.0335652575086367,0.31558104737202,0.000941946655022644,0.333532883032405,0.00192363228035411,0.998952410985634,0.00311661217426134,4.16828340396729,0.245757272556868,2.39087297671684,0.00491832108120131,2.94127212540407,0.0805203062354359,7.17270510978095,0.0162732138564999
"Ukraine",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"France",0.291615685742076,0.0176783147752903,0.167527188559855,0.000493359643822265,0.177030802027903,0.00100747635795037,0.530289066638469,0.00163212395988215,2.13167059994164,0.124337494709406,1.22274810493838,0.00248789163104871,1.50411853372481,0.040719082371986,3.66814516116171,0.00823040066505261
"Italy",0.153757034628518,0.0103882341794196,0.0882944498958563,0.000301099982937372,0.0934464508040249,0.000615126250006429,0.279530203185674,0.000997106436962949,1.16232957873997,0.0764228822795539,0.666445744983557,0.00153057278659616,0.82041999995505,0.0250990343892687,2.00012299128129,0.0050685621529005
"Poland",1.20576446412381,0.0736269650210309,0.692655912712887,0.0020621742978923,0.732072555417691,0.00421137007746703,2.19256492424085,0.00682275313702731,9.25243381282627,0.544016750341474,5.30703594556109,0.0108848788528958,6.52876521708726,0.178192057513727,15.9215002758305,0.0360128828177431
"South Africa",0.628538704332962,0.0383255023867889,0.361069189757817,0.00107330958724994,0.381605386724674,0.00219188939443932,1.1429415365164,0.0035510502056582,4.6951752352409,0.275762510438601,2.69309491870678,0.00551784604028168,3.31303072769019,0.0903284567658856,8.07940005932575,0.0182558215717956
"Mexico",0.194942574644495,0.0124679391875383,0.1119645010052,0.00035735833184901,0.118420213356784,0.000729952585361626,0.354443009571503,0.00118304648852005,1.44253439314902,0.0897668237083576,0.827255158272196,0.00179760979186703,1.01806465339402,0.0294602095615272,2.48228336778084,0.00595104622577007
"Iran",0.143698107157729,0.0106094470208723,0.0824992700932388,0.000312086617954165,0.0873888602695514,0.000637635825367794,0.261206191110398,0.00103385517335735,1.06112463438237,0.0762397933550077,0.608282696328423,0.00152795351645536,0.749130234241442,0.0250711324750847,1.82596097257725,0.0050616801771005
"Australia",0.241450216913477,0.014872423036684,0.138695988314517,0.000418993936688851,0.146612682876235,0.000855719942025808,0.439041979549679,0.00138647586298135,1.87505259245884,0.111537020887241,1.07544923676795,0.00223210108195926,1.32314018417609,0.0365516102316403,3.22656835643249,0.00738615527071284
"South Korea",0.40179610790713,0.0307892525905519,0.230659068281038,0.00091221811756501,0.244402938899182,0.00186388491866867,0.730326316541171,0.00302243759161433,3.16673150909457,0.236645594349269,1.81517369958584,0.00474411713754422,2.23580839592848,0.07786615039631,5.44921243176938,0.0157186068764015
"Brazil",0.158448886948132,0.0104356311594796,0.0909965688340259,0.00030205703806426,0.0962751353456096,0.00061704033401426,0.288074956664761,0.00100021569166761,1.17502907705407,0.0755957562471072,0.673789539723806,0.00151445454529486,0.829338761447055,0.024830335798352,2.02195892999134,0.00501488463976461
"Saudi Arabia",0.0903663395672174,0.00917038995763121,0.0518515317038661,0.000278110523797821,0.0550420710507693,0.000568307682040201,0.164205415947017,0.000921930134187673,0.634286246026062,0.0623490307695622,0.363416087323777,0.00125159410743069,0.448024739179504,0.0205592024254429,1.09141791157491,0.00414900632904823
"Spain",0.180145572841689,0.011733481307095,0.103461530221513,0.000338767382543908,0.109444603268221,0.000692010172378774,0.327530585035334,0.00112170442316463,1.28915009185158,0.0820500023198734,0.739263150580497,0.00164370697947295,0.909856454152819,0.0269460124882641,2.21833067082143,0.00544253515617731
"Indonesia",0.496024251074464,0.0311788844004569,0.284915905446579,0.000885018680068807,0.301238808796091,0.00180754702420403,0.901918038980723,0.00292908742724984,4.10183287260239,0.249925037225738,2.35252230761586,0.0050041342908536,2.89464122839474,0.0819669232931088,7.05833508179658,0.0165618502362792
