Row,All_impact_calib_m,All_impact_calib_ci,N_calib_m,N_calib_ci,W_calib_m,W_calib_ci,HS_calib_m,HS_calib_ci,All_impact_expert_m,All_impact_expert_ci,N_expert_m,N_expert_ci,W_expert_m,W_expert_ci,HS_expert_m,HS_expert_ci
"USA",0.62820510993951,0.0226910531583559,0.358329812771178,0.000988535657453946,0.389758338868228,0.0019908704781976,1.13652717817912,0.00329139757648765,4.27038955251099,0.14856517715757,2.43797966143965,0.0294464294942412,3.05247866848208,0.0527979860590069,7.32071032761124,0.010954232277148
"China",1.14036458790062,0.0488570926025533,0.645426647076917,0.00357297464517983,0.724664423706854,0.00709618044956048,2.05100269291809,0.0119260077940201,6.11535182818665,0.29326511384204,3.48153358699857,0.0626297792815572,4.4168998972496,0.112575295097809,10.4476220003118,0.0240293026164546
"Russian Federation",2.00355971717933,0.114608243647594,1.13265200192148,0.00684335547532964,1.27709973816061,0.0136989909772096,3.60092741145589,0.0228306517656861,9.60394876629729,0.510386129053301,5.46604861461678,0.104737248632379,6.93329759518423,0.188369297184043,16.4125000890908,0.0395430555097405
"Germany",0.357586486201497,0.0134523771811786,0.204306139173176,0.000500031085267745,0.220728888416765,0.00101224378277675,0.647724431014549,0.00166226837539927,2.53283260226099,0.0869037153982997,1.44720786002594,0.0167934146023676,1.80560433008114,0.0300421403495623,4.34568561667588,0.00617171976519694
"Japan",0.351084293162202,0.01331682772742,0.199874899544461,0.000650742680732387,0.219079698953611,0.00130784496315045,0.634298280988533,0.00216867548721301,2.24411266574215,0.0838828705454598,1.28008814702486,0.016826546939556,1.60761594268587,0.0302159727183485,3.8446339075157,0.00629383353886068
"India",0.727488478278909,0.0304556395280018,0.41187214452358,0.00222907927814757,0.46187621922454,0.00442890148417434,1.30871707108861,0.00744101674914801,4.40410639358968,0.208265318861342,2.5075140192351,0.0445514961493617,3.18031951414318,0.0800841934841001,7.52448564739077,0.0170882232420822
"United Kingdom",0.470728295227508,0.0179091267003284,0.269081702118028,0.000636928925924475,0.290144414592376,0.00128993351104942,0.852958768972121,0.00211598997728887,3.10834282897904,0.106075055882333,1.77653794648815,0.0204161523525608,2.2145088915866,0.0364809946897366,5.33398164886236,0.00748816182695671
"Canada",0.591694846043014,0.0214086283698053,0.337158852123493,0.00101329228244286,0.368252273144107,0.00203645465220357,1.06967341286144,0.0033760514473322,4.07893119932866,0.146023329975358,2.32759233982635,0.0292720328204304,2.91974366659771,0.0525349174080449,6.98945759156192,0.0109448988369749
"Ukraine",2.47710107467805,0.153878979281385,1.40217171916977,0.00832624776106134,1.57248544298678,0.0167381795564899,4.45664606187761,0.027767405984462,12.1570800114187,0.678038584985745,6.92159539909956,0.136380043438379,8.75942005600496,0.245291500296128,20.7902245791517,0.0510429831187016
"France",0.290188733891968,0.0108875961744742,0.165723605423291,0.000420474731902536,0.179370986379511,0.000850379498518237,0.525471609873103,0.00139843911467771,1.90315971280859,0.0658926788284045,1.08716135891572,0.0127951355844541,1.35758830088578,0.022906907201197,3.26472947862427,0.00471420754371081
"Italy",0.22709945121855,0.00859739928912757,0.129389338473731,0.000396857645772783,0.141372432194987,0.000799244198601853,0.410536582986933,0.00132209072838496,1.61115505502545,0.0592620139042995,0.919330034779258,0.0117666179684774,1.15277168658375,0.0211224334106611,2.76136344371334,0.00438130773996357
"Poland",1.23858374260968,0.046562307584837,0.706897333162572,0.0018902096603919,0.76702194899653,0.00382095789763623,2.24183194566993,0.00629032254378946,8.14042175963126,0.287232315158356,4.64865126806987,0.0560332915403085,5.81121232228744,0.100421410473104,13.9614016885365,0.0206861994621985
"South Africa",1.02015469186375,0.0374904372451267,0.580359571074794,0.00200943454653033,0.638074790840304,0.00402531240566238,1.84202971367616,0.00669992705910691,7.97211871739979,0.301961471204577,4.54618468947066,0.0615583859046812,5.71905326284686,0.11058695162985,13.6511181998818,0.0231872019538693
"Mexico",0.414490822765719,0.0159099940895217,0.235550966861292,0.00089033065029459,0.2600757171438,0.00178216757427766,0.747845784292065,0.0029692350082318,2.90724164322803,0.114973979886981,1.65723266269255,0.023531739800218,2.0878846999765,0.0422891893891973,4.97660756701504,0.00887943917926243
"Iran",0.393273364999946,0.0160249435691606,0.222874884869803,0.00108646068020087,0.248903272239532,0.00216259762806095,0.708041937890501,0.00362593557102753,3.36341099250323,0.150002081245058,1.91552674198701,0.0316962661400642,2.42509220561855,0.0569770123632167,5.74961402990414,0.0121072996424866
"Australia",0.432724589696065,0.0158144887410981,0.246194496673523,0.000845243565316919,0.270590104029444,0.00169320349624911,0.781389168385229,0.00281820343483251,3.29245166822493,0.124039072507702,1.87761227528704,0.0252884667399913,2.36177136562374,0.0454280287472422,5.63797136376401,0.00952523074013824
"South Korea",0.639191660293801,0.0274131123490542,0.362016190998493,0.00180503091808097,0.405242194374137,0.00359822803079652,1.15031659550877,0.00602357132667542,3.42001466376063,0.154515278515505,1.94742617964664,0.032363967313586,2.46609573077763,0.0581910694672384,5.84652208085764,0.0123233917475903
"Brazil",0.254019867012893,0.00972238978425721,0.144243949135333,0.00058980444356722,0.159787892609305,0.00117707865493481,0.458027759294042,0.00196759745866756,1.76206299486009,0.0718598438108339,1.0041655119864,0.0149455677872662,1.26726743824922,0.0268585759592524,3.01475603434466,0.00567553176838736
"Saudi Arabia",0.349126619919279,0.0149850832823696,0.197727180194326,0.00100339911159041,0.22137814942908,0.00199774841827663,0.628274530134429,0.00334848839614872,2.45149241987676,0.111726654253207,1.39591436584506,0.0235452233371899,1.76818795657317,0.0423234288036411,4.19037493721205,0.0089875055317028
"Spain",0.278512764577723,0.0105228924985176,0.158474017385029,0.000542023339296225,0.174081877507377,0.00108789942259979,0.502982398840764,0.00180692446563198,1.82502321971656,0.0696138839965918,1.04080972280051,0.0140538083149864,1.3083522065931,0.0252490603703976,3.12590772975606,0.00527222675845329
