Row,All_impact_calib_m,All_impact_calib_ci,N_calib_m,N_calib_ci,W_calib_m,W_calib_ci,HS_calib_m,HS_calib_ci,All_impact_expert_m,All_impact_expert_ci,N_expert_m,N_expert_ci,W_expert_m,W_expert_ci,HS_expert_m,HS_expert_ci
"USA",0.393414172716412,0.0235810336495397,0.226027717394439,0.000651094328556961,0.238772357796547,0.00132940787947497,0.71544244295825,0.00215329416362314,2.9835497684051,0.171218976804695,1.71155063218918,0.00342516913183699,2.10505869572618,0.0560268709784774,5.13403997729995,0.011327693050795
"China",0.411870993947216,0.0276424524468739,0.236545802883285,0.00078739062961034,0.250227899597094,0.00160824489465676,0.74883927936127,0.00260617733723613,3.18376790109941,0.206046029666532,1.82573129562772,0.0041253713647073,2.24699916233408,0.067586693615539,5.47857324533642,0.013654530488512
"Russian Federation",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"Germany",0.237233598277144,0.0142007566778222,0.136300447009389,0.000390153295743857,0.143973858040684,0.000796599424133105,0.431426489781359,0.00129013523783302,1.76676930235575,0.100923806421889,1.01355021719815,0.0020182019666259,1.24651231915901,0.0330057252445046,3.0402453707101,0.0066736677675469
"Japan",0.196927472574561,0.0137393730576028,0.113076680487859,0.000401815134012019,0.119707931264106,0.000820928480402561,0.357997805971718,0.00133091661213627,1.3659961577466,0.093123799423294,0.783168093360114,0.00186586585314601,0.964247153015577,0.0306084658097377,2.35057322686412,0.00618023476411809
"India",0.232979075267771,0.014368210072734,0.133829310306729,0.000404583156268182,0.141470610374151,0.00082629173606999,0.423637305122433,0.00133877322335015,1.73432725253634,0.103215589369568,0.994729816392281,0.00206541698490556,1.22383662121461,0.0338217808785308,2.98441532000214,0.0068345033934415
"United Kingdom",0.35368006706987,0.0210084526045588,0.203234446883978,0.000566238383895915,0.214553312824365,0.00115581560552745,0.643252441501266,0.0018713406358651,2.6353758428318,0.148039973112998,1.51209661694601,0.00295953877977744,1.8591124139627,0.048345822039218,4.53491849758669,0.00978087204881928
"Canada",0.327325021511476,0.0199993441285609,0.188034129195068,0.000561244474281105,0.198730455270297,0.00114616680481928,0.595210480069062,0.00185698558613104,2.47809400871731,0.146105618476478,1.42140239158571,0.00292400031933353,1.74862122499486,0.0478702787512484,4.26425840957135,0.00967461898631601
"Ukraine",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"France",0.202498817796801,0.0122758754678315,0.116331388504928,0.00034259043497071,0.122930726558985,0.000699594642599642,0.368234338326491,0.00113335183439442,1.48709072436012,0.0867400127757054,0.853010481606573,0.0017355967511336,1.04929941797835,0.0284063446301197,2.55896227349545,0.00574167157303865
