VariableCode,RegionCode,YearCode,AggValue
pop,ABW,1970,0.059063
pop,ABW,1971,0.05944
pop,ABW,1972,0.05984
pop,ABW,1973,0.060243
pop,ABW,1974,0.060528
pop,ABW,1975,0.060657
pop,ABW,1976,0.060586
pop,ABW,1977,0.060366
pop,ABW,1978,0.060103
pop,ABW,1979,0.05998
pop,ABW,1980,0.060096
pop,ABW,1981,0.060567
pop,ABW,1982,0.061345
pop,ABW,1983,0.062201
pop,ABW,1984,0.062836
pop,ABW,1985,0.063026
pop,ABW,1986,0.062644
pop,ABW,1987,0.061833
pop,ABW,1988,0.061079
pop,ABW,1989,0.061032
pop,ABW,1990,0.062149
pop,ABW,1991,0.064622
pop,ABW,1992,0.068235
pop,ABW,1993,0.072504
pop,ABW,1994,0.0767
pop,ABW,1995,0.080324
pop,ABW,1996,0.0832
pop,ABW,1997,0.085451
pop,ABW,1998,0.087277
pop,ABW,1999,0.089005
pop,ABW,2000,0.090853
pop,ABW,2001,0.092898
pop,ABW,2002,0.094992
pop,ABW,2003,0.097017
pop,ABW,2004,0.098737
pop,ABW,2005,0.100031
pop,ABW,2006,0.100834
pop,ABW,2007,0.101222
pop,ABW,2008,0.101358
pop,ABW,2009,0.101455
pop,ABW,2010,0.101669
pop,ABW,2011,0.102046
pop,ABW,2012,0.10256
pop,ABW,2013,0.103159
pop,ABW,2014,0.103774
pop,ABW,2015,0.104341
pop,ABW,2016,0.104872
pop,ABW,2017,0.105366
pop,ABW,2018,0.105845
pop,ABW,2019,0.106314
pop,AGO,1970,5.890365
pop,AGO,1971,6.040777
pop,AGO,1972,6.248552
pop,AGO,1973,6.496962
pop,AGO,1974,6.76138
pop,AGO,1975,7.024
pop,AGO,1976,7.279509
pop,AGO,1977,7.533735
pop,AGO,1978,7.790707
pop,AGO,1979,8.058067
pop,AGO,1980,8.341289
pop,AGO,1981,8.640446
pop,AGO,1982,8.95295
pop,AGO,1983,9.278096
pop,AGO,1984,9.614754
pop,AGO,1985,9.961997
pop,AGO,1986,10.320111
pop,AGO,1987,10.68925
pop,AGO,1988,11.06805
pop,AGO,1989,11.454777
pop,AGO,1990,11.848386
pop,AGO,1991,12.248901
pop,AGO,1992,12.657366
pop,AGO,1993,13.075049
pop,AGO,1994,13.503747
pop,AGO,1995,13.945206
pop,AGO,1996,14.400719
pop,AGO,1997,14.87157
pop,AGO,1998,15.359601
pop,AGO,1999,15.866869
pop,AGO,2000,16.395473
pop,AGO,2001,16.945753
pop,AGO,2002,17.519417
pop,AGO,2003,18.121479
pop,AGO,2004,18.758145
pop,AGO,2005,19.433602
pop,AGO,2006,20.149901
pop,AGO,2007,20.905363
pop,AGO,2008,21.695634
pop,AGO,2009,22.514281
pop,AGO,2010,23.356246
pop,AGO,2011,24.220661
pop,AGO,2012,25.107931
pop,AGO,2013,26.015781
pop,AGO,2014,26.941779
pop,AGO,2015,27.884381
pop,AGO,2016,28.842489
pop,AGO,2017,29.816766
pop,AGO,2018,30.809787
pop,AGO,2019,31.825295
pop,AIA,1970,0.006771
pop,AIA,1971,0.006858
pop,AIA,1972,0.006948
pop,AIA,1973,0.007028
pop,AIA,1974,0.007102
pop,AIA,1975,0.007159
pop,AIA,1976,0.007206
pop,AIA,1977,0.007255
pop,AIA,1978,0.007284
pop,AIA,1979,0.007292
pop,AIA,1980,0.007285
pop,AIA,1981,0.007247
pop,AIA,1982,0.00719
pop,AIA,1983,0.007153
pop,AIA,1984,0.007173
pop,AIA,1985,0.007293
pop,AIA,1986,0.007518
pop,AIA,1987,0.007842
pop,AIA,1988,0.008213
pop,AIA,1989,0.008582
pop,AIA,1990,0.008899
pop,AIA,1991,0.009135
pop,AIA,1992,0.009332
pop,AIA,1993,0.009493
pop,AIA,1994,0.009664
pop,AIA,1995,0.009866
pop,AIA,1996,0.010117
pop,AIA,1997,0.010388
pop,AIA,1998,0.010684
pop,AIA,1999,0.010971
pop,AIA,2000,0.011252
pop,AIA,2001,0.011515
pop,AIA,2002,0.011761
pop,AIA,2003,0.012001
pop,AIA,2004,0.012233
pop,AIA,2005,0.012453
pop,AIA,2006,0.012661
pop,AIA,2007,0.012868
pop,AIA,2008,0.013063
pop,AIA,2009,0.013258
pop,AIA,2010,0.013438
pop,AIA,2011,0.01362
pop,AIA,2012,0.013795
pop,AIA,2013,0.013954
pop,AIA,2014,0.014112
pop,AIA,2015,0.014279
pop,AIA,2016,0.014429
pop,AIA,2017,0.014584
pop,AIA,2018,0.014731
pop,AIA,2019,0.014869
pop,ALB,1970,2.150707
pop,ALB,1971,2.202189
pop,ALB,1972,2.254056
pop,ALB,1973,2.30629
pop,ALB,1974,2.358846
pop,ALB,1975,2.411732
pop,ALB,1976,2.464983
pop,ALB,1977,2.518685
pop,ALB,1978,2.57285
pop,ALB,1979,2.627505
pop,ALB,1980,2.68269
pop,ALB,1981,2.737026
pop,ALB,1982,2.790275
pop,ALB,1983,2.844871
pop,ALB,1984,2.90414
pop,ALB,1985,2.969672
pop,ALB,1986,3.044212
pop,ALB,1987,3.124894
pop,ALB,1988,3.200977
pop,ALB,1989,3.257925
pop,ALB,1990,3.286073
pop,ALB,1991,3.280395
pop,ALB,1992,3.245886
pop,ALB,1993,3.195199
pop,ALB,1994,3.146519
pop,ALB,1995,3.112936
pop,ALB,1996,3.0987
pop,ALB,1997,3.099752
pop,ALB,1998,3.110682
pop,ALB,1999,3.122697
pop,ALB,2000,3.129243
pop,ALB,2001,3.129704
pop,ALB,2002,3.126187
pop,ALB,2003,3.118023
pop,ALB,2004,3.104892
