VariableCode,RegionCode,YearCode,AggValue
rnna,ABW,1970,688.41442871093800000
rnna,ABW,1971,758.38281250000000000
rnna,ABW,1972,834.93579101562500000
rnna,ABW,1973,918.60461425781300000
rnna,ABW,1974,1009.96539306641000000
rnna,ABW,1975,1109.66809082031000000
rnna,ABW,1976,1218.42712402344000000
rnna,ABW,1977,1336.98254394531000000
rnna,ABW,1978,1466.15417480469000000
rnna,ABW,1979,1606.88037109375000000
rnna,ABW,1980,1760.18054199219000000
rnna,ABW,1981,1927.19311523438000000
rnna,ABW,1982,2109.14941406250000000
rnna,ABW,1983,2307.42871093750000000
rnna,ABW,1984,2523.48168945313000000
rnna,ABW,1985,2758.89672851563000000
rnna,ABW,1986,3015.55908203125000000
rnna,ABW,1987,3319.94580078125000000
rnna,ABW,1988,3689.81152343750000000
rnna,ABW,1989,4106.03808593750000000
rnna,ABW,1990,4525.35498046875000000
rnna,ABW,1991,4972.79296875000000000
rnna,ABW,1992,5446.23144531250000000
rnna,ABW,1993,5945.96337890625000000
rnna,ABW,1994,6498.93359375000000000
rnna,ABW,1995,7074.19482421875000000
rnna,ABW,1996,7574.30664062500000000
rnna,ABW,1997,8176.08056640625000000
rnna,ABW,1998,8871.18261718750000000
rnna,ABW,1999,9543.47363281250000000
rnna,ABW,2000,10001.37597656250000000
rnna,ABW,2001,10458.63378906250000000
rnna,ABW,2002,10997.97949218750000000
rnna,ABW,2003,11609.08398437500000000
rnna,ABW,2004,12261.32226562500000000
rnna,ABW,2005,13089.74511718750000000
rnna,ABW,2006,13968.67187500000000000
rnna,ABW,2007,14768.88281250000000000
rnna,ABW,2008,15567.38085937500000000
rnna,ABW,2009,16123.44824218750000000
rnna,ABW,2010,16532.08593750000000000
rnna,ABW,2011,16938.04101562500000000
rnna,ABW,2012,17245.14648437500000000
rnna,ABW,2013,17466.75585937500000000
rnna,ABW,2014,17654.56835937500000000
rnna,ABW,2015,17791.99414062500000000
rnna,ABW,2016,17960.75390625000000000
rnna,ABW,2017,18128.18164062500000000
rnna,ABW,2018,18284.37890625000000000
rnna,ABW,2019,18427.50390625000000000
rnna,AGO,1970,295517.62500000000000000
rnna,AGO,1971,314195.09375000000000000
rnna,AGO,1972,332435.84375000000000000
rnna,AGO,1973,352647.90625000000000000
rnna,AGO,1974,373267.71875000000000000
rnna,AGO,1975,391161.90625000000000000
rnna,AGO,1976,406898.37500000000000000
rnna,AGO,1977,423176.34375000000000000
rnna,AGO,1978,437047.62500000000000000
rnna,AGO,1979,450429.43750000000000000
rnna,AGO,1980,462300.87500000000000000
rnna,AGO,1981,474439.78125000000000000
rnna,AGO,1982,490152.53125000000000000
rnna,AGO,1983,501189.43750000000000000
rnna,AGO,1984,513645.34375000000000000
rnna,AGO,1985,519802.21875000000000000
rnna,AGO,1986,522738.12500000000000000
rnna,AGO,1987,527961.50000000000000000
rnna,AGO,1988,529128.25000000000000000
rnna,AGO,1989,527268.81250000000000000
rnna,AGO,1990,526729.75000000000000000
rnna,AGO,1991,546205.12500000000000000
rnna,AGO,1992,586976.62500000000000000
rnna,AGO,1993,613193.25000000000000000
rnna,AGO,1994,637563.87500000000000000
rnna,AGO,1995,671451.87500000000000000
rnna,AGO,1996,729243.93750000000000000
rnna,AGO,1997,764079.93750000000000000
rnna,AGO,1998,821296.06250000000000000
rnna,AGO,1999,858559.50000000000000000
rnna,AGO,2000,862813.93750000000000000
rnna,AGO,2001,863955.25000000000000000
rnna,AGO,2002,867976.31250000000000000
rnna,AGO,2003,876801.50000000000000000
rnna,AGO,2004,892691.18750000000000000
rnna,AGO,2005,913543.93750000000000000
rnna,AGO,2006,935606.12500000000000000
rnna,AGO,2007,963791.25000000000000000
rnna,AGO,2008,1006915.68750000000000000
rnna,AGO,2009,1054383.25000000000000000
rnna,AGO,2010,1090475.12500000000000000
rnna,AGO,2011,1132092.62500000000000000
rnna,AGO,2012,1177245.75000000000000000
rnna,AGO,2013,1221292.25000000000000000
rnna,AGO,2014,1266441.50000000000000000
rnna,AGO,2015,1307255.37500000000000000
rnna,AGO,2016,1339176.00000000000000000
rnna,AGO,2017,1351656.12500000000000000
rnna,AGO,2018,1360360.62500000000000000
rnna,AGO,2019,1367457.87500000000000000
rnna,AIA,1970,210.09704589843800000
rnna,AIA,1971,226.76301574707000000
rnna,AIA,1972,245.92964172363300000
rnna,AIA,1973,265.81686401367200000
rnna,AIA,1974,285.15527343750000000
rnna,AIA,1975,304.91250610351600000
rnna,AIA,1976,324.70034790039100000
rnna,AIA,1977,344.29693603515600000
rnna,AIA,1978,365.64111328125000000
rnna,AIA,1979,389.13247680664100000
rnna,AIA,1980,413.00723266601600000
rnna,AIA,1981,438.47296142578100000
rnna,AIA,1982,464.25363159179700000
rnna,AIA,1983,488.09475708007800000
rnna,AIA,1984,510.90298461914100000
rnna,AIA,1985,535.18511962890600000
rnna,AIA,1986,575.38885498046900000
rnna,AIA,1987,625.97741699218800000
rnna,AIA,1988,660.16864013671900000
rnna,AIA,1989,701.97735595703100000
rnna,AIA,1990,754.08856201171900000
rnna,AIA,1991,783.32305908203100000
rnna,AIA,1992,827.23077392578100000
rnna,AIA,1993,859.13781738281300000
rnna,AIA,1994,893.55450439453100000
rnna,AIA,1995,931.24157714843800000
rnna,AIA,1996,970.09576416015600000
rnna,AIA,1997,1005.21105957031000000
rnna,AIA,1998,1066.67749023438000000
rnna,AIA,1999,1156.39453125000000000
rnna,AIA,2000,1242.88928222656000000
rnna,AIA,2001,1295.68566894531000000
rnna,AIA,2002,1319.31750488281000000
rnna,AIA,2003,1349.86474609375000000
rnna,AIA,2004,1413.35241699219000000
rnna,AIA,2005,1496.36486816406000000
rnna,AIA,2006,1622.51416015625000000
rnna,AIA,2007,1823.63049316406000000
rnna,AIA,2008,2037.91186523438000000
rnna,AIA,2009,2083.06298828125000000
rnna,AIA,2010,2103.13598632813000000
rnna,AIA,2011,2094.91308593750000000
rnna,AIA,2012,2096.17309570313000000
rnna,AIA,2013,2106.66870117188000000
rnna,AIA,2014,2143.89501953125000000
rnna,AIA,2015,2188.01586914063000000
rnna,AIA,2016,2213.53857421875000000
rnna,AIA,2017,2237.23730468750000000
rnna,AIA,2018,2361.48364257813000000
rnna,AIA,2019,2379.58178710938000000
rnna,ALB,1970,45241.14843750000000000
rnna,ALB,1971,47517.23437500000000000
rnna,ALB,1972,49922.13671875000000000
rnna,ALB,1973,52459.67187500000000000
rnna,ALB,1974,55119.57421875000000000
rnna,ALB,1975,57897.04296875000000000
rnna,ALB,1976,60821.21875000000000000
rnna,ALB,1977,63838.56250000000000000
rnna,ALB,1978,66962.67187500000000000
rnna,ALB,1979,70332.86718750000000000
rnna,ALB,1980,73616.35156250000000000
rnna,ALB,1981,77063.23437500000000000
rnna,ALB,1982,81254.48437500000000000
rnna,ALB,1983,85338.64843750000000000
rnna,ALB,1984,89561.96093750000000000
rnna,ALB,1985,93036.30468750000000000
rnna,ALB,1986,96722.03125000000000000
rnna,ALB,1987,100378.28906250000000000
rnna,ALB,1988,103851.27343750000000000
rnna,ALB,1989,107771.93750000000000000
rnna,ALB,1990,111545.65625000000000000
rnna,ALB,1991,109313.25000000000000000
rnna,ALB,1992,106938.39062500000000000
rnna,ALB,1993,106315.19531250000000000
rnna,ALB,1994,107272.01562500000000000
rnna,ALB,1995,108661.51562500000000000
