VariableCode,RegionCode,YearCode,AggValue
cn,ABW,1970,1313.093384
cn,ABW,1971,1440.541504
cn,ABW,1972,1580.743164
cn,ABW,1973,1732.009155
cn,ABW,1974,1902.454834
cn,ABW,1975,2084.919434
cn,ABW,1976,2278.651367
cn,ABW,1977,2494.073486
cn,ABW,1978,2724.651855
cn,ABW,1979,2983.342529
cn,ABW,1980,3263.031006
cn,ABW,1981,3584.26709
cn,ABW,1982,3928.567871
cn,ABW,1983,4278.736816
cn,ABW,1984,4671.884277
cn,ABW,1985,5117.105469
cn,ABW,1986,5592.875
cn,ABW,1987,6155.543945
cn,ABW,1988,6851.080566
cn,ABW,1989,7645.857422
cn,ABW,1990,8407.942383
cn,ABW,1991,9223.22168
cn,ABW,1992,10109.2832
cn,ABW,1993,11047.23828
cn,ABW,1994,12078.2627
cn,ABW,1995,13159.66113
cn,ABW,1996,14112.38965
cn,ABW,1997,15278.19629
cn,ABW,1998,16680.45313
cn,ABW,1999,17997.32617
cn,ABW,2000,18856.41211
cn,ABW,2001,19783.58594
cn,ABW,2002,20915.60156
cn,ABW,2003,22329.81641
cn,ABW,2004,23898.25
cn,ABW,2005,25921.63477
cn,ABW,2006,28037.54297
cn,ABW,2007,30025.5332
cn,ABW,2008,32061.74609
cn,ABW,2009,33503.96484
cn,ABW,2010,34614.17578
cn,ABW,2011,35534.96094
cn,ABW,2012,32822.875
cn,ABW,2013,28567.58203
cn,ABW,2014,26377.2168
cn,ABW,2015,23630.02734
cn,ABW,2016,20386.87695
cn,ABW,2017,18128.18164
cn,ABW,2018,18285.02734
cn,ABW,2019,18458.13477
cn,AGO,1970,117665.375
cn,AGO,1971,124875.6016
cn,AGO,1972,131892.4531
cn,AGO,1973,139471.6719
cn,AGO,1974,147591.6875
cn,AGO,1975,154499.9531
cn,AGO,1976,160158.7656
cn,AGO,1977,166377.5469
cn,AGO,1978,171251.2656
cn,AGO,1979,176409.9844
cn,AGO,1980,180757.2969
cn,AGO,1981,186040.4063
cn,AGO,1982,192321.4219
cn,AGO,1983,195526.0781
cn,AGO,1984,199768.9375
cn,AGO,1985,202318.2344
cn,AGO,1986,203324.0938
cn,AGO,1987,205178.7188
cn,AGO,1988,205934.4844
cn,AGO,1989,205976.7344
cn,AGO,1990,205150.375
cn,AGO,1991,211975.3281
cn,AGO,1992,228045.5938
cn,AGO,1993,238812.8125
cn,AGO,1994,248751.4844
cn,AGO,1995,262873.25
cn,AGO,1996,286898.125
cn,AGO,1997,301459.9375
cn,AGO,1998,325978.3125
cn,AGO,1999,342108.7813
cn,AGO,2000,343557.875
cn,AGO,2001,345280.3438
cn,AGO,2002,348801.5938
cn,AGO,2003,356889.25
cn,AGO,2004,368675.7813
cn,AGO,2005,383938.625
cn,AGO,2006,413600.4063
cn,AGO,2007,475123.8125
cn,AGO,2008,581048.6875
cn,AGO,2009,731489
cn,AGO,2010,906812.8125
cn,AGO,2011,1046118
cn,AGO,2012,1107735.25
cn,AGO,2013,1103819.375
cn,AGO,2014,1219780.25
cn,AGO,2015,1204097.5
cn,AGO,2016,1149589.375
cn,AGO,2017,1351656.125
cn,AGO,2018,1360817.375
cn,AGO,2019,1371321.25
cn,AIA,1970,377.7881165
cn,AIA,1971,409.140564
cn,AIA,1972,445.2722168
cn,AIA,1973,482.3410339
cn,AIA,1974,519.4974365
cn,AIA,1975,556.3358765
cn,AIA,1976,592.3898315
cn,AIA,1977,629.3180542
cn,AIA,1978,668.5386353
cn,AIA,1979,713.7346191
cn,AIA,1980,759.0333252
cn,AIA,1981,810.0662231
cn,AIA,1982,859.5924683
cn,AIA,1983,899.6386108
cn,AIA,1984,938.9957275
cn,AIA,1985,985.3182983
cn,AIA,1986,1059.719238
cn,AIA,1987,1152.943481
cn,AIA,1988,1218.353271
cn,AIA,1989,1298.608276
cn,AIA,1990,1395.839111
cn,AIA,1991,1447.727295
cn,AIA,1992,1531.174194
cn,AIA,1993,1593.196167
cn,AIA,1994,1659.4198
cn,AIA,1995,1730.008057
cn,AIA,1996,1803.904297
cn,AIA,1997,1874.593506
cn,AIA,1998,2000.181274
cn,AIA,1999,2174.018066
cn,AIA,2000,2330.955322
cn,AIA,2001,2437.194824
cn,AIA,2002,2495.150146
cn,AIA,2003,2567.62793
cn,AIA,2004,2702.893555
cn,AIA,2005,2890.050537
cn,AIA,2006,3147.699219
cn,AIA,2007,3543.586426
cn,AIA,2008,3978.468506
cn,AIA,2009,4073.150879
cn,AIA,2010,4100.594727
cn,AIA,2011,4075.667236
cn,AIA,2012,3655.837891
cn,AIA,2013,3300.050293
cn,AIA,2014,3035.810059
cn,AIA,2015,2850.427002
cn,AIA,2016,2621.856201
cn,AIA,2017,2237.237305
cn,AIA,2018,2370.392822
cn,AIA,2019,2385.741943
cn,ALB,1970,24195.66992
cn,ALB,1971,25478.49805
cn,ALB,1972,26841.97266
cn,ALB,1973,28242.49023
cn,ALB,1974,29784.92578
cn,ALB,1975,31313.83008
cn,ALB,1976,32858.25
cn,ALB,1977,34542.07813
cn,ALB,1978,36206.10938
cn,ALB,1979,38115.27344
cn,ALB,1980,39936.03516
cn,ALB,1981,42014.67578
cn,ALB,1982,44387.78906
cn,ALB,1983,46400.07031
cn,ALB,1984,48571.44922
cn,ALB,1985,50552.80859
cn,ALB,1986,52593.05078
cn,ALB,1987,54594.53516
cn,ALB,1988,56584.9375
cn,ALB,1989,58894.53125
cn,ALB,1990,61056.90234
cn,ALB,1991,59704.40234
cn,ALB,1992,58528.24609
cn,ALB,1993,58332.19922
cn,ALB,1994,58954.85156
cn,ALB,1995,59727.85156
cn,ALB,1996,60936.03906
cn,ALB,1997,61219.60938
cn,ALB,1998,62256.11719
cn,ALB,1999,62443.04688
cn,ALB,2000,64886.50781
cn,ALB,2001,67135.78125
cn,ALB,2002,69969.47656
cn,ALB,2003,73819.27344
cn,ALB,2004,78298.45313
cn,ALB,2005,83766.80469
cn,ALB,2006,108180.1016
cn,ALB,2007,118847.3828
cn,ALB,2008,132814.6875
cn,ALB,2009,147522.8125
cn,ALB,2010,163120.375
cn,ALB,2011,173394.25
cn,ALB,2012,163361.375
cn,ALB,2013,170890.8594
cn,ALB,2014,211204.3906
cn,ALB,2015,209133.0781
cn,ALB,2016,219219.4531
cn,ALB,2017,217175.75
cn,ALB,2018,224225.0156
cn,ALB,2019,229818.3281
cn,ARE,1970,292893.5938
cn,ARE,1971,305163.875
cn,ARE,1972,323810.1563
cn,ARE,1973,336189.4688
cn,ARE,1974,345186.125
cn,ARE,1975,381531.2813
cn,ARE,1976,425213.3125
cn,ARE,1977,488762.75
cn,ARE,1978,563039.6875
cn,ARE,1979,637315.9375
cn,ARE,1980,706333.5625
cn,ARE,1981,772732.375
cn,ARE,1982,835798.1875
cn,ARE,1983,893719.3125
cn,ARE,1984,950095.5625
cn,ARE,1985,995125.5
cn,ARE,1986,1035986.375
cn,ARE,1987,1065331
cn,ARE,1988,1096200.75
cn,ARE,1989,1130938.25
cn,ARE,1990,1163435.25
cn,ARE,1991,1197705.375
cn,ARE,1992,1246695.75
cn,ARE,1993,1269188.875
cn,ARE,1994,1300252.5
cn,ARE,1995,1335225.125
cn,ARE,1996,1373823
cn,ARE,1997,1418472.625
cn,ARE,1998,1468511.375
cn,ARE,1999,1516082.25
cn,ARE,2000,1563042.125
cn,ARE,2001,1614372.125
cn,ARE,2002,1671885.5
cn,ARE,2003,1741852.25
