VariableCode,RegionCode,YearCode,AggValue
cn,ARE,2019,4510359.5
cn,ATG,2019,10975.73145
cn,AIA,2019,2385.741943
cn,ALB,2019,229818.3281
cn,ARM,2019,98945.86719
cn,AGO,2019,1371321.25
cn,ARG,2019,3374818.5
cn,AUT,2019,2875459.75
cn,AUS,2019,5899094
cn,ABW,2019,18458.13477
cn,AZE,2019,273638.75
cn,BIH,2019,138297.5
cn,BRB,2019,33888.20703
cn,BGD,2019,2843306.5
cn,BEL,2019,3496175
cn,BFA,2019,86375.10156
cn,BGR,2019,458279.1563
cn,BHR,2019,428701.6563
cn,BDI,2019,18806.58398
cn,BEN,2019,88006.9375
cn,BMU,2019,11334.53809
cn,BRN,2019,200159.75
cn,BOL,2019,215585.5156
cn,BRA,2019,13677290
cn,BHS,2019,76626.07813
cn,BTN,2019,61204.9375
cn,BWA,2019,186374.6094
cn,BLR,2019,656323.125
cn,BLZ,2019,9956.207031
cn,CAN,2019,8721109
cn,COD,2019,270620.8125
cn,CAF,2019,31822.44531
cn,COG,2019,141415.1406
cn,CHE,2019,3225664
cn,CIV,2019,255208.7969
cn,CHL,2019,2075795
cn,CMR,2019,249906.4375
cn,CHN,2019,101544168
cn,COL,2019,2194572.5
cn,CRI,2019,236104.75
cn,CPV,2019,19152.57422
cn,CYP,2019,214205.0625
cn,CZE,2019,2375330.25
cn,DEU,2019,20907856
cn,DJI,2019,11176.5166
cn,DNK,2019,1594880
cn,DMA,2019,2821.068848
cn,DOM,2019,774568.875
cn,DZA,2019,2487455.25
cn,ECU,2019,1162897.125
cn,EST,2019,219444.0938
cn,EGY,2019,1822150.5
cn,ESP,2019,11827519
cn,ETH,2019,648750
cn,FIN,2019,1281196.5
cn,FJI,2019,28567.25195
cn,FRA,2019,17987252
cn,GAB,2019,128428.125
cn,GBR,2019,15302674
cn,GRD,2019,6703.829102
cn,GEO,2019,297316
cn,GHA,2019,421221.875
cn,GMB,2019,12008.94043
cn,GIN,2019,56857.53516
cn,GNQ,2019,116049.5078
cn,GRC,2019,2565751
cn,GTM,2019,450848.75
cn,GNB,2019,6250.891602
cn,HKG,2019,2566180
cn,HND,2019,235830.9219
cn,HRV,2019,602383.25
cn,HTI,2019,155952
cn,HUN,2019,1428009.375
cn,IDN,2019,18173848
cn,IRL,2019,1868599.25
cn,ISR,2019,1226272.125
cn,IND,2019,35324124
cn,IRQ,2019,1132113.125
cn,IRN,2019,6824485
cn,ISL,2019,93709.98438
cn,ITA,2019,18855818
cn,JAM,2019,152178.1875
cn,JOR,2019,360493.6875
cn,JPN,2019,26102876
cn,KEN,2019,540344.6875
cn,KGZ,2019,87622.60156
cn,KHM,2019,210421.9531
cn,COM,2019,12915.60156
cn,KNA,2019,11312.90723
cn,KOR,2019,11164507
