VariableCode,RegionCode,YearCode,AggValue
delta,ABW,1970,0.04012023285031320
delta,ABW,1971,0.03912630677223210
delta,ABW,1972,0.03832933306694030
delta,ABW,1973,0.03769548609852790
delta,ABW,1974,0.03719552606344220
delta,ABW,1975,0.03680472820997240
delta,ABW,1976,0.03650233149528500
delta,ABW,1977,0.03627069666981700
delta,ABW,1978,0.03609569370746610
delta,ABW,1979,0.03596604242920880
delta,ABW,1980,0.03587242588400840
delta,ABW,1981,0.03580736368894580
delta,ABW,1982,0.03576448559761050
delta,ABW,1983,0.03573892265558240
delta,ABW,1984,0.03572659566998480
delta,ABW,1985,0.03572361916303630
delta,ABW,1986,0.03572837263345720
delta,ABW,1987,0.03578554093837740
delta,ABW,1988,0.03593667969107630
delta,ABW,1989,0.03604923188686370
delta,ABW,1990,0.03651735559105870
delta,ABW,1991,0.03690296038985250
delta,ABW,1992,0.03648767620325090
delta,ABW,1993,0.03547825664281850
delta,ABW,1994,0.03409226611256600
delta,ABW,1995,0.03390769660472870
delta,ABW,1996,0.03457252308726310
delta,ABW,1997,0.03471076861023900
delta,ABW,1998,0.03469341993331910
delta,ABW,1999,0.03426939994096760
delta,ABW,2000,0.03385832905769350
delta,ABW,2001,0.03386539965868000
delta,ABW,2002,0.03408804535865780
delta,ABW,2003,0.03440399467945100
delta,ABW,2004,0.03458788618445400
delta,ABW,2005,0.03473506495356560
delta,ABW,2006,0.03482951968908310
delta,ABW,2007,0.03467341512441640
delta,ABW,2008,0.03444195166230200
delta,ABW,2009,0.03436535224318500
delta,ABW,2010,0.03426912054419520
delta,ABW,2011,0.03414480388164520
delta,ABW,2012,0.03408142551779750
delta,ABW,2013,0.03404234349727630
delta,ABW,2014,0.03405382484197620
delta,ABW,2015,0.03412468731403350
delta,ABW,2016,0.03429428115487100
delta,ABW,2017,0.03458801284432410
delta,ABW,2018,0.03492151945829390
delta,ABW,2019,0.03524106368422510
delta,AGO,1970,0.04018252715468410
delta,AGO,1971,0.03946351259946820
delta,AGO,1972,0.03894475847482680
delta,AGO,1973,0.03836688771843910
delta,AGO,1974,0.03780219703912740
delta,AGO,1975,0.03740647435188290
delta,AGO,1976,0.03719759732484820
delta,AGO,1977,0.03692068532109260
delta,AGO,1978,0.03644883260130880
delta,AGO,1979,0.03592333942651750
delta,AGO,1980,0.03533386066555980
delta,AGO,1981,0.03474478796124460
delta,AGO,1982,0.03431831300258640
delta,AGO,1983,0.03389687091112140
delta,AGO,1984,0.03347656503319740
delta,AGO,1985,0.03306553512811660
delta,AGO,1986,0.03260531648993490
delta,AGO,1987,0.03217928111553190
delta,AGO,1988,0.03183562681078910
delta,AGO,1989,0.03155718371272090
delta,AGO,1990,0.03135644271969800
delta,AGO,1991,0.03150590881705280
delta,AGO,1992,0.03203274682164190
delta,AGO,1993,0.03251795843243600
delta,AGO,1994,0.03288427367806430
delta,AGO,1995,0.03412833064794540
delta,AGO,1996,0.03702820837497710
delta,AGO,1997,0.03899965062737460
delta,AGO,1998,0.03948907181620600
delta,AGO,1999,0.04012027382850650
delta,AGO,2000,0.04021793603897090
delta,AGO,2001,0.03981582075357440
delta,AGO,2002,0.03958664834499360
