Summe von AggValue,Spaltenbeschriftungen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeilenbeschriftungen,MAR,ABW,AGO,AIA,ALB,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,POL,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLE,SLV,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VNM,YEM,ZAF,ZMB,ZWE
1950,0.034070022,,,,,,0.027628608,,,0.021165539,0.030954845,,,0.036778066,,,,,,,,,,,0.046017297,0.041735176,,,,,,0.033523072,0.039604247,,,,,0.039175056,,0.033249114,,,0.035081442,,0.030664479,,0.033115841,,,0.034198195,,,0.032394074,0.041789964,0.027465133,,0.039736014,0.031106019,,0.025649978,,0.0269491,,,,,,,,,0.052079596,,0.040917996,,,,,0.03054205,0.027671659,,,0.03323466,0.031012373,0.028059982,,,0.027824555,,0.049810287,,,,,,,,,,0.065062307,,,0.032929406,,,,,,0.032814745,,,,,,,,,,0.04864632,,,,,0.050393891,0.03954462,0.030058663,0.044730633,,0.024385907,,0.040670093,0.040385928,0.036945056,0.038862642,,0.026177213,,,,,,,,,,,,0.043024603,,,,,,0.025955312,,,,,,,0.040587675,,,0.042399313,,0.041612845,,,0.047343932,,0.034063667,0.032336805,,,0.042781573,,,,0.030201245,,
1951,0.034014549,,,,,,0.028061502,,,0.021673646,0.032362904,,,0.036979932,,,,,,,,,,,0.043337002,0.043967709,,,,,,0.03401117,0.039257888,0.029691624,,,,0.036429726,,0.032932244,,,0.035713568,,0.031657536,,0.033449993,,,0.033732928,0.033605061,,0.032424118,0.043859441,0.027930729,,0.03799136,0.030863043,,0.025562713,,0.028688703,,,,,,,0.026925839,,0.049281605,,0.041567199,,,,,0.030829078,0.02927867,,,0.032566857,0.030491916,0.028655713,,,0.027927617,,0.048142988,,,,,,,,,,0.069355011,,,0.033264931,,,,,,0.032959525,,,,,,,,,,0.049786594,,,,,0.046216991,0.037499797,0.030583832,0.048263092,,0.024735739,,0.041006539,0.039643008,0.043198533,0.038609896,,0.025869511,0.041186649,,,,,,,,,,,0.047373917,,,,,,0.026810227,,,,,,,0.040550586,,,0.045446146,,0.041853312,0.026578922,,0.0524472,,0.041720629,0.032250635,,,0.042460389,,,,0.03178636,,
1952,0.03399267,,,,,,0.028584789,,,0.021954313,0.033305101,,,0.037141666,,,,,,,,,,,0.041210573,0.046051368,,,,,,0.03449529,0.039246757,0.028223516,0.041752212,,,0.034122873,,0.032769594,,,0.036685493,,0.032608885,,0.033715513,,,0.033083893,0.03393326,,0.03239765,0.045922451,0.028509606,,0.036607284,0.031208018,,0.025457328,,0.030023882,,,,,,,0.026210435,,0.046723023,,0.042541049,,,,,0.030989254,0.030488962,,,0.03195953,0.0302161,0.02909762,,,0.028192388,,0.046639502,,,,,,,,,,0.073019855,,,0.03288696,,,,,,0.033052344,,,,,,,,,,0.050388172,,,,,0.04260733,0.035922326,0.030871158,0.050545931,,0.02495602,,0.041907161,0.038844477,0.048968475,0.038207911,,0.025583453,0.042542811,,,,,,,,,,,0.051050551,,,,,,0.027607135,,,,,,,0.040515903,,,0.047909081,,0.042431265,0.026898233,,0.056767173,,0.044205718,0.03225825,,,0.042458002,,,,0.032791633,,
1953,0.033982411,,,,,,0.028767642,,,0.022078669,0.033286456,,,0.037305139,,,,,,,,,,,0.03940938,0.046700094,,,,,,0.034836356,0.0391392,0.026996827,0.044075236,,,0.03225046,,0.032935735,,,0.037876472,,0.033640813,,0.033925589,,,0.03266374,0.035008822,,0.032526746,0.048170727,0.029133052,,0.035752837,0.03140305,,0.025339611,,0.030775322,,,,,,,0.02550694,,0.044495799,,0.043372653,,,,,0.031009121,0.031328384,,,0.030739041,0.030187238,0.02944929,0.040219821,,0.02831069,,0.045295607,,,,0.02961348,,,,,,0.075245321,,,0.033216704,,,,,,0.033075903,,,,,,,,,,0.051001169,,,,,0.039688233,0.034723658,0.031127065,0.05219565,,0.025106968,,0.043093145,0.038455579,0.053303719,0.038266033,,0.025347454,0.044394299,,,,,,,,,,,0.053845074,,,,,,0.028013596,,,,,,,0.04048679,,,0.049187619,,0.043366197,0.027471291,,0.060143169,,0.044315487,0.032326322,,,0.042606845,,,,0.033402469,,
1954,0.033957675,,,,,,0.028811706,,,0.022310136,0.033116683,,,0.037585646,,,,,,,,,,,0.037862379,0.047329921,,,,,,0.034836348,0.039100371,0.025988191,0.046536785,,,0.030724922,,0.03334444,,,0.038762551,,0.035130329,,0.034066848,,,0.032447003,0.035482377,,0.033307303,0.050365109,0.029812261,,0.035540305,0.031376537,,0.025231626,,0.031492818,,,,,,,0.024807846,,0.04281047,,0.043523666,,,,,0.031344593,0.032017387,,,0.029856913,0.030069726,0.029765448,0.039417773,0.040255431,0.028439809,,0.044176985,,,,0.028961463,,,,,,0.076515183,,,0.033855218,,,,,,0.033183064,,,0.048313133,,,,,,,0.051429544,0.032431446,,,,0.037381511,0.033835083,0.031516954,0.053698752,,0.025445614,,0.044251218,0.038199313,0.055668354,0.039155524,,0.025144596,0.04572168,,,,,,,,,,,0.055781111,,,,,,0.02839482,,,,,,,0.040468462,,,0.049680386,,0.044240057,0.027938988,,0.06197343,,0.044071525,0.032339875,,,0.04273374,,,,0.034350149,,0.039794657
1955,0.033582319,,,,,,0.028981071,,,0.022575816,0.033641543,,,0.037848618,,,,,,,,,,,0.036797624,0.04847018,,,,,,0.034561314,0.03941144,0.025136128,0.048468865,,,0.029445339,,0.033621803,,,0.039491732,,0.036850531,,0.034383677,,,0.032116964,0.035880245,,0.034264565,0.052253768,0.030365543,,0.035600491,0.031735614,,0.025128787,,0.032267977,,0.042271163,,,,,0.024165586,,0.042016447,,0.043357383,,,,,0.031894464,0.032667637,0.047357507,,0.029754901,0.030058399,0.030031087,0.038828786,0.039374098,0.028659869,,0.043349978,,,,0.028380884,,,,,,0.078175001,,,0.034120288,,,,,,0.033356987,,,0.047330834,,,,,,,0.051516023,0.033333208,0.035005301,,,0.035560898,0.033151828,0.03200924,0.055392053,,0.025802556,,0.045249827,0.037882071,0.056652665,0.040533159,,0.024930183,0.046052184,,,,,,,,,,,0.057076223,,,,,,0.028809724,,,,,,,0.040560726,,,0.050563958,,0.045012999,0.028198736,,0.063214988,,0.043647781,0.032265835,,,0.04280315,,,,0.035170477,0.039629385,0.038155157
1956,0.032915447,,,,,,0.029277012,,,0.022780288,0.034236044,,,0.038119502,,,,,,,,,,,0.036035396,0.04867319,,,,,,0.03458311,0.040153269,0.024459288,0.050053004,,,0.028360419,,0.033634827,,,0.040291067,,0.038267739,,0.034690391,,,0.031764112,0.036459681,,0.034977872,0.053383693,0.030828575,,0.035530444,0.032374024,,0.025042722,,0.033071682,,0.04791835,,,,,0.023619581,,0.042157803,,0.04331737,,,,,0.032444976,0.033096049,0.04791037,,0.029575169,0.030211151,0.030227464,0.038398113,0.038686898,0.029035425,,0.042667501,,,,0.027919836,,,,,,0.079701528,,,0.034105178,,,,,,0.033567164,,,0.047282372,,,,,,,0.051449612,0.034553666,0.033780932,,,0.03415826,0.032526076,0.032543749,0.057391465,,0.025987629,,0.045975186,0.037836205,0.058368143,0.041620117,,0.024714716,0.045820851,,,,,,,,,,,0.058935098,,,,,,0.029145833,,,,,,,0.040554449,,,0.051576924,,0.045654468,0.028618382,,0.06409055,,0.042227972,0.032241452,,,0.042773154,,,,0.035696726,0.037707541,0.036877207
1957,0.032111332,,,,,,0.029523568,,,0.022927886,0.034505758,,,0.038448676,,,,,,,,,,,0.035314817,0.048933886,,,,,,0.034735791,0.04111401,0.023930565,0.05158367,,,0.027402963,,0.032965373,,,0.041130949,,0.039247215,,0.034741625,,,0.031602271,0.037031066,,0.035361908,0.053983293,0.031374868,,0.035400156,0.032752428,,0.024998749,,0.033864338,,0.051766139,,,,,0.023161113,,0.042179208,,0.043354589,,,,,0.032854479,0.033032373,0.049068131,,0.029025052,0.030476853,0.030271536,0.038255051,0.03823223,0.029670861,,0.041945975,,,,0.027693367,,,,,,0.080272742,,,0.034182228,,,,,,0.033748422,,,0.047892686,,,,,,,0.051161014,0.035940856,0.032717712,,,0.033081885,0.031943925,0.032988168,0.059005264,,0.026174324,,0.046671633,0.037898287,0.060941719,0.042491369,,0.024605205,0.046377655,,,,,,,,,,,0.061288539,,,,,,0.029428992,,,,,,,0.040698491,,,0.05299199,,0.046408124,0.029272093,,0.064147577,,0.040950648,0.032272462,,,0.04275291,,,,0.036121298,0.03616216,0.035840783
1958,0.031532977,,,,,,0.02969921,,,0.023094591,0.03471484,,,0.038463209,,,,,,,,,,,0.034649212,0.049500979,,,,,,0.034512505,0.04164869,0.023502607,0.053725604,,,0.02649514,,0.031899702,,,0.041365258,,0.039364122,,0.034650911,,,0.031408444,0.037567258,,0.03548193,0.054684754,0.031920541,,0.035883874,0.032905012,,0.024977669,,0.034572016,,0.054328553,,,,,0.022776484,,0.041698221,,0.043222371,,,,,0.033020578,0.032789357,0.050562151,,0.028728444,0.030840367,0.030232402,0.03819602,0.037755836,0.030289812,,0.041068342,,,,0.027574828,,,,,,0.080628149,,,0.034446001,,,,,,0.033792626,,,0.048409358,,,,,,,0.051813364,0.037262615,0.031740021,,,0.032246996,0.031415716,0.033163432,0.060476407,,0.02631508,,0.047487129,0.03798461,0.062371183,0.043395426,,0.024575569,0.047481455,,,,,,,,,,,0.062537082,,,,,,0.029693859,,,,,,,0.041094169,,,0.054996178,,0.047630727,0.03008681,,0.063722864,,0.039117672,0.032243483,,,0.042659484,,,,0.036595937,0.034826126,0.034951378
1959,0.031066647,,,,,,0.02976268,,,0.023280513,0.034867924,,,0.038410027,0.041499358,0.04037863,0.038134247,,,,,,,,0.0339812,0.050467134,,,,,,0.034135174,0.041862693,0.02318255,0.056766864,,,0.02559883,,0.030923096,,,0.041274734,,0.038976159,,0.034591805,,,0.031413663,0.038119879,,0.035521168,0.055754963,0.032090493,,0.036184229,0.033277657,,0.024920398,,0.035189848,,0.057519205,0.040269721,,,,0.022453394,,0.041397646,,0.042856216,,,,,0.033077262,0.032862265,0.051953323,,0.028719649,0.031168278,0.030253334,0.037913177,0.037501857,0.030868953,,0.040095255,,,,0.027327003,,,,,,0.081247032,,,0.03456318,,,,,,0.033710223,,,0.048661873,,,,,,,0.052746847,0.037419356,0.030937282,,,0.03159548,0.030963015,0.033200722,0.061461873,,0.026402216,,0.0483041,0.038174089,0.06258326,0.044412229,,0.024434799,0.04781232,,,,,,,,,,,0.062202118,,,,,,0.029949302,,,,,,,0.041599348,,,0.057046257,,0.048530884,0.031054256,,0.063086741,,0.03678371,0.03212361,,,0.042464714,,,,0.036648404,0.033623684,0.0340853
