VariableCode,RegionCode,YearCode,AggValue
cgdpo,ARE,2019,635332.8125
cgdpo,ATG,2019,1631.650513
cgdpo,AIA,2019,241.3845367
cgdpo,ALB,2019,36288.32813
cgdpo,ARM,2019,43795.6875
cgdpo,CUW,2019,3483.726074
cgdpo,AGO,2019,223289.3125
cgdpo,ARG,2019,978558.8125
cgdpo,AUT,2019,478329.3438
cgdpo,AUS,2019,1355143.25
cgdpo,ABW,2019,3466.241943
cgdpo,AZE,2019,157517.125
cgdpo,BIH,2019,45816.26563
cgdpo,BRB,2019,3577.581055
cgdpo,BGD,2019,757204.5625
cgdpo,BEL,2019,523688.5938
cgdpo,BFA,2019,43177.33984
cgdpo,BGR,2019,150325.4375
cgdpo,BHR,2019,77180.33594
cgdpo,BDI,2019,9166.323242
cgdpo,BEN,2019,38397.95313
cgdpo,BMU,2019,3188.01001
cgdpo,BRN,2019,31061.18164
cgdpo,BOL,2019,98644.46875
cgdpo,BRA,2019,3079724.5
cgdpo,BHS,2019,12962.30176
cgdpo,BTN,2019,8979.651367
cgdpo,BWA,2019,38095.60938
cgdpo,BLR,2019,205916.1875
cgdpo,BLZ,2019,2218.947021
cgdpo,CAN,2019,1862070
cgdpo,COD,2019,88514.07031
cgdpo,CAF,2019,4653.580566
cgdpo,COG,2019,24495.8457
cgdpo,CHE,2019,644661.75
cgdpo,CIV,2019,129436.7891
cgdpo,CHL,2019,441291.0938
cgdpo,CMR,2019,94377.69531
cgdpo,CHN,2019,20118076
cgdpo,COL,2019,706174.3125
cgdpo,CRI,2019,93967.24219
cgdpo,CPV,2019,4044.035645
cgdpo,CYP,2019,28377.01367
cgdpo,CZE,2019,401744.25
cgdpo,DEU,2019,4274167.5
cgdpo,DJI,2019,6095.722656
cgdpo,DNK,2019,312004.0625
cgdpo,DMA,2019,753.6078491
cgdpo,DOM,2019,192885.8594
cgdpo,DZA,2019,503848.3125
cgdpo,ECU,2019,194288.4531
cgdpo,EST,2019,45079.35156
cgdpo,EGY,2019,1212398.375
cgdpo,ESP,2019,1889426.625
cgdpo,ETH,2019,304722.5625
cgdpo,FIN,2019,249282.9844
cgdpo,FJI,2019,12362.8252
cgdpo,FRA,2019,2950146.25
cgdpo,GAB,2019,33140.01563
cgdpo,GBR,2019,2994405.75
cgdpo,GRD,2019,1732.567383
cgdpo,GEO,2019,68545.67188
cgdpo,GHA,2019,162525.8906
cgdpo,GMB,2019,5678.666504
cgdpo,GIN,2019,29424.21484
cgdpo,GNQ,2019,33078.69922
cgdpo,GRC,2019,286884.5313
cgdpo,GTM,2019,137257.5313
cgdpo,GNB,2019,3581.914795
cgdpo,GUY,2019,10306.14746
cgdpo,HKG,2019,408095.8125
cgdpo,HND,2019,53133.13281
cgdpo,HRV,2019,108094.8203
cgdpo,HTI,2019,17676.76563
cgdpo,HUN,2019,284589.5
cgdpo,IDN,2019,3120405.75
cgdpo,IRL,2019,496383.5
cgdpo,ISR,2019,329783.3125
cgdpo,IND,2019,9142121
cgdpo,IRQ,2019,458890.1563
cgdpo,IRN,2019,1087768
cgdpo,ISL,2019,18182.48047
cgdpo,ITA,2019,2462820
cgdpo,JAM,2019,25149.85742
cgdpo,JOR,2019,109624.8125
cgdpo,JPN,2019,5031850
cgdpo,KEN,2019,223246.2344
cgdpo,KGZ,2019,39531.11328
cgdpo,KHM,2019,74427.92188
cgdpo,COM,2019,2746.731934
cgdpo,KNA,2019,1223.573364
cgdpo,KOR,2019,2156917.25
cgdpo,KWT,2019,253742.5938
cgdpo,CYM,2019,4036.457031
cgdpo,KAZ,2019,520080.2188
cgdpo,LAO,2019,54361.5
cgdpo,LBN,2019,101815.1719
cgdpo,LCA,2019,2625.148926
cgdpo,LKA,2019,283475.25
cgdpo,LBR,2019,6232.748047
cgdpo,LSO,2019,5820.875
cgdpo,LTU,2019,90408.30469
cgdpo,LUX,2019,56199.69141
cgdpo,LVA,2019,56482.9375
cgdpo,MAR,2019,289744.2188
cgdpo,MDA,2019,38440.00781
cgdpo,MNE,2019,13872.33887
cgdpo,MDG,2019,41620.14844
cgdpo,MKD,2019,33106.08594
cgdpo,MLI,2019,48250.6875
cgdpo,MMR,2019,277804.5938
cgdpo,MNG,2019,38103.89844
cgdpo,MAC,2019,60140.26172
cgdpo,MRT,2019,21248.32227
cgdpo,MSR,2019,81.0855484
cgdpo,MLT,2019,17330.59766
cgdpo,MUS,2019,30030.89648
cgdpo,MDV,2019,10408.5918
cgdpo,MWI,2019,21734.96094
cgdpo,MEX,2019,2391290
cgdpo,MYS,2019,818144.5625
cgdpo,MOZ,2019,37394.91406
cgdpo,NAM,2019,23621.18945
cgdpo,NER,2019,28234.16992
cgdpo,NGA,2019,995048.3125
cgdpo,NIC,2019,33074.5
cgdpo,NLD,2019,950203.4375
cgdpo,NOR,2019,388492.4688
cgdpo,NPL,2019,103970.75
cgdpo,NZL,2019,199241.375
cgdpo,OMN,2019,150306.2969
cgdpo,PAN,2019,127016.1328
cgdpo,PER,2019,397799.1563
cgdpo,PHL,2019,913573.5625
cgdpo,PAK,2019,1089080.25
cgdpo,POL,2019,1214853
cgdpo,PSE,2019,37048.20313
cgdpo,PRT,2019,327037.7188
cgdpo,PRY,2019,86919.07813
cgdpo,QAT,2019,312499.0938
cgdpo,ROU,2019,541634.25
cgdpo,SRB,2019,121193.1094
cgdpo,RUS,2019,4133948.5
cgdpo,RWA,2019,28869.24023
cgdpo,SAU,2019,1749947.625
cgdpo,SYC,2019,2779.828613
cgdpo,SDN,2019,181252.3906
cgdpo,SWE,2019,527787.8125
cgdpo,SGP,2019,477183.5938
cgdpo,SVN,2019,71353.5625
cgdpo,SXM,2019,1354.859497
cgdpo,SVK,2019,151482.375
cgdpo,SLE,2019,14754.47949
cgdpo,SEN,2019,53146.42188
cgdpo,SUR,2019,8440.474609
cgdpo,STP,2019,821.2059326
cgdpo,SLV,2019,52751.42578
cgdpo,SYR,2019,123770.0156
cgdpo,SWZ,2019,9042.543945
cgdpo,TCA,2019,632.0889282
