VariableCode,RegionCode,YearCode,AggValue
irr,ABW,1991,0.114419118
irr,ABW,1992,0.111404188
irr,ABW,1993,0.110878341
irr,ABW,1994,0.105223216
irr,ABW,1995,0.104265973
irr,ABW,1996,0.100388527
irr,ABW,1997,0.101205438
irr,ABW,1998,0.103944838
irr,ABW,1999,0.086199954
irr,ABW,2000,0.080654219
irr,ABW,2001,0.086332783
irr,ABW,2002,0.078907155
irr,ABW,2003,0.076359108
irr,ABW,2004,0.077886686
irr,ABW,2005,0.070547037
irr,ABW,2006,0.065013729
irr,ABW,2007,0.063797846
irr,ABW,2008,0.058344591
irr,ABW,2009,0.047264207
irr,ABW,2010,0.039764855
irr,ABW,2011,0.039935809
irr,ABW,2012,0.036883481
irr,ABW,2013,0.042177863
irr,ABW,2014,0.04018883
irr,ABW,2015,0.041084222
irr,ABW,2016,0.044474781
irr,ABW,2017,0.046607032
irr,ABW,2018,0.043946661
irr,ABW,2019,0.043163285
irr,AGO,1970,0.21378012
irr,AGO,1971,0.212561697
irr,AGO,1972,0.205272272
irr,AGO,1973,0.208967045
irr,AGO,1974,0.200753197
irr,AGO,1975,0.177893534
irr,AGO,1976,0.163940474
irr,AGO,1977,0.156547353
irr,AGO,1978,0.141933173
irr,AGO,1979,0.134700999
irr,AGO,1980,0.135414332
irr,AGO,1981,0.118486181
irr,AGO,1982,0.113711789
irr,AGO,1983,0.114542991
irr,AGO,1984,0.119158223
irr,AGO,1985,0.117778808
irr,AGO,1986,0.090591818
irr,AGO,1987,0.1009266
irr,AGO,1988,0.093026035
irr,AGO,1989,0.094974525
irr,AGO,1990,0.103003509
irr,AGO,1991,0.213091269
irr,AGO,1992,1.095874786
irr,AGO,1993,0.083808623
irr,AGO,1994,0.05766876
irr,AGO,1995,0.077278949
irr,AGO,1996,0.080857053
irr,AGO,1997,0.077715307
irr,AGO,1998,0.066208929
irr,AGO,1999,0.061694533
irr,AGO,2000,0.091971032
irr,AGO,2001,0.064422846
irr,AGO,2002,0.01
irr,AGO,2003,0.013463359
