"Counter","Year","Mean","SD","MeanE","NMeanE","HSMeanE","WMeanE"
0,1950,44.450296894880495,25.76169362038437,"Around[44.450296894880495, 25.76169362038437]","Around[25.066404, 2.735759]","Around[78.777818, 9.077308]","Around[29.506669, 5.802362]"
1,1951,44.337052840099446,25.69739673136717,"Around[44.337052840099446, 25.69739673136717]","Around[24.997027, 2.735097]","Around[78.571951, 9.08418]","Around[29.442181, 5.805302]"
2,1952,44.23199285430623,25.6375618475685,"Around[44.23199285430623, 25.6375618475685]","Around[24.932526, 2.735349]","Around[78.380072, 9.092986]","Around[29.383381, 5.809703]"
3,1953,44.12984451624721,25.57936508443402,"Around[44.12984451624721, 25.57936508443402]","Around[24.869734, 2.735855]","Around[78.19325, 9.102398]","Around[29.32655, 5.814531]"
4,1954,44.02961900887306,25.52235994751193,"Around[44.02961900887306, 25.52235994751193]","Around[24.808025, 2.736305]","Around[78.010025, 9.111801]","Around[29.270806, 5.819308]"
5,1955,43.932571552012554,25.467279046289537,"Around[43.932571552012554, 25.467279046289537]","Around[24.74813, 2.736751]","Around[77.832668, 9.12129]","Around[29.216916, 5.82411]"
6,1956,43.83816772318438,25.413736023919782,"Around[43.83816772318438, 25.413736023919782]","Around[24.689758, 2.737382]","Around[77.659996, 9.13125]","Around[29.164749, 5.829228]"
7,1957,43.743197316931244,25.35989332148984,"Around[43.743197316931244, 25.35989332148984]","Around[24.631021, 2.738085]","Around[77.486249, 9.141459]","Around[29.112322, 5.834489]"
8,1958,43.647669402950335,25.30555276164788,"Around[43.647669402950335, 25.30555276164788]","Around[24.572007, 2.739291]","Around[77.310926, 9.152771]","Around[29.060075, 5.840558]"
9,1959,43.555453151125,25.252814136518158,"Around[43.555453151125, 25.252814136518158]","Around[24.515043, 2.741387]","Around[77.140671, 9.165941]","Around[29.010646, 5.848027]"
10,1960,43.45707960720621,25.19685893343181,"Around[43.45707960720621, 25.19685893343181]","Around[24.454331, 2.742675]","Around[76.960078, 9.177584]","Around[28.95683, 5.854259]"
11,1961,43.350142678451306,25.13641551275221,"Around[43.350142678451306, 25.13641551275221]","Around[24.388415, 2.742835]","Around[76.765106, 9.187071]","Around[28.896908, 5.858758]"
12,1962,43.24122041827217,25.0747795361625,"Around[43.24122041827217, 25.0747795361625]","Around[24.321345, 2.743163]","Around[76.566318, 9.196984]","Around[28.835998, 5.863532]"
13,1963,43.13320105574545,25.01344391406579,"Around[43.13320105574545, 25.01344391406579]","Around[24.254888, 2.744113]","Around[76.368478, 9.20822]","Around[28.776237, 5.869281]"
14,1964,43.02471696655842,24.95177393082559,"Around[43.02471696655842, 24.95177393082559]","Around[24.18818, 2.745319]","Around[76.169511, 9.220061]","Around[28.716461, 5.875437]"
