,Nordhaus,Howard&Sterner,Weitzman
1950,1.251381304,1.251418656,1.251381303
1951,1.293048315,1.293328849,1.293048302
1952,1.314881892,1.315381014,1.314881852
1953,1.348434725,1.349274291,1.348434617
1954,1.352638867,1.352754963,1.352638865
1955,1.394299196,1.394365361,1.394299195
1956,1.414541156,1.414549137,1.414541156
1957,1.432583663,1.433181844,1.43258361
1958,1.435914273,1.436677159,1.435914188
1959,1.462209822,1.462834664,1.462209766
1960,1.493388133,1.493837354,1.493388104
1961,1.50369997,1.504434295,1.503699895
1962,1.53452027,1.535222046,1.534520202
1963,1.569034183,1.569850683,1.569034094
1964,1.615754451,1.615783989,1.615754451
1965,1.648353137,1.648525127,1.648353133
1966,1.676885774,1.67723794,1.676885758
1967,1.690645473,1.691048637,1.690645452
1968,1.728685095,1.728948892,1.728685086
1969,1.7725444,1.773428742,1.772544308
1970,1.782067149,1.782710998,1.782067099
1971,1.809311024,1.809482654,1.809311021
1972,1.847521382,1.848077128,1.847521346
1973,1.903810264,1.905257279,1.903810041
1974,1.90063841,1.900810014,1.900638407
1975,1.875398512,1.875779557,1.875398495
1976,1.917638884,1.917756722,1.917638882
1977,1.944053755,1.945582807,1.944053512
1978,1.96964282,1.970484501,1.969642743
1979,1.997844546,1.999442684,1.997844288
1980,1.992544585,1.994688959,1.992544139
1981,1.983277082,1.985901648,1.983276438
1982,1.953474052,1.954784855,1.953473871
1983,1.965424345,1.968304989,1.965423582
1984,2.009121001,2.010395888,2.009120834
1985,2.03539719,2.036546557,2.035397055
1986,2.062075429,2.063780927,2.062075146
1987,2.096547468,2.099736134,2.096546602
1988,2.138587471,2.14212435,2.138586453
1989,2.163260658,2.165725903,2.163260121
1990,2.183574395,2.188225697,2.183572845
1991,2.158436793,2.162349228,2.158435599
1992,2.144858723,2.146938457,2.144858326
1993,2.139297388,2.141667023,2.139296883
1994,2.155717491,2.15887704,2.155716654
1995,2.182944291,2.187837826,2.182942623
1996,2.22058023,2.223714438,2.220579423
1997,2.261482199,2.267238337,2.261480149
1998,2.267160493,2.275457505,2.267157724
1999,2.300476397,2.305077417,2.300474912
2000,2.362782477,2.367457827,2.362780977
2001,2.378853007,2.385984432,2.378850423
2002,2.408290661,2.416758817,2.408287749
2003,2.453420362,2.462187074,2.45341738
2004,2.532254091,2.539911836,2.532251319
2005,2.597877513,2.608152599,2.597874369
2006,2.675394374,2.685108026,2.67539111
2007,2.746593148,2.756486214,2.746589803
2008,2.753419396,2.761107177,2.753416613
2009,2.687676394,2.6976687,2.687673106
2010,2.772060875,2.784138324,2.772057824
2011,2.816423293,2.825314809,2.816420096
2012,2.827683635,2.83770692,2.827680206
2013,2.862519657,2.873669584,2.862516173
2014,2.902132279,2.915146656,2.902129261
2015,2.929537266,2.948148051,2.929542758
2016,2.954438714,2.975667682,2.954452966
2017,2.984734893,3.002679354,2.984737888
2018,2.998183327,3.013728951,2.998182022
2019,3.010679368,3.030623594,3.010687504
