,,,Mio,Mio,Mrd,Mrd,Mio,Mio,Mrd,Mrd
Country,ISO,CO2_MtC,SCC_RMQ,SCC_RMQ_std,SCC_RMQ,SCC_RMQ_std,SCC_Drupp,SCC_Drupp_std,SCC_Drupp,SCC_Drupp_std
USA,USA,86100.83839,11791236.25,838789.6642,11791.23625,838.7896642,17943227.2,1264132.14,17943.2272,1264.13214
China,CHN,56774.74048,7010274.386,666801.0291,7010.274386,666.8010291,11448419.03,1111337.228,11448.41903,1111.337228
Russian Federation,RUS,28795.57356,3977380.729,295651.6157,3977.380729,295.6516157,6023976.57,438888.5192,6023.97657,438.8885192
Germany,DEU,17085.07437,2405574.266,171704.1461,2405.574266,171.7041461,3590681.352,249600.9478,3590.681352,249.6009478
Japan,JPN,16229.30495,2167631.755,165127.819,2167.631755,165.127819,3360652.075,254420.8727,3360.652075,254.4208727
India,IND,12946.76596,1602727.494,149910.2676,1602.727494,149.9102676,2612038.308,249997.8751,2612.038308,249.9978751
United Kingdom,GBR,10590.93365,1501980.145,107037.8412,1501.980145,107.0378412,2229479.507,154164.26,2229.479507,154.16426
Canada,CAN,7692.397638,1037830.851,75478.61324,1037.830851,75.47861324,1596209.44,115704.3514,1596.20944,115.7043514
Ukraine,UKR,7453.909204,1053876.306,81508.93345,1053.876306,81.50893345,1571755.765,118374.1144,1571.755765,118.3741144
France,FRA,7161.544626,1001194.543,71872.61599,1001.194543,71.87261599,1502293.126,105367.7152,1502.293126,105.3677152
Italy,ITA,6111.62444,826058.4897,62185.09273,826.0584897,62.18509273,1270516.845,94658.52217,1270.516845,94.65852217
Poland,POL,5945.575913,823951.5631,60074.78558,823.9515631,60.07478558,1244614.423,88960.17874,1244.614423,88.96017874
South Africa,ZAF,5134.23911,677119.6257,51642.35871,677.1196257,51.64235871,1058103.449,81138.94007,1058.103449,81.13894007
Mexico,MEX,4941.291944,643649.0273,51348.7115,643.6490273,51.3487115,1015016.386,81283.97955,1015.016386,81.28397955
Iran,IRN,4514.217841,566397.4673,50279.56356,566.3974673,50.27956356,915377.7267,82668.68754,915.3777267,82.66868754
Australia,AUS,4499.36763,593919.3567,45034.30764,593.9193567,45.03430764,927453.6658,70737.0424,927.4536658,70.7370424
South Korea,KOR,4489.225138,561415.3566,51027.04794,561.4153566,51.02704794,910332.1876,83278.11703,910.3321876,83.27811703
Brazil,BRA,3936.688198,506403.2262,41257.6544,506.4032262,41.2576544,804822.2854,66437.68654,804.8222854,66.43768654
Saudi Arabia,SAU,3876.080473,483971.1655,44210.69449,483.9711655,44.21069449,785320.3364,72474.32493,785.3203364,72.47432493
Spain,ESP,3618.316256,479576.567,37081.11749,479.576567,37.08111749,747461.7572,57740.01773,747.4617572,57.74001773
Indonesia,IDN,3358.970914,417809.8741,38443.91016,417.8098741,38.44391016,679335.4999,63453.5225,679.3354999,63.4535225
Kazakhstan,KAZ,3357.493578,454695.14,33730.17483,454.69514,33.73017483,697484.0055,51335.10726,697.4840055,51.33510726
Turkey,TUR,2694.620991,338674.9041,29839.01062,338.6749041,29.83901062,546823.0738,48920.76135,546.8230738,48.92076135
Netherlands,NLD,2633.156617,360088.6343,26094.80133,360.0886343,26.09480133,548829.1395,39285.66531,548.8291395,39.28566531
Czech Republic,CZE,2478.689514,348564.1747,25512.21714,348.5641747,25.51221714,521197.9678,37164.04337,521.1979678,37.16404337
Taiwan,TWN,2211.658782,279118.0231,24647.67198,279.1180231,24.64767198,449820.2948,39986.09345,449.8202948,39.98609345
Belgium,BEL,2110.82721,295661.2781,20979.11048,295.6612781,20.97911048,442831.4908,30705.1799,442.8314908,30.7051799
Romania,ROU,2108.27336,295461.2154,23211.12276,295.4612154,23.21112276,443517.7434,33914.42258,443.5177434,33.91442258
Argentina,ARG,2069.923874,275383.0447,20404.39857,275.3830447,20.40439857,427500.0515,31845.10373,427.5000515,31.84510373
Venezuela,VEN,2002.964481,267053.448,19780.58593,267.053448,19.78058593,413921.7769,30845.52095,413.9217769,30.84552095
Thailand,THA,1873.1244,230764.9413,22220.21851,230.7649413,22.22021851,377917.9929,36629.90202,377.9179929,36.62990202
Uzbekistan,UZB,1682.159562,228376.1085,16826.33089,228.3761085,16.82633089,349995.1452,25525.96731,349.9951452,25.52596731
Egypt,EGY,1591.568829,199961.2994,17634.03918,199.9612994,17.63403918,322823.5814,28991.72743,322.8235814,28.99172743
Malaysia,MYS,1465.095259,179290.9174,17658.92149,179.2909174,17.65892149,294856.3832,29312.41239,294.8563832,29.31241239
North Korea,PRK,1324.351876,185639.5957,15890.55482,185.6395957,15.89055482,279040.4894,23257.15294,279.0404894,23.25715294
Pakistan,PAK,1275.333812,159363.4953,14385.08875,159.3634953,14.38508875,258258.3367,23717.49312,258.2583367,23.71749312
Belarus,BLR,1247.140396,173330.8793,13826.30993,173.3308793,13.82630993,261672.1202,20251.85433,261.6721202,20.25185433
United Arab Emirates,ARE,1222.143005,150548.671,14505.28777,150.548671,14.50528777,246426.7582,24089.25705,246.4267582,24.08925705
Algeria,DZA,1164.438788,148687.902,12652.00763,148.687902,12.65200763,237675.2499,20329.32257,237.6752499,20.32932257
Hungary,HUN,1136.943917,159819.891,11734.07132,159.819891,11.73407132,239068.2833,17101.53789,239.0682833,17.10153789
Iraq,IRQ,1117.097468,140836.1863,12397.31173,140.8361863,12.39731173,226767.03,20396.08688,226.76703,20.39608688
Sweden,SWE,1091.216801,154543.2162,11354.66896,154.5432162,11.35466896,229834.893,16370.3366,229.834893,16.3703366
Greece,GRC,1063.75122,139137.0825,11349.10945,139.1370825,11.34910945,219006.6838,17833.57933,219.0066838,17.83357933
Austria,AUT,1015.375035,138263.5834,9944.787584,138.2635834,9.944787584,211279.1411,15079.23891,211.2791411,15.07923891
Nigeria,NGA,997.5725716,128340.202,10917.72408,128.340202,10.91772408,204004.1582,17441.47982,204.0041582,17.44147982
Bulgaria,BGR,992.6076906,138206.2705,10681.60349,138.2062705,10.68160349,208316.7563,15667.51469,208.3167563,15.66751469
Denmark,DNK,914.7262887,127602.6322,9283.555093,127.6026322,9.283555093,191895.8896,13671.91035,191.8958896,13.67191035
Viet Nam,VNM,880.416033,107608.4111,10862.66731,107.6084111,10.86266731,176776.765,18283.09193,176.776765,18.28309193
Colombia,COL,865.4204303,114160.2168,8695.313339,114.1602168,8.695313339,178312.9954,13668.65372,178.3129954,13.66865372
Philippines,PHL,848.0708206,108679.3853,8971.685651,108.6793853,8.971685651,173093.3789,14536.17227,173.0933789,14.53617227
Slovakia,SVK,818.4616808,115006.7682,8360.023515,115.0067682,8.360023515,172039.7925,12196.84206,172.0397925,12.19684206
Finland,FIN,816.649688,110462.9112,8328.811129,110.4629112,8.328811129,169808.564,12668.2528,169.808564,12.6682528
Kuwait,KWT,743.6449366,94886.74846,8012.966379,94.88674846,8.012966379,151572.1579,12992.39292,151.5721579,12.99239292
Serbia,SRB,702.6576164,95128.10665,7176.37313,95.12810665,7.17637313,146123.0109,10899.77967,146.1230109,10.89977967
Chile,CHL,694.0384839,90015.02299,7110.342582,90.01502299,7.110342582,142113.3643,11434.69675,142.1133643,11.43469675
Switzerland,CHE,679.8123722,93326.99175,6779.627987,93.32699175,6.779627987,141884.1198,10150.33694,141.8841198,10.15033694
Turkmenistan,TKM,676.9038828,90079.33392,6750.27916,90.07933392,6.75027916,139778.152,10524.79399,139.778152,10.52479399
Portugal,PRT,632.7115049,82706.14787,6662.341721,82.70614787,6.662341721,130154.6321,10512.43247,130.1546321,10.51243247
Azerbaijan,AZE,622.7892805,85721.64321,6726.302325,85.72164321,6.726302325,130255.7509,9957.298035,130.2557509,9.957298035
Israel,ISR,620.3766919,79855.36245,6578.768718,79.85536245,6.578768718,126931.6999,10547.67643,126.9316999,10.54767643
