,,,368.5240291,Mio,Mio,Mrd,Mrd,Mio,Mio,Mrd,Mrd,,,,,,,,,,
Country,ISO,CO2_MtC,CO2_GtC,SCC_RMQ,SCC_RMQ_std,SCC_RMQ,SCC_RMQ_std,SCC_Drupp,SCC_Drupp_std,SCC_Drupp,SCC_Drupp_std,,Var_RMQ,Var_Drupp,,,,,,,
USA,USA,86100.83839,86.10083839,12053995.23,856058.3985,12053.99523,856.0583985,18311360.08,1287171.404,18311.36008,1287.171404,0.233636972,732835.9816,1656810.223,0.240603928,0.235777186,1.803117939,1.751733862,,Sum,SD
China,CHN,56774.74048,56.77474048,7161925.143,679755.7468,7161.925143,679.7557468,11678231.71,1130743.105,11678.23171,1130.743105,0.154059806,462067.8753,1278579.97,0.1429557,0.150368984,1.399281897,1.500210902,RMQ,50.09891282,1.19877365
Russian Federation,RUS,28795.57356,28.79557356,4066069.147,301773.2549,4066.069147,301.7732549,6147708.363,446941.0043,6147.708363,446.9410043,0.078137574,91067.09735,199756.2613,0.081160826,0.079157931,0.632887135,0.606169934,Drupp,77.66383324,1.868341853
Germany,DEU,17085.07437,17.08507437,2459621.356,175309.2122,2459.621356,175.3092122,3664804.684,254222.0239,3664.804684,254.2220239,0.046360815,30733.3199,64628.83742,0.049095304,0.047188048,0.369119117,0.346461778,,,
Japan,JPN,16229.30495,16.22930495,2215486.734,168479.5043,2215.486734,168.4795043,3429177.721,259015.8665,3429.177721,259.0158665,0.044038661,28385.34335,67089.21908,0.044222252,0.044154114,0.352548462,0.350015799,,,
India,IND,12946.76596,12.94676596,1637437.943,152822.5769,1637.437943,152.8225769,2664506.373,254361.0796,2664.506373,254.3610796,0.035131402,23354.74,64699.55883,0.032684101,0.034308201,0.314907558,0.337754843,,,
United Kingdom,GBR,10590.93365,10.59093365,1535827.337,109299.561,1535.827337,109.299561,2275594.99,157030.2,2275.59499,157.0302,0.028738787,11946.39402,24658.48372,0.030655901,0.029300575,0.230169199,0.214126603,,,
Canada,CAN,7692.397638,7.692397638,1060845.251,77016.94783,1060.845251,77.01694783,1628844.971,117797.7998,1628.844971,117.7977998,0.020873531,5931.610253,13876.32163,0.021175015,0.020973018,0.16186438,0.159848073,,,
Ukraine,UKR,7453.909204,7.453909204,1077513.351,83214.36676,1077.513351,83.21436676,1604195.242,120567.8473,1604.195242,120.5678473,,6924.630836,14536.60579,0.021507719,0.020655628,0.173890189,0.163001954,,,
France,FRA,7161.544626,7.161544626,1023631.175,73373.7481,1023.631175,73.3737481,1533250.247,107311.1734,1533.250247,107.3111734,,5383.70691,11515.68794,0.020432203,0.01974214,0.15440257,0.146108327,,,
